premise,hypothesis,gpt_label
mu hekwa.,neuka tita xatawe m+k+ mat+a.,1
mu hekwa.,kwinie p+re ha a kai nem+re ta xatsie menuakie hamat+a.,1
mu hekwa.,aix+ te+ite ti xá.,1
pewekai neme nautsane tsie AFFC ik+ mem+ t+r+kawi metá mema w+wawe.,kwara maikai kename m+k+ xeik+a hey+aneme peyu eriekai ana.,1
pewekai neme nautsane tsie AFFC ik+ mem+ t+r+kawi metá mema w+wawe.,m+tiwa +kit+a.,1
pewekai neme nautsane tsie AFFC ik+ mem+ t+r+kawi metá mema w+wawe.,"mepetuyua kename metetseta xiriex+a nikekai, per+ yak+ mepeti yuanekai.",1
neureta h+awarie kename ik+… kename xewit+ netseta hiwieni kiekai arikeke temeyu xeiyak+,atsí neuka reta h+awariexeime nemeti manik+.,1
neureta h+awarie kename ik+… kename xewit+ netseta hiwieni kiekai arikeke temeyu xeiyak+,neureta h+awarie kename xeime neta h+awe kiekai netseti manik+.,1
neureta h+awarie kename ik+… kename xewit+ netseta hiwieni kiekai arikeke temeyu xeiyak+,m+k+ peyu hek+a tax+ arikeke etsiwa.,2
"puxuawe wa+kawa mutiuta xata hetsiena mieme m+k+ k+, atsi kati anemek+ m+k+ neuan wani.",¡ neumetita xat+anikeyu naime nenrameté mi+k+ tsie !.,2
"puxuawe wa+kawa mutiuta xata hetsiena mieme m+k+ k+, atsi kati anemek+ m+k+ neuan wani.","neuka tita xata m+k+k+,tsepa kuinie m+ti ane .",1
"puxuawe wa+kawa mutiuta xata hetsiena mieme m+k+ k+, atsi kati anemek+ m+k+ neuan wani.",neukatita xata ik+tsie meripait+ kenti+y+ miemek+ kiekari wa+ka puti xuawe niuki.,1
xewit+ mutateke hidrógena wana pait+ ik+ haika tewiyari xewit+ C124.,atsí teukateti erí tem+te ti utá ni tixa+.,1
xewit+ mutateke hidrógena wana pait+ ik+ haika tewiyari xewit+ C124.,teuta eriwakai temeta wikwetsi t+ani ti xeime wa+kawa keti hipat+.,1
xewit+ mutateke hidrógena wana pait+ ik+ haika tewiyari xewit+ C124.,teuta eriwakai temeta wikwetsi t+ani ik+ mutateke-H tsiukwe y+nekai meiku may+ani.,1
aimieme neukwe xeiya yeme aix+ titayari.,neuti maté yuri ik+ niuki tita m+ti h+k+.,1
aimieme neukwe xeiya yeme aix+ titayari.,neukara maté titayari ren+ ax+a mentewa +kit+arie.,0
aimieme neukwe xeiya yeme aix+ titayari.,neukara maté titayari yam+ rey+.,1
"ik+ p+ h+k+ Fannie Flono. Petaweri x+.wana Ag-- Augusta, GA, metá peta niuni tixa+t+k+ historia tsimutewi kaitsie.",Fannie Flono p+reyuri ik+ tawari meika in+ata m+ka y+we tatiuta xat+ani hik+.,1
"ik+ p+ h+k+ Fannie Flono. Petaweri x+.wana Ag-- Augusta, GA, metá peta niuni tixa+t+k+ historia tsimutewi kaitsie.","Fannie Flono ena puka metá tatita xat+ani tsie ti mieme yu historia tsimute wikai tsie mieme metawerix+ tsie wana Augusta, GA.",0
"ik+ p+ h+k+ Fannie Flono. Petaweri x+.wana Ag-- Augusta, GA, metá peta niuni tixa+t+k+ historia tsimutewi kaitsie.",Fannie Flono pey+weka x+a tatseta h+awix+ hik+ kuinie t+t+ raye xeiyat+.,1
peukaya tsakai y+ a+x+wi kuyaxi U2.,neureti mamate ik+ U2.,1
peukaya tsakai y+ a+x+wi kuyaxi U2.,waik+ ´ axapeuka reyu eniwani U2 ik+ ena makamie.,1
peukaya tsakai y+ a+x+wi kuyaxi U2.,neutiuta uximayatax+ wa hamat+a ik+ kuyaxi wana U2 tukarik+ yam+reuterix+ nauka tewiyari witari.,1
ne nepe h+k+t+kai nemeiti x+nax+ani ik+ ti in+n+atame meita in+atak+ ik+ ti +keme ik+tsie ke hautewa kaku meitakeni.,kwane tsiuna kix+ ne xeik+a nemeiti x+nax+ani ik+ m+ti in+ata memeita in+atak+.,1
ne nepe h+k+t+kai nemeiti x+nax+ani ik+ ti in+n+atame meita in+atak+ ik+ ti +keme ik+tsie ke hautewa kaku meitakeni.,peti in+atsie ik+ m+raka +ke atewa pekuyatsa riex+a.,1
ne nepe h+k+t+kai nemeiti x+nax+ani ik+ ti in+n+atame meita in+atak+ ik+ ti +keme ik+tsie ke hautewa kaku meitakeni.,peti xuawerix+ hipat+ táme tem+te yurie ik+ ti in+n+tame temita in+atak+.,1
"nep+, ik+, ik+ tsarikentu wa ukiyari tiwa +kit+a, m+tiuta hayewax+, meta y+pa+ Rick.",aukuxi neuti uximaya ik+ tukari tsie.,1
"nep+, ik+, ik+ tsarikentu wa ukiyari tiwa +kit+a, m+tiuta hayewax+, meta y+pa+ Rick.",nepanayet+a wana 2002.,1
"nep+, ik+, ik+ tsarikentu wa ukiyari tiwa +kit+a, m+tiuta hayewax+, meta y+pa+ Rick.",Rick mereta h+awix+ kename anayeyakai.,1
"puxuawe hipat+ proyecciones katiyu may+in+at+ m+raka, pinirike meta, uh, eh p+ h+k+ ke ane Cutty, kenti tewa tinaweme.",tinaweme titewt+ Cutty p+ iwa $ 10000 xei metseri.,1
"puxuawe hipat+ proyecciones katiyu may+in+at+ m+raka, pinirike meta, uh, eh p+ h+k+ ke ane Cutty, kenti tewa tinaweme.",puyeika tenaweme titewat+ Cutty.,1
"puxuawe hipat+ proyecciones katiyu may+in+at+ m+raka, pinirike meta, uh, eh p+ h+k+ ke ane Cutty, kenti tewa tinaweme.",teukwe xeiya tinaweme titewakame Cutty.,1
ik+ uká kename netsiupare wiwe ik+ xaitsie mutiniere kiekari tsie.,uká nemeiye h+wak+ netsipare wieni nie tewa peka.,1
ik+ uká kename netsiupare wiwe ik+ xaitsie mutiniere kiekari tsie.,uka nunutsi netsepa rewieni peka a+x+wi millas haute wakaku.,1
ik+ uká kename netsiupare wiwe ik+ xaitsie mutiniere kiekari tsie.,pumawe xewit+ netsi parewieni.,1
"per+ m+k+ meukwe y+nikukai ke ane meme h+k+t+kai mamate mieme kemaku yewa meme h+k+t+kai t+ri mema yetei kitá, pe h+k+t+kai tixa+t+ ik+ hepa+.",yu nait+ yameta eriwat+ mepak+ kename yu nait+ meteta uximayata wana kemaku  yewa.,1
"per+ m+k+ meukwe y+nikukai ke ane meme h+k+t+kai mamate mieme kemaku yewa meme h+k+t+kai t+ri mema yetei kitá, pe h+k+t+kai tixa+t+ ik+ hepa+.",aix+ meukwa tein+ kukai ke ane memie met+kai m+reta uximayata wana kemaku yewa meta ke ane kitá m+ mieme.,1
"per+ m+k+ meukwe y+nikukai ke ane meme h+k+t+kai mamate mieme kemaku yewa meme h+k+t+kai t+ri mema yetei kitá, pe h+k+t+kai tixa+t+ ik+ hepa+.",waik+ yameukata eriwakai ke ane hamat+a  p+reta uximayata wana amaku yewa tsie ik+ kwemuxa metá ke ane m+ mieme wewiwame muyeku raunitsie.,2
"hik+ meutasta xat+ani tsie ti mieme ik+ haika SS, ik+ U2 Quick meta Blackbird.",mik+ peta y+ p+kareta xatari.,1
"hik+ meutasta xat+ani tsie ti mieme ik+ haika SS, ik+ U2 Quick meta Blackbird.",m+k+ rekuxata yu haikame hata meuka hake y+k+ me aneneme.,1
"hik+ meutasta xat+ani tsie ti mieme ik+ haika SS, ik+ U2 Quick meta Blackbird.",m+k+ p+ti kuxata ti haikame tsie ti mieme.,1
"neutay+ni m+k+ xeik+a mepe xeiyakai, ipa+, a+x+wi tirí, xewit+ pem+´.",yu nait+ niwemama mepeta wikwei.,1
"neutay+ni m+k+ xeik+a mepe xeiyakai, ipa+, a+x+wi tirí, xewit+ pem+´.",xewit+ nunutsi p+m+ hexeiyat+ a+x+wi .,1
"neutay+ni m+k+ xeik+a mepe xeiyakai, ipa+, a+x+wi tirí, xewit+ pem+´.",nunutsi mem+ petinuiwax+ tikuyet+.,1
"tam+, Androv Gromikov, p+keta a t+ma, per+ teuta eriwakai naime iwaurika ik+ m+rana yeneika wewiyat+ ik+ U2.",ik+ U2 petipí wa+kawa m+rana yeneika.,0
"tam+, Androv Gromikov, p+keta a t+ma, per+ teuta eriwakai naime iwaurika ik+ m+rana yeneika wewiyat+ ik+ U2.",ik+ U2 peku xe+ri xewi m+ra heté ik+ m+rana yeneika upait+ hata.,0
"tam+, Androv Gromikov, p+keta a t+ma, per+ teuta eriwakai naime iwaurika ik+ m+rana yeneika wewiyat+ ik+ U2.","waik+ teukwe xeiyakai pinite ik+ nait+ m+tiuye pine, aimieme tepeiti xá xek+a.",1
"petay+ kename ukai hax+r+wekai h+xitana, ariké petay+ kename Joe het+a wana pai m+ti wewiwa.","kepauka m+reita h+awix+ kename antiyanike kai wana porche, pexeiyakai ukai y+ h+xita.",1
"petay+ kename ukai hax+r+wekai h+xitana, ariké petay+ kename Joe het+a wana pai m+ti wewiwa.",m+k+ pa itiex+a ukai arikeke anye h+aka ik+ Joe takua ik+ kí mutawewiya kie.,0
"petay+ kename ukai hax+r+wekai h+xitana, ariké petay+ kename Joe het+a wana pai m+ti wewiwa.",niep+ reyute mawiekai he xeiyat+ Joe petatsua.,1
"tsiere x+ka mawiwe nieti mariwet+ etsiwa petakai, ¿ titayari retatai metá retax+ metak+ hexeiya tep+a ma hté m+kauta tatawenik+ ?.",ik+ tau x+rieya tsiere p+y+we mutataní kepauka tai muxuaweni.,1
"tsiere x+ka mawiwe nieti mariwet+ etsiwa petakai, ¿ titayari retatai metá retax+ metak+ hexeiya tep+a ma hté m+kauta tatawenik+ ?.",ik+ tau ketewa m+ áxe peuye yuyuipike xeimetsie meuwie manyeka arikeke ma wiwe metatani tsie.,1
"tsiere x+ka mawiwe nieti mariwet+ etsiwa petakai, ¿ titayari retatai metá retax+ metak+ hexeiya tep+a ma hté m+kauta tatawenik+ ?.",ik+ tau ketewa m+ áxe waik+ filtraria m+taka tsie.,1
"ik+ p+ h+k+ sargento wa ukiyari tiwa +kit+a Clem Francis, tiuta hayewaka ment+r+kawi meta mema w+wawe tau watsuname tsie kiekatairi.",wa ukiyari panaye t+ari ik+ ment+r+kawi metá meme w+wawe wana tau watsuna tsie.,0
