premise,hypothesis,gpt_label
"Ó dáa, mi ò tiẹ̀ ronú nípa ìyẹn, ṣùgbọ́n inúù mi bàjẹ́ , àtiwípé, mo tún pada tún bá a sọ̀rọ̀.",Mi ò tún tíì bá a sọ̀rọ̀.,2
"Ó dáa, mi ò tiẹ̀ ronú nípa ìyẹn, ṣùgbọ́n inúù mi bàjẹ́ , àtiwípé, mo tún pada tún bá a sọ̀rọ̀.",Inú bí ni débi wí pé mo tún bẹ̀rẹ̀ sí ní báa sọ̀rọ̀.,0
"Ó dáa, mi ò tiẹ̀ ronú nípa ìyẹn, ṣùgbọ́n inúù mi bàjẹ́ , àtiwípé, mo tún pada tún bá a sọ̀rọ̀.",A ṣe ìfọ̀rọ̀wérọ̀ tó dára.,2
"Wọ́n sọ fún mi wí pé, uh, pé wọn ó pe ọkùnrin kan wọlé fún mi nígbẹ̀yìn láti pàde rẹ̀.",Wọn ò sọ nǹkankan fún mi pé mà á pàde ẹnìkankan.,2
"Wọ́n sọ fún mi wí pé, uh, pé wọn ó pe ọkùnrin kan wọlé fún mi nígbẹ̀yìn láti pàde rẹ̀.",Wọ́n sọ fún mi pé wọn ó pe ọkùnrin kan wọlé fún mi láti pàde rẹ̀.,0
"Wọ́n sọ fún mi wí pé, uh, pé wọn ó pe ọkùnrin kan wọlé fún mi nígbẹ̀yìn láti pàde rẹ̀.",Ọkùnrin náà pẹ́ díẹ̀ kí ó tó dé.,0
Ọ̀pọ̀lọpọ̀ ǹkan wà tí o lè sọ nípa rẹ̀ tí mà á kàn fojú fo ìyẹn.,Mo fẹ́ sọ gbogbo ǹkan tí mo mọ̀ nípa ìyẹn fún ẹ!,1
Ọ̀pọ̀lọpọ̀ ǹkan wà tí o lè sọ nípa rẹ̀ tí mà á kàn fojú fo ìyẹn.,"Mi ò ní sọ̀rọ̀ nípa ìyẹn, bó tilẹ̀ jẹ́ wí pé ọ̀pọ̀lọpọ̀ ǹkan wà tí a fẹ́ wò. ",2
Ọ̀pọ̀lọpọ̀ ǹkan wà tí o lè sọ nípa rẹ̀ tí mà á kàn fojú fo ìyẹn.,Mi ò ní sọ̀rọ̀ nípa ìtàn ìlú náà nítorí pé nǹkan pọ̀ tí a fẹ́ sọ.,1
Torí náà mi ò mọ ìdí rẹ̀.,Mo ní ìdánilójú nǹkan tó fà á.,2
Torí náà mi ò mọ ìdí rẹ̀.,Mi ò mọ ìdí tó fi pààrọ ilé-ẹ̀kọ́.,1
Torí náà mi ò mọ ìdí rẹ̀.,Mi ò mọ ìdí tí ìyẹn fi ṣẹlẹ̀.,0
"Èmi nìkan ni mo uh, tíì bá wọn lo ẹ̀rọ ìṣàkóso fún, àyẹ̀wò nínú ìyẹ̀wù afarajọ òfurufú kékèké. ",Mi ò nífẹ̀ sí kó jẹ́ pé èmi nìkan ni mà á máa lo ẹ̀rọ ìṣàkóso fún àyẹ̀wò náà.,2
"Èmi nìkan ni mo uh, tíì bá wọn lo ẹ̀rọ ìṣàkóso fún, àyẹ̀wò nínú ìyẹ̀wù afarajọ òfurufú kékèké. ",Wọ́n ṣe àyẹ̀wò ní ìyẹ̀wù afarajọ òfurufú kékèké náà.,0
"Èmi nìkan ni mo uh, tíì bá wọn lo ẹ̀rọ ìṣàkóso fún, àyẹ̀wò nínú ìyẹ̀wù afarajọ òfurufú kékèké. ",Àwa díẹ̀ kan wà tí a máa ń lo ẹ̀rọ ìṣàkóso náà fún àyẹ̀wò.,2
"Èmi ni uh, Ọ̀gá Àgbà Olórí Àwọn Sájẹ́ntì, tó ti fẹ̀yìntì, gẹ́gẹ́ bí Rick ṣe sọ. ",Mo ṣì ń ṣiṣẹ́ títí di òní.,2
"Èmi ni uh, Ọ̀gá Àgbà Olórí Àwọn Sájẹ́ntì, tó ti fẹ̀yìntì, gẹ́gẹ́ bí Rick ṣe sọ. ",Mo fẹ̀yìntì ní ọdún 2002.,1
"Èmi ni uh, Ọ̀gá Àgbà Olórí Àwọn Sájẹ́ntì, tó ti fẹ̀yìntì, gẹ́gẹ́ bí Rick ṣe sọ. ",Rick sọ fún ẹ wí pé mo ti fẹ̀yìntì.,0
"Àwọn àsọtẹ́lẹ̀ ìpawó wọlé kan wà lórí pẹpẹ ìkọ̀wé mi, um, uh, ó sì wà fún irúu àti irúu Cutty, orúkọ oníbàárà yẹn nìyẹn.",Oníbàárà tí orúkọ rẹ̀ ń jẹ́ Cutty máa ń pa $10000 ní oṣù kan. ,1
"Àwọn àsọtẹ́lẹ̀ ìpawó wọlé kan wà lórí pẹpẹ ìkọ̀wé mi, um, uh, ó sì wà fún irúu àti irúu Cutty, orúkọ oníbàárà yẹn nìyẹn.",Oníbàárà kan wà tí orúkọ rẹ̀ ń jẹ́ Cutty.,0
"Àwọn àsọtẹ́lẹ̀ ìpawó wọlé kan wà lórí pẹpẹ ìkọ̀wé mi, um, uh, ó sì wà fún irúu àti irúu Cutty, orúkọ oníbàárà yẹn nìyẹn.",A ò ní oníbàárà kankan tí wọ́n ń pè ní Cutty. ,2
Ọmọbìnrin tí ó lè ràn mí lọ́wọ́ ti wà ní òdì kejì ilú.,Ọmọbìnrin tí mo nílò ìrànlọ́wọ́ lọ́dọ rẹ̀ ń gbé ní ọ̀nà jíjìn síbí.,0
Ọmọbìnrin tí ó lè ràn mí lọ́wọ́ ti wà ní òdì kejì ilú.,Ọmọbìnrin tó máa ràn mí lọ́wọ́ wà ní máìlì 5 síbí.,1
Ọmọbìnrin tí ó lè ràn mí lọ́wọ́ ti wà ní òdì kejì ilú.,Kò sí ẹnìkankan tó lè ràn mí lọ́wọ́. ,2
"Ṣùgbọ́n ìmọ wọn ò jọ nípa bíi àwọn wo ni òṣìṣẹ́ orí oko àwọn wo sì ni ọmọ ilé, ó kàn dàbi--",Gbogbo wọn fẹnukò wí pé àwọn ó jọ ṣiṣẹ́ ní orí pápá náà.,1
"Ṣùgbọ́n ìmọ wọn ò jọ nípa bíi àwọn wo ni òṣìṣẹ́ orí oko àwọn wo sì ni ọmọ ilé, ó kàn dàbi--",Wọn ò lè fẹnukò nípa ta ni òṣìṣẹ́ orí oko ta ni ó sì tọ́ sí láti wà nínú ilé.,1
"Ṣùgbọ́n ìmọ wọn ò jọ nípa bíi àwọn wo ni òṣìṣẹ́ orí oko àwọn wo sì ni ọmọ ilé, ó kàn dàbi--",Wọn ò lè fẹnukò lórí ta ló yẹ kó ṣiṣẹ́ ní oko òwú ta ló sì yẹ kó nu ilẹ̀. ,1
"Mo ní wọ́n kàn ní, bíi, wọ́n ní ọmọ márùn-ún, ọ̀kan nínú wọn kú.",Gbogbo àwọn ọmọ wọn ló yè.,2
"Mo ní wọ́n kàn ní, bíi, wọ́n ní ọmọ márùn-ún, ọ̀kan nínú wọn kú.",Ọmọ kan kú nínú àwọn márùn-ún náà. ,0
"Mo ní wọ́n kàn ní, bíi, wọ́n ní ọmọ márùn-ún, ọ̀kan nínú wọn kú.",Wọ́n bí ọmọ tó kú náà pẹ̀lú òkùnù.,2
"Ó ní omijé kàn ń jábọ́ láti ojú òun ó sì sọ wí pé, ó wá sọ wí pé Joe gun iwájú ìta wá.",Bí ó ṣe sọ fún-un pé kó gun iwájú ilé wá omijé wà ní ojúu rẹ̀.,1
