premise,hypothesis,gpt_label
"Е, аз дори не мислех за това, но бях толкова разочарована, а в крайна сметка отново разговарях с него.",Повече не съм говорил с него.,2
"Е, аз дори не мислех за това, но бях толкова разочарована, а в крайна сметка отново разговарях с него.","Бях толкова разстроена, че просто започнах да говоря отново с него.",0
"Е, аз дори не мислех за това, но бях толкова разочарована, а в крайна сметка отново разговарях с него.",Страхотно си поговорихме.,1
"Казаха ми, че накрая ще ми се обади човек, за да се срещнем.",Никога не ми бяха казвали да се срещам с някой.,2
"Казаха ми, че накрая ще ми се обади човек, за да се срещнем.","Казаха ми, че ще извикат един човек, с когото да се срещна.",1
"Казаха ми, че накрая ще ми се обади човек, за да се срещнем.",Човекът се появи малко късно.,1
"Има толкова много, което може да се разкаже за това, че просто ще го пропусна.","Искам да ти разкажа всичко, което знам по този въпрос.",2
"Има толкова много, което може да се разкаже за това, че просто ще го пропусна.","Няма да говоря за това, въпреки че има много за разказване.",1
"Има толкова много, което може да се разкаже за това, че просто ще го пропусна.","Няма да говоря за историята на града, защото има твърде много да се разказва.",0
Така че не съм много сигурен защо.,Сигурен съм за причината.,2
Така че не съм много сигурен защо.,Не знам защо той смени училищата.,1
Така че не съм много сигурен защо.,Не знам защо се е случило това.,0
"Аз бях единственият, който някога е работил с регулаторите за теста в миниатюрните височинни камери.","Не ми хареса да съм единственият, подготвящ регламента за тестовете.",1
"Аз бях единственият, който някога е работил с регулаторите за теста в миниатюрните височинни камери.",В миниатюрните хипобарни камери бяха проведени тестове.,0
"Аз бях единственият, който някога е работил с регулаторите за теста в миниатюрните височинни камери.",Няколко от нас пускаха регулаторите за теста.,2
"Аз съм главен сержант, пенсиониран, както каза Рик.",Все още работя до този ден.,2
"Аз съм главен сержант, пенсиониран, както каза Рик.",Аз се пенсионирах през 2002 година.,1
"Аз съм главен сержант, пенсиониран, както каза Рик.","Рик ти каза, че съм пенсиониран.",0
"Има някакви прогнози за паричните потоци на бюрото ми и, е, за някой си Cutty, това е името на клиента.",Клиентът на име Къти печели 10000 долара месечно.,1
"Има някакви прогнози за паричните потоци на бюрото ми и, е, за някой си Cutty, това е името на клиента.",Има клиент на име Къти.,0
"Има някакви прогнози за паричните потоци на бюрото ми и, е, за някой си Cutty, това е името на клиента.",Нямаме клиенти на име Къти.,2
"Момичето, което може да ми помогне, е на другия край на града.","Момичето, от чиято помощ се нуждая, живее доста далече.",0
"Момичето, което може да ми помогне, е на другия край на града.","Момичето, което ще ми помогне е на пет мили път оттук.",1
"Момичето, което може да ми помогне, е на другия край на града.","Няма никой, който може да ми помогне.",2
"Но те бяха разделени кой ще работи на полето и кои са децата в къщата, беше малко","Всички се съгласиха, че всички ще работят на полето.",2
"Но те бяха разделени кой ще работи на полето и кои са децата в къщата, беше малко",Те не можеха да се споразумеят за това кой е работна ръка и кой принадлежеше към къщата.,0
"Но те бяха разделени кой ще работи на полето и кои са децата в къщата, беше малко",Те не можеха да се разберат кой трябва да работи на памучното поле и кой да търка пода.,1
"Искам да кажа, че имаха само пет деца, едно от тях почена.",Всичките им деца оцеляха.,2
"Искам да кажа, че имаха само пет деца, едно от тях почена.",Едно от петте деца умря.,0
"Искам да кажа, че имаха само пет деца, едно от тях почена.","Детето, което е починало, се е родило болно.",1
"Тя каза, че от очите ѝ излизат само сълзи и тогава каза, че Джо се е появил на верандата.","Когато му каза да се появи на верандата, в очите ú имаше сълзи.",0
"Тя каза, че от очите ѝ излизат само сълзи и тогава каза, че Джо се е появил на верандата.","Тя бързо изтри сълзите, след като изхвърли Джо от верандата.",1
"Тя каза, че от очите ѝ излизат само сълзи и тогава каза, че Джо се е появил на верандата.","Тя беше толкова щастлива да види Джо, че започна да плаче.",1
"Дори ако самолетът се запали, защо ще изгори и ще се стопи през водещ компонент, за да изтече радиацията.",Радиацията може да се задържи и по време на пожар.,0
"Дори ако самолетът се запали, защо ще изгори и ще се стопи през водещ компонент, за да изтече радиацията.","След като самолетът изгори, ще има изтичане на оловния компонент, което ще създаде радиация.",0
