premise,hypothesis,gpt_label
"mi-ga, nin mibⴘy mbô̮nitho ane guenu, guedi mibⴘy nho ⴘnmⴘy xi di mⴘdi o ñana nen nⴘua manaigui",hin din bi pengui nen nⴘa,1
"mi-ga, nin mibⴘy mbô̮nitho ane guenu, guedi mibⴘy nho ⴘnmⴘy xi di mⴘdi o ñana nen nⴘua manaigui",dimi nho mbueracua guê di mⴘdi o ñana nen nⴘua manaigui,1
"mi-ga, nin mibⴘy mbô̮nitho ane guenu, guedi mibⴘy nho ⴘnmⴘy xi di mⴘdi o ñana nen nⴘua manaigui",dibime nai ndot nahia,1
"xi bentho guê goguehnⴘmâhâ nā mihma, xi hatobî go, goguehqmâgā nu hô̮nze 922 Ex-O guê dimi anegā hûâhoi on dⴘdô̮ñⴘ AFFC on na Fuerza Aérea",hin guadi guê hin gom nā hô̮nze añô̮-y ane un hûâhoi qhanu mpa,1
"xi bentho guê goguehnⴘmâhâ nā mihma, xi hatobî go, goguehqmâgā nu hô̮nze 922 Ex-O guê dimi anegā hûâhoi on dⴘdô̮ñⴘ AFFC on na Fuerza Aérea",dimi phoca nā caô̮guiqhⴘ on guê gom nu hô̮nze nen qhanu mô̮pô̮dô̮ anu hûâhoi AFFC Air Force Career,1
"xi bentho guê goguehnⴘmâhâ nā mihma, xi hatobî go, goguehqmâgā nu hô̮nze 922 Ex-O guê dimi anegā hûâhoi on dⴘdô̮ñⴘ AFFC on na Fuerza Aérea","o ygotitho nume bi unni nu ziguetho mô̮pô̮dô̮ egue-e, xatî tumpheni ya ypegmihi guê nume bi hiut-mⴘy guê nume bi unni, gotitho gom nai pheccua",1
"xada xicagā guê, guenu... Guê nā mehgo da ȥonaga nâ nguade qhan nume",hinqhamu xada xicagā hinyⴘ on bâdi o nabo-â,1
"xada xicagā guê, guenu... Guê nā mehgo da ȥonaga nâ nguade qhan nume",xada xicagā guê da mahti o nā mehgo qhan bâdiga,1
"xada xicagā guê, guenu... Guê nā mehgo da ȥonaga nâ nguade qhan nume",nu mehgo bi tzô̮hô̮ nā chⴘ nde,1
"qhaa ngu-nho guê bin ditaha imâ on qhana, guê handitho gama o ƌatzi qhana",¡dinega ñaqui-y gotitho xca guê dipaca on qhana!,1
"qhaa ngu-nho guê bin ditaha imâ on qhana, guê handitho gama o ƌatzi qhana","hin da ñama on qhana, qhata qhaa thzu guê qhumi",1
"qhaa ngu-nho guê bin ditaha imâ on qhana, guê handitho gama o ƌatzi qhana",hin da ñama on nā hñaxpipho on nā ndô̮hnînî nguête-a qhaa thzu guê imâ,1
