premise,hypothesis,gpt_label
Nie ma chłopca bawiącego się na świeżym powietrzu i nie ma uśmiechniętego mężczyzny,"Grupa dzieci bawi się na podwórku , a w tle stoi stary mężczyzna",2
"Grupa chłopców na podwórku bawi się , a mężczyzna stoi w tle","Młodzi chłopcy bawią się na świeżym powietrzu , a mężczyzna uśmiecha się w pobliżu",1
"W domu bawi się grupa dzieci , a w tle nie ma mężczyzny","Młodzi chłopcy bawią się na świeżym powietrzu , a mężczyzna uśmiecha się w pobliżu",2
Brązowy pies atakuje inne zwierzę naprzeciwko wysokiego mężczyzny w spodniach,Brązowy pies atakuje inne zwierzę naprzeciwko mężczyzny w spodniach,0
Brązowy pies atakuje inne zwierzę naprzeciwko mężczyzny w spodniach,Brązowy pies pomaga innemu zwierzęciu naprzeciwko mężczyzny w spodniach,2
Dwa psy walczą i przytulają się,Nie ma walczących i przytulających się psów,2
Brązowy pies atakuje inne zwierzę naprzeciwko mężczyzny w spodniach,Nie ma walczących i przytulających się psów,2
Dwa psy walczą i przytulają się,Brązowy pies atakuje inne zwierzę naprzeciwko wysokiego mężczyzny w spodniach,1
Dwa psy walczą i przytulają się,Brązowy pies pomaga innemu zwierzęciu naprzeciwko mężczyzny w spodniach,1
Osoba w czarnej kurtce robi sztuczki na motocyklu,Mężczyzna w czarnej kurtce robi sztuczki na motocyklu,1
"Nie ma mężczyzny w czarnej kurtce , który by robił sztuczki na motocyklu",Osoba w czarnej kurtce robi sztuczki na motocyklu,2
Osoba w czarnej kurtce robi sztuczki na motocyklu,Osoba na czarnym motocyklu robi sztuczki z kurtką,0
Wykwalifikowana osoba jedzie na rowerze na jednym kole,Osoba jedzie na rowerze na jednym kole,0
Nikt nie jedzie na rowerze na jednym kole,Osoba jedzie na rowerze na jednym kole,2
Osoba jedzie na rowerze na jednym kole,"Nie ma mężczyzny w czarnej kurtce , który by robił sztuczki na motocyklu",1
Osoba jedzie na rowerze na jednym kole,Osoba w czarnej kurtce robi sztuczki na motocyklu,2
Mężczyzna z koszulką wrzuca piłkę na meczu koszykówki,Nie ma mężczyzny wrzucającego piłkę na meczu koszykówki,2
Gra w koszykówkę polega na wrzucaniu piłki przez mężczyznę z koszulką,Mężczyzna z koszulką wrzuca piłkę na meczu koszykówki,0
"Mężczyzna grający w koszykówkę wrzuca piłkę do siatki , a tłum jest w tle","Zawodnik wrzuca piłkę do siatki , a tłum jest w tle",0
"Gracz nie ma kosza , a tłum jest w tle","Zawodnik wrzuca piłkę do siatki , a tłum jest w tle",2
Mężczyzna z koszulką wrzuca piłkę na meczu koszykówki,"Gracz nie ma kosza , a tłum jest w tle",2
"Zawodnik wrzuca piłkę do siatki , a tłum jest w tle",Piłka jest wrzucana przez mężczyznę z koszulką na meczu koszykówki,1
Nie ma mężczyzny wrzucającego piłkę na meczu koszykówki,"Zawodnik wrzuca piłkę do siatki , a tłum jest w tle",2
Gra w koszykówkę polega na wrzucaniu piłki przez mężczyznę z koszulką,"Zawodnik wrzuca piłkę do siatki , a tłum jest w tle",1
"Dwie osoby uprawiają kickboxing , a widzowie oglądają","Dwie osoby walczą , a widzowie oglądają",0
"Dwóch widzów uprawia kickboxing , a niektózy ludzie to oglądają","Dwie osoby uprawiają kickboxing , a widzowie oglądają",0
"Dwie osoby uprawiają kickboxing , a widzowie oglądają",Dwie młode kobiety walczą w walce kickboxingowej,1
Dwie kobiety w meczu walczą w meczu kickboxingowym,"Dwie osoby walczą , a widzowie oglądają",1
"Dwóch widzów uprawia kickboxing , a niektózy ludzie to oglądają",Dwie kobiety w meczu walczą w meczu kickboxingowym,1
"Dwie osoby uprawiają kickboxing , a widzowie oglądają",Dwie kobiety w meczu walczą w meczu kickboxingowym,1
Dzieci w czerwonych koszulkach bawią się w liściach,Dzieciaki w czerwonych koszulkach bawią się w liściach,0
Dzieciaki w czerwonych koszulkach bawią się w liściach,Dzieci w czerwonych koszulkach śpią w liściach,2
Dzieciaki w czerwonych koszulkach bawią się w liściach,Dzieci pokryte liśćmi bawią się czerwonymi koszulami,0
Trzech chłopców skacze na liściach,Dzieciaki w czerwonych koszulkach bawią się w liściach,1
Dzieci w czerwonych koszulkach bawią się w liściach,Troje dzieci skacze w liściach,1
Dzieci w czerwonych koszulkach śpią w liściach,Troje dzieci skacze w liściach,2
Dzieci pokryte liśćmi bawią się czerwonymi koszulami,Troje dzieci skacze w liściach,1
Dwoje dzieci leży na śniegu i rysuje aniołki,Dwoje dzieci leży na śniegu i robi śnieżne aniołki,1
Dwoje dzieci leży na śniegu i robi śnieżne aniołki,Nie ma dziecka leżącego na śniegu i robiącego śnieżne aniołki,2
Dwie osoby ubrane w kombinezony narciarskie robią na ziemi śnieżne anioły,Dwie osoby w kombinezonach narciaskich leżą na śniegu i robią anioły śnieżne,0
Dwie osoby w kombinezonach narciaskich leżą na śniegu i robią anioły śnieżne,Nie ma osób w kombinezonach narciarskich leżących i robiących śnieżne anioły,2
Dwoje dzieci leży na śniegu i robi śnieżne aniołki,Dwie osoby ubrane w kombinezony narciarskie robią na ziemi śnieżne anioły,2
Dwoje dzieci leży na śniegu i robi śnieżne aniołki,Nie ma osób w kombinezonach narciarskich leżących i robiących śnieżne anioły,2
Nie ma dziecka leżącego na śniegu i robiącego śnieżne aniołki,Dwie osoby w kombinezonach narciaskich leżą na śniegu i robią anioły śnieżne,2
Mała dziewczynka patrzy na kobietę w kostiumie,Młoda dziewczyna patrzy na kobietę w kostiumie,0
Mała dziewczynka patrzy na kobietę w kostiumie,Dziewczynka patrzy na mężczyznę w kostiumie,2
Mała dziewczynka patrzy na kobietę w kostiumie,Mała dziewczynka w kostiumie wygląda jak kobieta,0
Zamaskowani patrzą w tym samym kierunku w lesie,Mała dziewczynka patrzy na kobietę w kostiumie,2
Mała dziewczynka patrzy na kobietę w kostiumie,Ludzie ubrani w kostiumy zbierają się w lesie i patrzą w tym samym kierunku,1
Mężczyzna skacze do pustego basenu pływackiego,Mężczyzna skacze do pustego basenu,0
Samotny rowerzysta skacze w powietrzu,Mężczyzna skacze do pustego basenu pływackiego,2
Mężczyzna skacze do pustego basenu,"Rowerzysta skacze w powietrzu , sam",2
Mężczyzna skacze do pustego basenu,Nie ma rowerzysty skaczącego w powietrzu,2
Cztery dziewczynki robią mostek i bawią się na świeżym powietrzu,Cztery dziewczynki robią mostek i bawią się w domu,2
Cztery dziewczynki robią mostek i bawią się w ogrodzie,Czworo dzieciaków robi mostek w parku,0
Cztery dziewczynki robią mostek i bawią się w domu,Czworo dzieciaków robi mostek w parku,1
Czworo dzieci robi mostek w parku,Cztery dziewczynki robią mostek i bawią się na świeżym powietrzu,1
Cztery dziewczynki robią mostek i bawią się na świeżym powietrzu,Czworo dzieciaków robi mostek w parku,1
Zawodnik rzuca piłką,Zawodnik biegnie z piłką,2
Dwie grupy osób grają w piłkę nożną,W meczu piłki nożnej rywalizują dwie drużyny,0
W meczu piłki nożnej rywalizują dwie drużyny,Dwie drużyny rywalizują w meczu baseballowym,2
W meczu piłki nożnej rywalizują dwie drużyny,W piłkę nożną grają dwie rywalizujące drużyny,0
Zawodnik biegnie z piłką,W piłkę nożną grają dwie rywalizujące drużyny,1
W meczu piłki nożnej rywalizują dwie drużyny,Mężczyzna podczas gry biegnie z piłką w rękach,1
Pięcioro dzieci stoi przed drewnianą chatką,Pięcioro dzieci stoi przed chatką z drewna,0
"Pięcioro dzieci stoi blisko siebie , a jedno dziecko ma pistolet","Pięcioro dzieci stoi blisko siebie , a jedno dziecko ma broń",0
Pięcioro dzieci stoi przed drewnianą chatką,"Pięcioro dzieci stoi blisko siebie , a jedno dziecko ma broń",1
Pięcioro dzieci stoi przed chatką z drewna,"Pięcioro dzieci stoi blisko siebie , a jedno dziecko ma pistolet",1
Pięcioro dzieci stoi przed drewnianą chatką,"Pięcioro dzieci stoi blisko siebie , a jedno dziecko ma pistolet",1
Człowiek ma na sobie kapelusz i siedzi na trawie,Nie ma nikogo ubranego w kapelusz i siedzącego na trawie,2
Osoba siedzi na polu i jest ubrana w kapelusz,Mężczyzna siedzi na polu,1
Mężczyzna siedzi na polu,Nie ma nikogo ubranego w kapelusz i siedzącego na trawie,2
Starszy mężczyzna siedzi na polu,Człowiek ma na sobie kapelusz i siedzi na trawie,1
Człowiek ma na sobie kapelusz i siedzi na trawie,Mężczyzna biegnie po polu,2
Ta grupa osób praktykuje bezpieczeństwo wodne i nosi kamizelki ratunkowe,"Kamizelki ratunkowe są noszeni przez grupę ludzi , którzy praktykują bezpieczeństwo wodne",0
Nikt nie praktykuje bezpieczeństwa wodnego i nie nosi kamizelek ratunkowych,Ta grupa osób praktykuje bezpieczeństwo wodne i nosi kamizelki ratunkowe,2
Grupa przyjaciół płynie tratwą z nurtem,"Kamizelki ratunkowe są noszeni przez grupę ludzi , którzy praktykują bezpieczeństwo wodne",1
Nikt nie praktykuje bezpieczeństwa wodnego i nie nosi kamizelek ratunkowych,Grupa przyjaciół płynie tratwą z nurtem,1
Grupa nie płynie tratwą z nurtem,Ta grupa osób praktykuje bezpieczeństwo wodne i nosi kamizelki ratunkowe,1
Jeleń skacze przez płot,Jeleń skacze przez zagrodę,0
Dziki jeleń przekakuje płot,Jeleń przeskakuje płot,0
Jeleń przeskakuje płot,Nie ma jeleni przeskakujących płot,2
Dziki jeleń przekakuje płot,Jeleń skacze przez płot,0
Nie ma jeleni przeskakujących płot,Jeleń skacze przez płot,2
Jeleń skacze przez zagrodę,Jeleń przeskakuje płot,0
Jeleń przeskakuje płot,Jeleń nie skacze przez płot,2
Jeleń skacze przez płot,Jeleń przeskakuje płot,0
"Ludzie spacerują na zewnątrz budynku , na którym znajduje się wiele murali","Ludzie spacerują na zewnątrz budynku , na którym znajduje się kilka murali",0
"Kilka osób znajduje się przed budynkiem , który jest pokryty kolorami",Kilka osób znajduje się przed kolorowym budynkiem,0
"Kilka osób znajduje się przed budynkiem , który jest pokryty kolorami","Ludzie spacerują na zewnątrz budynku , na którym znajduje się wiele murali",1
Kilka osób znajduje się przed kolorowym budynkiem,"Ludzie wchodzą do środka budynku , na którym znajduje się wiele murali",1
"Ludzie spacerują na zewnątrz budynku , na którym znajduje się wiele murali",Kilka osób znajduje się przed kolorowym budynkiem,1
Chłopiec uderza w piłkę baseballową,Dziecko uderza w piłkę baseballową,0
Dziecko uderza w piłkę baseballową,Dziecko nie trafia w piłkę baseballową,2
"Rodzina ogląda chłopca , który uderza w piłkę baseballową","Rodzina patrzy na chłopca , który uderza w piłkę baseballową",0
"Mały chłopiec patrzy na rodzinę , która uderza w piłkę baseballową","Rodzina ogląda chłopca , który uderza w piłkę baseballową",0
"Rodzina patrzy na chłopca , który uderza w piłkę baseballową",Dziecko uderza w piłkę baseballową,0
"Mały chłopiec patrzy na rodzinę , która uderza w piłkę baseballową",Dziecko uderza w piłkę baseballową,0
"Rodzina ogląda chłopca , który uderza w piłkę baseballową",Chłopiec uderza w piłkę baseballową,0
"Rodzina ogląda chłopca , który uderza w piłkę baseballową",Dziecko uderza w piłkę baseballową,0
Duża grupa ludzi azjatów je w restauracji,Grupa ludzi z Azji je w restauracji,0
Duża grupa ludzi azjatów je w restauracji,Niewielka grupa osób czeka na jedzenie w restauracji,2
Duża grupa ludzi azjatów je w restauracji,Grupa ludzi w dużej azjatyckiej restauracji je,0
Różne osoby jedzą przy czerwonych stołach w zatłoczonej restauracji z fioletowym światłem,W zatłoczonej restauracji z fioletowym światłem jedzą różni klienci,0
Niewiele osób je przy czerwonych stołach w restauracji bez oświetlenia,Różne osoby jedzą przy czerwonych stołach w zatłoczonej restauracji z fioletowym światłem,2
