premise,hypothesis,gpt_label
"dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom",waxaataguma ak moom,0
"dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom",Dama jaaxlewoon ba dama mujje waxaat ak moom,2
"dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom",waxtaan nanu lu yaatu,0
"dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom",kenn mësu ma wax ma dajeek kenn,0
"dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom",nee nanu ma woowoon nanu  benn waay ngir ma dajeek moom,0
"dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom",waa ji dafa dikkul woon ca waxtu wa,2
am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore,dama leen bëggoon a wax lépp li ma xam ci mbir mi,0
am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore,"duma ci wax, donte sax am na ñu bare ñu may sàng sutura",2
am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore,duma wax ci mbooru dëkk bi ndax li ñu ci mën a wax dafa bare,0
"kon xamuma, dëgg-dëgg, li ko waral",xam naa  li ko waral,2
"kon xamuma, dëgg-dëgg, li ko waral",xamuma lu tax mu soppi ab lekool,2
"kon xamuma, dëgg-dëgg, li ko waral",xamuma li ko waral,0
man kese maa mënoon saasu ne di doxal jutuwaayu natt bi ci néeg yu suufe yi,bëgguma woon a nekk kenn rekk ki doon jëfandikoo jumtuwaayu natt bi ngir saytu yi,2
man kese maa mënoon saasu ne di doxal jutuwaayu natt bi ci néeg yu suufe yi,saytu yi ci néeg yu suufe yi lees ko doon amalee,2
man kese maa mënoon saasu ne di doxal jutuwaayu natt bi ci néeg yu suufe yi,ñenn ci ñun ñi ngi doon daw ci sunu ginaaw ak jumtuwaayu natt bi ngir saytu yi,2
