premise,hypothesis,gpt_label
"Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.",Ban ƙara masa magana ba.,2
"Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.",Naji haushi sosai kawai na fara ƙara yi masa magana.,0
"Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.",Mun yi hira mai dadi.,1
"Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.",Ba'a gaya min komai ba akan zan haɗu da kowa ba.,2
"Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.",An gayan zaa kira min wani mu haɗu. ,0
"Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.",Mutumin ya ɗan zo a makare.,2
Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.,Ina so na faɗa ma duk abinda na sani akan hakan.,1
Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.,"Ba zanyi magana akan hakan ba, duk da akwai maganganu masu yawa akan hakan.",2
Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.,"Ba zanyi magana akan tarihi jihar ba, saboda akwai abun faɗa da yawa.",1
Dan haka ban tabbatar da mene dalili ba.,Na tabbatar da mene dalilin.,2
Dan haka ban tabbatar da mene dalili ba.,Ban san dalilin yawan canja makarantun sa ba.,1
Dan haka ban tabbatar da mene dalili ba.,Ban san meyasa hakan ta faru ba.,0
"Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren  altitude.",Ba na son na zama ni kaɗai nake jagorancin masu gudanar da gwajin.,0
"Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren  altitude.",Anyi gwajin a karamin zauren altitude.,0
"Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren  altitude.",Kaɗan daga cikin mu ne muka jagorancin masu gudanar da gwajin.,0
"Ni uh, babban jami'i tsoro, mai ritaya kamar yadda Rick ya faɗa. ",Har yanzu a wannan ranar ina aiki.,2
"Ni uh, babban jami'i tsoro, mai ritaya kamar yadda Rick ya faɗa. ",Na yi ritaya a 2002.,1
"Ni uh, babban jami'i tsoro, mai ritaya kamar yadda Rick ya faɗa. ",Rick ya gaya muku na yi ritaya.,0
"Akwai wasu hasashen shiga da fitar kudi a kan tebur ɗi na kuma, um, uh, kuma na Cutty,  Shine sunan abokin huldar.",Abokin huldar mai suna Cutty yana samun $10000 a wata.,1
"Akwai wasu hasashen shiga da fitar kudi a kan tebur ɗi na kuma, um, uh, kuma na Cutty,  Shine sunan abokin huldar.",Akwai abokin huldar mai suna Cutty.,0
"Akwai wasu hasashen shiga da fitar kudi a kan tebur ɗi na kuma, um, uh, kuma na Cutty,  Shine sunan abokin huldar.",Ba mu da wani abokin hulda mai suna Cutty.,2
Yarinyar da zata iya taimaka min tana can tsallake gari.,Yarinyar da nake buƙatar taimakon ta tana zaune a can nesa.,0
Yarinyar da zata iya taimaka min tana can tsallake gari.,Yarinyar da zata taimake ni tana can tafiyar mil 5.,2
Yarinyar da zata iya taimaka min tana can tsallake gari.,Babu wani da zai iya taimaka min.,2
"Amma an rarraba su kamar su waye zasu sa hannu a gonar da kuma su waye yaran gida, Kamar dai haka---",Duka sun yadda akan cewa za su yi aiki a gona.,0
"Amma an rarraba su kamar su waye zasu sa hannu a gonar da kuma su waye yaran gida, Kamar dai haka---",Sun kasa samun matsaya akan wa zai sa hannu a gona kuma wa ya dace ya zauna a gida.,2
"Amma an rarraba su kamar su waye zasu sa hannu a gonar da kuma su waye yaran gida, Kamar dai haka---",Sun kasa samun matsaya akan waye zai aiki a gonar auduga da kuma waye zai goge ƙasan .,2
"Ina nufin, suna da kamar yara biyar, ɗaya daga cikin su ya rasu.",Duka yaransu sun rayu.,2
"Ina nufin, suna da kamar yara biyar, ɗaya daga cikin su ya rasu.",Ɗaya daga cikin yara biyar din ya rasu.,0
"Ina nufin, suna da kamar yara biyar, ɗaya daga cikin su ya rasu.",Yaran da ya rasu an haife shi da rashin alfiya.,1
"Tace a yayin da hawaye ne kawai ke zuba daga idon ta kuma tace, sannan tace Joe hayo kan barandar.",Da tana faɗa masa ya hayo kan barandar idanun ta da hawaye.,0
"Tace a yayin da hawaye ne kawai ke zuba daga idon ta kuma tace, sannan tace Joe hayo kan barandar.",Tayi saurin goge hawayen bayan ta tunkuɗo da Joe daga baranda.,0
"Tace a yayin da hawaye ne kawai ke zuba daga idon ta kuma tace, sannan tace Joe hayo kan barandar.",Ta fara kuka saboda murnar ganin Joe.,2
"Koda jirgin saman ya kama da wuta, abin da yasa, zai uh, ƙone kuma zai narke ta sashin sinadari lead saboda tururin ya fita.",Zaa iya ƙunshe tururin a lokacin wutar kuma.,0
"Koda jirgin saman ya kama da wuta, abin da yasa, zai uh, ƙone kuma zai narke ta sashin sinadari lead saboda tururin ya fita.",Tururin zai fice daga sashen sinadari lead bayan jirgin saman ya ƙone. ,0
"Koda jirgin saman ya kama da wuta, abin da yasa, zai uh, ƙone kuma zai narke ta sashin sinadari lead saboda tururin ya fita.",Tururin ba zai fita ba lokacin gobara ba.,2
"Wannan shine babban jami'in tsaro Francis, yayi ritaya daga rundunar sojojin sama na Amurka.",Babban jami'in yayi ritaya ne daga rundunar sojojin sama na Amurka.,0
"Wannan shine babban jami'in tsaro Francis, yayi ritaya daga rundunar sojojin sama na Amurka.",Kwananan Babban jami'in tsaron yayi ritaya a cikin 'yan makonni da suka wuce.,1
"Wannan shine babban jami'in tsaro Francis, yayi ritaya daga rundunar sojojin sama na Amurka.",Babban jami'in rundunar sojojin sama na Amurka ya fara aikinsa a wannan mako.,2
"Dan Haka, ya kai jiragen sama biyu zuwa uku ne suke zuwa a sati kuma ban san inda zasu je ba.",Sama da jirgin sama ɗaya ke zuwa kowane sati.,2
"Dan Haka, ya kai jiragen sama biyu zuwa uku ne suke zuwa a sati kuma ban san inda zasu je ba.",Akwai wahala a karin yawan zirga-zirga nan.,1
"Dan Haka, ya kai jiragen sama biyu zuwa uku ne suke zuwa a sati kuma ban san inda zasu je ba.",Babu wani jirgin sama da zai zo.,2
Sun riga sun sami horo a kan rigar kariyar na matukar jirgin kuma ya ɗauke ni lokaci kafin nayi shigar kariyar.,Yana ɗaukan watanni uku kafin a gama horon amfani rigar kariyar matuka jirgin.,1
Sun riga sun sami horo a kan rigar kariyar na matukar jirgin kuma ya ɗauke ni lokaci kafin nayi shigar kariyar.,Horon sanya rigar ƙariya na matukan jirgi na daukar lokaci mai tsayi.,0
Sun riga sun sami horo a kan rigar kariyar na matukar jirgin kuma ya ɗauke ni lokaci kafin nayi shigar kariyar.,Zamu iya baka horo kan yadda ake amfani da rigar kariya matukar jirgin kafin rarar yau ta ƙare. ,1
Ina so nace babu wani hatsari na shiga da bam din saboda ba zai tashi ba duk yadda aka buga shi ƙasa .,Mai tuƙin jirgin saman ya kashe bam din.,1
Ina so nace babu wani hatsari na shiga da bam din saboda ba zai tashi ba duk yadda aka buga shi ƙasa .,Bam ɗin bashi da damar tashi.,0
