premise,hypothesis,gpt_label
"Yoo, na mendwene ho mpo, nanso na m'abam abu, na, ewie aseɛ no me ne no kasaa bio.",Me ne no nkasae bio.,0
"Yoo, na mendwene ho mpo, nanso na m'abam abu, na, ewie aseɛ no me ne no kasaa bio.",Mebo fuu yiye na mehyɛɛ aseɛ sɛ me ne no kasa bio. ,0
"Yoo, na mendwene ho mpo, nanso na m'abam abu, na, ewie aseɛ no me ne no kasaa bio.",Yɛ ne no nnya nkutahodie kama.,0
"Wɔka kyerɛɛ me sɛ, wɔbe frɛ me wɔ ɔbarima bia mehyia no wɔ awieeɛ no mu. ",Wɔanka biribiara ankyerɛ me sɛ mihyiaa obiara.,0
"Wɔka kyerɛɛ me sɛ, wɔbe frɛ me wɔ ɔbarima bia mehyia no wɔ awieeɛ no mu. ","Wɔka kyersɛsɛ me sɛ, wɔbɛfrɛ ɔbarima bi ama na yɛhyia.",0
"Wɔka kyerɛɛ me sɛ, wɔbe frɛ me wɔ ɔbarima bia mehyia no wɔ awieeɛ no mu. ",Ɔbarima no baa akyiri yi.,0
Nneama pii wɔ hɔ a wubetumi aka ho asɛm a meyi meni wɔ ho. ,Mepɛ sɛ meka biribiara kyerɛ wo a na menim wɔ ho no!,1
Nneama pii wɔ hɔ a wubetumi aka ho asɛm a meyi meni wɔ ho. ,"Menka asɛm biara ɛmfa ho, ɛwom sɛ nneɛma bebree wɔ hɔ a ɛyɛ sɛ yɛka.",0
Nneama pii wɔ hɔ a wubetumi aka ho asɛm a meyi meni wɔ ho. ,Menka asɛm biara ɛmfa abakɔsɛm fa kuropɔn no ho efisɛ nsɛm pii wɔ hɔ a ɛsɛ sɛ wɔka.,0
Enti na minnim nea enti a ɛte saa.,Me wɔ ahotɔsoɔ wɔ nea enti a ɛte saa.,0
Enti na minnim nea enti a ɛte saa.,Minnim nea enti a wɔfirii sukuu hɔ kɔɔ foforɔ mu.,2
Enti na minnim nea enti a ɛte saa.,Minnim nea enti a ɛbaa mu.,2
"Na mɛyɛ baako pɛ, na menkoa na medi afidie no ho dwuma, na nhwehwɛmu nhyiamudan nketekete ɛwɔ soro.",Na mempɛ sɛ menkoa na na meyɛ nhwehwɛmu no.,0
"Na mɛyɛ baako pɛ, na menkoa na medi afidie no ho dwuma, na nhwehwɛmu nhyiamudan nketekete ɛwɔ soro.",Nhwehwɛmu no baa awie wɔ nhyiamudan nketewa a ɛwɔ soro no mu.,2
"Na mɛyɛ baako pɛ, na menkoa na medi afidie no ho dwuma, na nhwehwɛmu nhyiamudan nketekete ɛwɔ soro.",Yɛn mu ketewa bi na yɛbetumi ahwɛ ahwɛsofoɔ nhwehwɛmu no.,2
"Meyɛ, Owura Panin Sergeant, a ɔkɔ ahomegyeɛ mu, sɛneɛ Rick kaɛ no.",Mekɔ so ara yɛ adwuma besi nnɛ. ,2
"Meyɛ, Owura Panin Sergeant, a ɔkɔ ahomegyeɛ mu, sɛneɛ Rick kaɛ no.",Mekɔɔ ahomegyeɛ mu wɔ afe 2002 mu.,1
"Meyɛ, Owura Panin Sergeant, a ɔkɔ ahomegyeɛ mu, sɛneɛ Rick kaɛ no.",Rock ka kyerɛɛ wo sɛ megyae adwuma. ,0
"Na sikasɛm bikɔ so wɔ me pon so, na ɛyɛ Cutty dea, saa na ɔdetɔfoɔ no din di.",Cutty ɔdetɔni no nya $10000 wɔ bosome mu. ,1
"Na sikasɛm bikɔ so wɔ me pon so, na ɛyɛ Cutty dea, saa na ɔdetɔfoɔ no din di.",Ɔdetɔni bi wɔ hɔ a yɛfrɛ no Cutty.,0
"Na sikasɛm bikɔ so wɔ me pon so, na ɛyɛ Cutty dea, saa na ɔdetɔfoɔ no din di.",Yɛn ni ɔdetɔni biara a yɛfrɛ no Cutty.,0
Abaayewa noa ɔbetumi aboa me no wɔ kuro no fa nohoa.,Abaayewa a mehia ne mboa fri ne hɔ no te akyirikyiri.,0
Abaayewa noa ɔbetumi aboa me no wɔ kuro no fa nohoa.,Abaayewa a wɔbɛ boa  me no te ɛkwansini num akyiri. ,0
Abaayewa noa ɔbetumi aboa me no wɔ kuro no fa nohoa.,Obiara nni hɔ a ɔbetumi aboa me.,2
"Nanso na wɔn mu akyɛ esiane wɔn a ɛwɔ sɛ ɔyɛ adwuma wɔ abonten ne mmofra a ɔwɔ fie, na ayɛ sɛ--",Wɔn nyinaa penee so sɛ wɔbɛyɛ adwuma no wɔ asasetam no mu.,2
"Nanso na wɔn mu akyɛ esiane wɔn a ɛwɔ sɛ ɔyɛ adwuma wɔ abonten ne mmofra a ɔwɔ fie, na ayɛ sɛ--",Wɔn ampene so wɔ nea ɔbeyɛ asasetam mu somfo ne nea ɛsɛ sɛ ɔtra fie no.,2
"Nanso na wɔn mu akyɛ esiane wɔn a ɛwɔ sɛ ɔyɛ adwuma wɔ abonten ne mmofra a ɔwɔ fie, na ayɛ sɛ--",Wɔn apenee so wɔ nea ɔbeyɛ adwuma wɔ asaawa afum no mu ne nea ɛsɛ sɛ ɔsiesie fam hɔ no.,0
"Mekyerɛ sɛ na wɔwɔ, ɛtesɛ, na wɔwɔ mmɔfra num, na mmofra no baako wuuɛ. ",Ne mmɔfraa no nyinaa nyaa nkwa.,2
"Mekyerɛ sɛ na wɔwɔ, ɛtesɛ, na wɔwɔ mmɔfra num, na mmofra no baako wuuɛ. ",Abɔfra baako wuuɛ wɔ enum no mu.,0
"Mekyerɛ sɛ na wɔwɔ, ɛtesɛ, na wɔwɔ mmɔfra num, na mmofra no baako wuuɛ. ",Abɔfra na owuuɛ no wɔwoo no yarefoɔ.,1
"Ɔkyerɛɛ sɛ na nisuo firi n'ani ase reba na ɔkaa sɛ, ɔsanso kaa sɛ Joe baa abrannaa no so.",Berɛ a ɔka kyerɛ no sɛ ɔmbra abrannaa hɔ no na nisuo wɔ n'ani ase.,0
"Ɔkyerɛɛ sɛ na nisuo firi n'ani ase reba na ɔkaa sɛ, ɔsanso kaa sɛ Joe baa abrannaa no so.",Ntɛmpa ara no ɔpepaa nisuo wɔ n'ani ase bere a ɔtoo Joe fri abrannaa no so.,0
"Ɔkyerɛɛ sɛ na nisuo firi n'ani ase reba na ɔkaa sɛ, ɔsanso kaa sɛ Joe baa abrannaa no so.",N'ani gyei paa sɛ  ɔhu Joe na ofii ase sui. ,0
