Language,FLORES-200 code,xx - English,English - xx
Acehnese (Arabic script),ace_Arab,31.3,15.7
Acehnese (Latin script),ace_Latn,49.7,36.5
Mesopotamian Arabic,acm_Arab,59.9,39.8
Ta’izzi-Adeni Arabic,acq_Arab,61.4,45.8
Tunisian Arabic,aeb_Arab,57.3,36.2
Afrikaans,afr_Latn,75.8,64.3
South Levantine Arabic,ajp_Arab,64.3,48.6
Akan,aka_Latn,44.4,34.6
Tosk Albanian,als_Latn,65.4,58.9
Amharic,amh_Ethi,60.1,35.6
North Levantine Arabic,apc_Arab,63.2,46.9
Modern Standard Arabic,arb_Arab,65.2,55.6
Modern Standard Arabic (Romanized),arb_Latn,1.3,3.9
Najdi Arabic,ars_Arab,62.8,52.2
Moroccan Arabic,ary_Arab,55.4,35.8
Egyptian Arabic,arz_Arab,58.4,45.3
Assamese,asm_Beng,56.9,36.3
Asturian,ast_Latn,65.2,46.6
Awadhi,awa_Deva,64.2,41.4
Central Aymara,ayr_Latn,33.9,27.6
South Azerbaijani,azb_Arab,42.4,22.4
North Azerbaijani,azj_Latn,51.8,45.3
Bashkir,bak_Cyrl,57.1,49.2
Bambara,bam_Latn,38.9,30.6
Balinese,ban_Latn,58.7,43.1
Belarusian,bel_Cyrl,50.1,43.6
Bemba,bem_Latn,50.5,37.5
Bengali,ben_Beng,61.9,48.1
Bhojpuri,bho_Deva,56.9,41.8
Banjar (Arabic script),bjn_Arab,34.7,16.0
Banjar (Latin script),bjn_Latn,61.0,47.9
Standard Tibetan,bod_Tibt,36.4,26.6
Bosnian,bos_Latn,66.7,58.8
Buginese,bug_Latn,45.0,32.4
Bulgarian,bul_Cyrl,66.4,65.0
Catalan,cat_Latn,69.2,65.0
Cebuano,ceb_Latn,66.9,56.9
Czech,ces_Latn,64.0,56.8
Chokwe,cjk_Latn,31.5,22.5
Central Kurdish,ckb_Arab,59.2,44.2
Crimean Tatar,crh_Latn,58.2,45.1
Welsh,cym_Latn,73.5,65.1
Danish,dan_Latn,69.8,66.8
German,deu_Latn,67.1,63.3
Southwestern Dinka,dik_Latn,31.9,18.1
Dyula,dyu_Latn,27.7,17.5
Dzongkha,dzo_Tibt,41.4,31.7
Greek,ell_Grek,61.2,53.1
Esperanto,epo_Latn,67.7,60.4
Estonian,est_Latn,62.5,54.9
Basque,eus_Latn,57.6,49.2
Ewe,ewe_Latn,41.0,36.1
Faroese,fao_Latn,56.2,47.1
Fijian,fij_Latn,44.5,45.9
Finnish,fin_Latn,60.1,54.3
Fon,fon_Latn,32.0,18.1
French,fra_Latn,67.7,70.7
Friulian,fur_Latn,65.0,57.0
Nigerian Fulfulde,fuv_Latn,32.2,21.0
West Central Oromo,gaz_Latn,48.5,35.0
Scottish Gaelic,gla_Latn,55.5,48.0
