Language name,Language code,Accuracy
Amharic,amh,68.5
Arabic,ara,78.2
Assamese,asm,66.5
Aymara,aym,52.3
Bengali,ben,75.0
Bulgarian,bul,79.5
Bribri,bzd,41.5
Catalan,cat,82.8
Asháninka,cni,41.7
German,deu,80.2
Greek,ell,81.3
English,eng,88.3
Ewe,ewe,42.0
French,fra,80.0
Guarani,grn,56.3
Gujarati,guj,73.2
Hausa,hau,72.0
Wixarika,hch,36.5
Hindi,hin,78.7
Igbo,ibo,67.3
Indonesian,ind,87.2
Japanese,jpn,81.3
Kannada,kan,72.8
Kinyarwanda,kin,67.5
Korean,kor,86.2
Lingala,lin,32.3
Luganda,lug,66.0
Malayalam,mal,72.0
Marathi,mar,71.8
Burmese,mya,72.8
Nahuatl,nah,48.5
Odia (Oriya),ori,70.5
Oromo,orm,66.8
Otomi,oto,40.7
Punjabi,pan,75.3
Jamaican Patois,pat,90.0
Polish,pol,83.5
Portuguese,por,96.8
Quechua,quy,50.3
Romanian,ron,64.0
Russian,rus,76.3
Shipibo-Conibo,shp,42.5
chiShona,sna,71.2
Sesotho,sot,68.7
Spanish,spa,84.2
Swahili,swa,69.7
Tamil,tam,72.0
Rarámuri,tar,40.2
Telugu,tel,71.8
Thai,tha,73.2
Turkish,tur,76.3
Twi,twi,52.8
Urdu,urd,69.3
Vietnamese,vie,77.5
Wolof,wol,45.3
isiXhosa,xho,70.0
Yoruba,yor,61.7
Chinese,zho,76.0
isiZulu,zul,67.0
