,Full Results for Cross-Lingual MLMs,,,,,
Evaluation,Finetune in English,,,Translate-Train-All,,
Model Name,XLM-V,INFOXLM,XLM-R,XLM-V,INFOXLM,XLM-R
Size/Variant,large,large,large,large,large,large
AVG,55.6,56.2,54,60.2,60,58.9
PCT Above 50,69.7%,67.2%,64.8%,76.2%,70.5%,69.7%
PCT Above 70,21.9%,28.9%,15.7%,33.1%,37.2%,36.4%
eng_Latn,76.2,79.3,76.2,77.8,81.2,78.7
acm_Arab,51.2,57.3,55.4,55.3,57.6,59.2
afr_Latn,69.3,72.7,69.1,72.3,75.1,74.3
als_Latn,68.4,68.9,64.9,70.8,72.2,71.4
amh_Ethi,53.1,52.9,52.6,61.6,60,60.7
apc_Arab,56.1,58.8,57.9,57.7,60.6,61.9
arb_Arab,67.2,71,69.8,70.6,75,74.3
arb_Latn,29.3,32.2,27.6,31.6,33.4,30.6
ars_Arab,55.6,59.9,58.9,61.1,65.8,65.9
ary_Arab,43.8,48.7,44,48,52.8,52.6
arz_Arab,56.9,60.2,57.6,61.4,64.9,66.1
asm_Beng,53.7,53.6,49.3,58.6,58.8,56.9
azj_Latn,59.7,61.3,59,65,65.6,65.1
bam_Latn,34.2,34.9,33.2,39.2,39.1,36.9
ben_Beng,60,63.4,59.6,65.6,69.6,63.7
ben_Latn,46.8,36.9,38.8,53,42.7,48.1
bod_Tibt,24,24.9,23.7,24.8,23.3,36.9
bul_Cyrl,72.6,72,70.1,74,75.3,74.2
cat_Latn,71.6,74.4,72,75.7,78.1,74.7
ceb_Latn,45.4,44.1,42.3,52,52.6,50.7
ces_Latn,69.9,72.3,69.9,72.3,76.2,74.4
ckb_Arab,29.7,52.3,30.3,36.9,58,36.9
dan_Latn,70.8,74.1,72.9,73,76.3,74.7
deu_Latn,72.6,75.7,72.9,74.1,78.7,76.7
ell_Grek,70.3,72.3,70.3,73.1,74.9,73
est_Latn,63.2,67.2,64.8,68.7,70.7,70.4
eus_Latn,63.6,66.1,64.8,68.2,70.8,70.3
ﬁn_Latn,69.1,72.4,72.2,73,75.2,74.9
fra_Latn,73.1,74.2,72.1,74.6,76.8,75.6
fuv_Latn,29.7,27.7,26.4,32.8,30.7,31.1
gaz_Latn,48.8,33.8,36.4,52.6,36,43.3
grn_Latn,53.9,37.8,37.9,59.6,40.6,41.9
guj_Gujr,58.7,57,54.1,63.3,65.9,63.1
hat_Latn,57.1,39.6,35.2,63.2,44.1,39.8
hau_Latn,51,41.1,48.2,53.4,48.1,53
heb_Hebr,67.2,68.2,64.8,69.3,72.3,70.6
hin_Deva,57.9,60.2,57.4,63.8,64.3,63.4
hin_Latn,53.1,49.7,46.8,57.6,55.4,58.9
hrv_Latn,70,72.4,69.9,71.2,75.3,74
hun_Latn,69.7,70.8,70,73.1,74.2,72.8
hye_Armn,59.4,61,58.9,65.9,66.1,64.7
ibo_Latn,40.1,32.2,31.2,46.8,32,32.2
ilo_Latn,37.4,36.3,33.8,38.1,40.6,39.7
ind_Latn,68.9,70.7,68,71.3,73.1,70.4
isl_Latn,67.3,66,63.8,70.1,68.9,69
ita_Latn,70.6,72.8,70,71.8,76.4,73.3
jav_Latn,64.2,59.8,60.8,67.2,63.3,66.8
jpn_Jpan,66.4,70.1,67.6,71.3,71.8,71
kac_Latn,32,29.1,32.1,33.8,34,33.3
kan_Knda,61.1,62,59.7,66.6,68.4,69.1
kat_Geor,64.7,64.8,63.6,68,68.9,67.4
kaz_Cyrl,60.1,61.6,56.8,64.9,65.3,64.7
kea_Latn,44,45.2,44.9,48.7,47.7,48.1
khk_Cyrl,56.7,58.8,57.8,61.1,64.6,64.2
khm_Khmr,60,59,57.7,63,64.2,63.8
kin_Latn,35.9,33.6,34.3,39.1,39.1,38.6
kir_Cyrl,65.4,63.4,61.8,68.3,68.2,67.7
kor_Hang,70.1,71.4,68.7,72.9,74.6,74.8
lao_Laoo,55.8,57.6,53,63.2,63.6,63
lin_Latn,44.7,33.2,30.6,50.9,35.3,34.4
lit_Latn,68.3,69.4,67.2,71.7,72.9,72
lug_Latn,39.9,29.4,31.6,47.8,34.7,34.7
luo_Latn,30.3,30.9,30.8,33.7,34.9,33.2
lvs_Latn,70.1,71.3,68.7,74.1,75.6,73
mal_Mlym,62,65,62.7,69.1,68.3,67.1
mar_Deva,62.6,65.2,60.8,69.2,68.8,67.2
mkd_Cyrl,67.8,69.3,65.7,71,73.8,72.8
mlt_Latn,37.9,57.1,38.1,40.2,63.7,42.7
mri_Latn,32,30.6,32.2,33,35.7,34
mya_Mymr,56.6,59.1,53.6,62.2,65.1,62.9
nld_Latn,68.4,71.7,71,68.6,74,72.8
nob_Latn,71.8,73.6,70.7,72.8,75.4,74.2
npi_Deva,58.4,60.7,55.7,64.4,65.8,62.7
npi_Latn,38.3,35.8,33.8,37.4,36.4,34.8
nso_Latn,45.9,31.3,30,53.2,34.1,34.7
nya_Latn,31,29.2,29.8,34.2,33,30.8
ory_Orya,60.8,62.1,58.6,65.6,65.4,63.9
pan_Guru,58.1,59.2,57.8,63.1,62.6,62
pbt_Arab,55.4,56,51,60.6,62.6,61.1
pes_Arab,68.3,69.1,68.2,70.8,73.6,72
plt_Latn,55.7,45.6,52.7,61.7,53.4,58.1
pol_Latn,69,70.4,67.4,72.1,73.7,72.7
por_Latn,70.9,74.3,70.6,73.8,77.1,74
ron_Latn,72.3,72.9,71.3,74,76.2,74.8
rus_Cyrl,71.9,73.8,72.2,75.4,76.8,77.1
shn_Mymr,26.9,25.2,26.3,25,26.4,27
sin_Latn,24.9,34.2,30.7,41.7,38.3,37.3
sin_Sinh,64.4,67.2,62.7,69.8,70.2,68.6
slk_Latn,69.3,71.9,70.2,72.6,76.7,73
slv_Latn,69.7,72.2,68.6,71.8,75.4,73.9
sna_Latn,34.8,37.2,33.2,37.1,38.6,35.9
snd_Arab,55.2,56.6,51.9,60,61.3,61.3
som_Latn,46,39.1,42.6,50.7,46.3,50.7
sot_Latn,46.8,29.3,31.3,52,31.9,32.7
spa_Latn,71,73.3,71.4,72.7,75.3,76.4
srp_Cyrl,71,70.9,71.1,73.6,76.1,75.9
ssw_Latn,39.8,30.6,34.3,47.1,34.3,38.9
sun_Latn,60.9,50.7,55.3,64.2,55.8,59.4
swe_Latn,73,75,74.2,74.2,76.9,75.1
swh_Latn,64.9,65.3,62.8,69.3,69.2,68.7
tam_Taml,61.8,64.6,61.7,67.4,69.4,65.3
tel_Telu,55.6,57.8,53.6,62.1,63.2,61.1
tgk_Cyrl,38.2,58.6,33.8,39.2,64.3,39.6
tgl_Latn,69.2,67.4,64.7,72,70.4,70
tha_Thai,63.8,68.1,65.8,69,68.9,70.1
tir_Ethi,33.3,36.7,33.8,39.9,42.1,37.7
tsn_Latn,49,35,30.8,49.8,35.7,34.3
tso_Latn,37.9,36.3,34.2,41.7,39.7,37.1
tur_Latn,66.7,70.2,66.8,70.6,72,72
ukr_Cyrl,70.4,70.9,71,72.3,74.9,75
urd_Arab,61.6,63.8,59.3,65.6,68.6,66.3
urd_Latn,42.2,42.6,40.8,49.4,48.9,48.4
uzn_Latn,65.2,66.9,64.4,69.1,70.6,70.2
vie_Latn,69.6,71.1,69.4,73.7,72.9,71.4
war_Latn,46.4,44.7,43.7,47.6,49.3,46.6
wol_Latn,36.8,32.2,30.4,40.6,32.3,32.2
xho_Latn,48.7,36.1,39,54.4,40.2,45.4
yor_Latn,35,29.3,28.7,38.6,32,27.9
zho_Hans,69.8,74.6,71,73.7,76.2,74.8
zho_Hant,69.2,72.4,67.1,73.1,74.3,71.3
zsm_Latn,69.1,72.6,69.9,72.4,73.3,72.2
zul_Latn,46.9,36.4,39,54.2,39.8,44.1
Table 5: Results of Cross-Lingual MLMs in the two settings described in Section 4.,,,,,,
"For all, the large version was used which is the same architecture across all three. XLM-V has a",,,,,,
"signiﬁcantly larger vocabulary size, leading to more total parameters. We ﬁnd that in general, INFOXLM",,,,,,
and XLM-V are very similar and both out-perform XLM-R across the board. INFOXLM outperforms,,,,,,
