language_code,Flores xx-eng gpt-4o (Apr 2025),Flores eng-xx gpt-4o (Apr 2025)
ace_Arab,31.3,15.7
ace_Latn,49.7,36.5
acm_Arab,59.9,39.8
acq_Arab,61.4,45.8
aeb_Arab,57.3,36.2
afr_Latn,75.8,64.3
ajp_Arab,64.3,48.6
aka_Latn,44.4,34.6
als_Latn,65.4,58.9
amh_Ethi,60.1,35.6
apc_Arab,63.2,46.9
arb_Arab,65.2,55.6
arb_Latn,1.3,3.9
ars_Arab,62.8,52.2
ary_Arab,55.4,35.8
arz_Arab,58.4,45.3
asm_Beng,56.9,36.3
ast_Latn,65.2,46.6
awa_Deva,64.2,41.4
ayr_Latn,33.9,27.6
azb_Arab,42.4,22.4
azj_Latn,51.8,45.3
bak_Cyrl,57.1,49.2
bam_Latn,38.9,30.6
ban_Latn,58.7,43.1
bel_Cyrl,50.1,43.6
bem_Latn,50.5,37.5
ben_Beng,61.9,48.1
bho_Deva,56.9,41.8
bjn_Arab,34.7,16.0
bjn_Latn,61.0,47.9
bod_Tibt,36.4,26.6
bos_Latn,66.7,58.8
bug_Latn,45.0,32.4
bul_Cyrl,66.4,65.0
cat_Latn,69.2,65.0
ceb_Latn,66.9,56.9
ces_Latn,64.0,56.8
cjk_Latn,31.5,22.5
ckb_Arab,59.2,44.2
crh_Latn,58.2,45.1
cym_Latn,73.5,65.1
dan_Latn,69.8,66.8
deu_Latn,67.1,63.3
dik_Latn,31.9,18.1
dyu_Latn,27.7,17.5
dzo_Tibt,41.4,31.7
ell_Grek,61.2,53.1
eng_Latn,,
epo_Latn,67.7,60.4
est_Latn,62.5,54.9
eus_Latn,57.6,49.2
ewe_Latn,41.0,36.1
fao_Latn,56.2,47.1
fij_Latn,44.5,45.9
fin_Latn,60.1,54.3
fon_Latn,32.0,18.1
fra_Latn,67.7,70.7
fur_Latn,65.0,57.0
fuv_Latn,32.2,21.0
gaz_Latn,48.5,35.0
gla_Latn,55.5,48.0
gle_Latn,63.7,54.4
glg_Latn,66.3,61.4
grn_Latn,48.5,37.5
guj_Gujr,66.6,51.9
hat_Latn,62.7,50.7
hau_Latn,56.9,52.0
heb_Hebr,66.4,56.2
hin_Deva,66.3,56.6
hne_Deva,70.7,51.7
hrv_Latn,63.0,55.8
hun_Latn,61.2,54.2
hye_Armn,62.5,50.5
ibo_Latn,53.3,40.9
ilo_Latn,61.2,53.1
ind_Latn,68.0,69.3
isl_Latn,57.4,48.8
ita_Latn,60.0,59.2
jav_Latn,63.8,55.3
jpn_Jpan,55.2,24.7
kab_Latn,45.2,30.6
kac_Latn,38.7,39.1
kam_Latn,36.2,20.7
kan_Knda,61.1,52.4
kas_Arab,57.9,31.8
kas_Deva,45.2,18.0
kat_Geor,55.8,47.5
kaz_Cyrl,59.1,50.3
kbp_Latn,36.5,28.0
kea_Latn,66.9,46.9
khk_Cyrl,52.7,40.4
khm_Khmr,56.3,36.5
kik_Latn,42.2,37.2
kin_Latn,55.4,46.8
kir_Cyrl,51.1,44.0
kmb_Latn,35.7,24.4
kmr_Latn,50.6,36.6
knc_Arab,17.0,9.1
knc_Latn,33.9,22.5
kon_Latn,45.4,42.1
kor_Hang,56.2,33.4
lao_Laoo,60.7,44.4
lij_Latn,67.0,47.4
lim_Latn,63.5,43.9
lin_Latn,51.9,45.6
lit_Latn,58.6,52.1
lmo_Latn,60.6,32.9
ltg_Latn,59.9,46.8
ltz_Latn,69.0,54.9
lua_Latn,42.8,32.1
lug_Latn,47.3,36.0
luo_Latn,46.6,38.5
lus_Latn,41.4,37.2
lvs_Latn,59.9,50.6
mag_Deva,70.3,54.9
mai_Deva,67.0,44.6
mal_Mlym,63.3,49.1
mar_Deva,62.6,46.9
min_Arab,2.4,0.4
min_Latn,60.4,49.1
mkd_Cyrl,66.5,60.3
mlt_Latn,75.0,62.1
mni_Beng,51.1,36.7
mos_Latn,32.2,21.4
mri_Latn,50.5,45.9
mya_Mymr,54.2,33.8
nld_Latn,59.3,55.8
nno_Latn,65.0,53.8
nob_Latn,65.2,59.6
npi_Deva,66.3,48.3
nqo_Nkoo,,
nso_Latn,61.8,47.9
nus_Latn,38.0,26.4
nya_Latn,52.1,44.4
oci_Latn,74.6,62.8
ory_Orya,63.7,45.7
pag_Latn,54.0,41.6
pan_Guru,65.1,49.5
pap_Latn,70.4,56.7
pbt_Arab,58.7,37.5
pes_Arab,62.3,49.3
plt_Latn,57.2,50.5
pol_Latn,57.1,49.4
por_Latn,70.9,69.8
prs_Arab,62.9,51.2
quy_Latn,34.6,20.8
ron_Latn,67.4,61.8
run_Latn,50.1,39.5
rus_Cyrl,61.1,57.6
sag_Latn,34.0,33.3
san_Deva,49.0,23.0
sat_Olck,1.0,0.3
scn_Latn,61.5,39.0
shn_Mymr,47.2,35.6
sin_Sinh,60.5,44.2
slk_Latn,64.3,58.3
slv_Latn,60.8,54.6
smo_Latn,56.5,50.1
sna_Latn,51.6,43.4
snd_Arab,65.0,48.1
som_Latn,53.4,41.9
sot_Latn,61.0,46.5
spa_Latn,57.4,56.4
srd_Latn,66.5,54.9
srp_Cyrl,66.7,59.1
ssw_Latn,52.0,42.3
sun_Latn,62.6,46.4
swe_Latn,69.7,66.2
swh_Latn,65.5,58.2
szl_Latn,65.0,50.3
tam_Taml,60.9,52.5
taq_Latn,31.4,19.8
taq_Tfng,26.1,17.8
tat_Cyrl,56.8,49.6
tel_Telu,66.4,52.8
tgk_Cyrl,59.2,50.9
tgl_Latn,67.8,61.1
tha_Thai,56.5,40.1
tir_Ethi,50.4,24.3
tpi_Latn,52.0,44.8
tsn_Latn,52.1,47.3
tso_Latn,54.5,49.1
tuk_Latn,56.5,41.7
tum_Latn,43.1,40.0
tur_Latn,64.0,58.5
twi_Latn,47.0,36.7
tzm_Tfng,39.6,29.3
uig_Arab,51.0,39.0
ukr_Cyrl,64.2,56.1
umb_Latn,31.0,22.9
urd_Arab,61.7,47.5
uzn_Latn,59.9,52.5
vec_Latn,66.7,46.5
vie_Latn,61.2,60.0
war_Latn,68.2,57.5
wol_Latn,39.9,25.9
xho_Latn,60.7,45.9
ydd_Hebr,69.2,33.7
yor_Latn,46.5,22.9
yue_Hant,55.4,14.7
zho_Hans,55.6,23.9
zho_Hant,49.0,15.9
zsm_Latn,68.3,67.1
zul_Latn,61.5,52.9
