language_family,count,SIB gpt-4o (Apr 2025),Flores xx-eng gpt-4o (Apr 2025),Flores eng-xx gpt-4o (Apr 2025)
Indo-European,79,86.9,62.6,48.9
Atlantic-Congo,35,72.2,41.4,31.9
Afro-Asiatic,21,76.9,51.6,37.4
Austronesian,21,83.7,54.3,42.1
Turkic,11,86.4,55.7,42.4
Sino-Tibetan,9,77.8,40.9,24.0
Nilotic,5,50.3,25.7,17.2
Dravidian,4,86.4,59.6,38.8
Tai-Kadai,3,71.6,45.9,33.6
Uralic,3,88.1,62.0,57.9
Austroasiatic,3,64.9,44.6,30.5
Mande,2,57.4,26.0,17.8
Japonic,1,88.7,54.6,35.5
Koreanic,1,84.3,57.5,37.4
Mongolic-Khitan,1,83.8,57.3,46.7
Constructed,1,88.2,67.7,60.8
Quechuan,1,61.8,31.3,26.3
Basque,1,88.7,58.4,52.0
Aymaran,1,64.7,30.4,23.8
Tupian,1,80.9,46.0,28.1
Kartvelian,1,86.3,56.1,48.4
