Language name,Language code,Accuracy
Amharic,amh,73.7
Arabic,ara,77.2
Assamese,asm,69.7
Aymara,aym,40.5
Bengali,ben,77.2
Bulgarian,bul,80.0
Bribri,bzd,44.2
Catalan,cat,81.3
Asháninka,cni,42.5
German,deu,80.3
Greek,ell,81.0
English,eng,88.3
Ewe,ewe,38.5
French,fra,84.0
Guarani,grn,43.3
Gujarati,guj,73.0
Hausa,hau,69.0
Wixarika,hch,36.8
Hindi,hin,78.0
Igbo,ibo,67.2
Indonesian,ind,75.5
Japanese,jpn,80.5
Kannada,kan,77.8
Kinyarwanda,kin,61.3
Korean,kor,79.0
Lingala,lin,34.0
Luganda,lug,47.3
Malayalam,mal,75.0
Marathi,mar,71.7
Burmese,mya,76.7
Nahuatl,nah,42.3
Odia (Oriya),ori,61.5
Oromo,orm,50.0
Otomi,oto,43.0
Punjabi,pan,75.2
Jamaican Patois,pat,60.3
Polish,pol,76.5
Portuguese,por,90.3
Quechua,quy,44.3
Romanian,ron,53.3
Russian,rus,78.8
Shipibo-Conibo,shp,46.8
chiShona,sna,63.7
Sesotho,sot,59.7
Spanish,spa,82.5
Swahili,swa,69.7
Tamil,tam,76.0
Rarámuri,tar,36.7
Telugu,tel,73.8
Thai,tha,74.3
Turkish,tur,77.2
Twi,twi,46.0
Urdu,urd,69.7
Vietnamese,vie,79.0
Wolof,wol,41.0
isiXhosa,xho,65.0
Yoruba,yor,42.7
Chinese,zho,78.8
isiZulu,zul,66.3
