Language name,Language code,Accuracy
Acehnese (Arabic script),ace_Arab,61.3
Acehnese (Latin script),ace_Latn,72.1
Mesopotamian Arabic,acm_Arab,86.3
Ta’izzi-Adeni Arabic,acq_Arab,86.3
Tunisian Arabic,aeb_Arab,84.8
Afrikaans,afr_Latn,86.3
South Levantine Arabic,ajp_Arab,86.3
Akan,aka_Latn,56.4
Tosk Albanian,als_Latn,84.3
Amharic,amh_Ethi,82.4
North Levantine Arabic,apc_Arab,86.3
Modern Standard Arabic,arb_Arab,88.7
Modern Standard Arabic (Romanized),arb_Latn,84.8
Najdi Arabic,ars_Arab,88.7
Moroccan Arabic,ary_Arab,84.3
Egyptian Arabic,arz_Arab,85.8
Assamese,asm_Beng,84.8
Asturian,ast_Latn,85.3
Awadhi,awa_Deva,83.8
Central Aymara,ayr_Latn,45.1
South Azerbaijani,azb_Arab,81.9
North Azerbaijani,azj_Latn,81.9
Bashkir,bak_Cyrl,84.3
Bambara,bam_Latn,47.5
Balinese,ban_Latn,79.4
Belarusian,bel_Cyrl,86.3
Bemba,bem_Latn,60.3
Bengali,ben_Beng,86.3
Bhojpuri,bho_Deva,82.4
Banjar (Arabic script),bjn_Arab,62.7
Banjar (Latin script),bjn_Latn,83.3
Standard Tibetan,bod_Tibt,73.0
Bosnian,bos_Latn,86.8
Buginese,bug_Latn,60.8
Bulgarian,bul_Cyrl,85.3
Catalan,cat_Latn,85.3
Cebuano,ceb_Latn,86.3
Czech,ces_Latn,84.3
Chokwe,cjk_Latn,45.1
Central Kurdish,ckb_Arab,83.8
Crimean Tatar,crh_Latn,79.4
Welsh,cym_Latn,83.3
Danish,dan_Latn,86.8
German,deu_Latn,86.8
Southwestern Dinka,dik_Latn,44.1
Dyula,dyu_Latn,47.1
Dzongkha,dzo_Tibt,66.2
Greek,ell_Grek,85.8
English,eng_Latn,87.7
Esperanto,epo_Latn,86.3
Estonian,est_Latn,86.8
Basque,eus_Latn,83.8
Ewe,ewe_Latn,46.6
Faroese,fao_Latn,83.8
Fijian,fij_Latn,52.9
Finnish,fin_Latn,87.3
Fon,fon_Latn,36.8
French,fra_Latn,87.3
Friulian,fur_Latn,80.9
Nigerian Fulfulde,fuv_Latn,49.5
West Central Oromo,gaz_Latn,52.9
Scottish Gaelic,gla_Latn,81.4
Irish,gle_Latn,87.7
Galician,glg_Latn,82.4
Guarani,grn_Latn,71.1
Gujarati,guj_Gujr,82.4
Haitian Creole,hat_Latn,83.8
Hausa,hau_Latn,80.4
Hebrew,heb_Hebr,86.8
Hindi,hin_Deva,86.8
Chhattisgarhi,hne_Deva,84.8
Croatian,hrv_Latn,87.7
Hungarian,hun_Latn,84.8
Armenian,hye_Armn,84.8
Igbo,ibo_Latn,81.4
Ilocano,ilo_Latn,80.9
Indonesian,ind_Latn,87.3
Icelandic,isl_Latn,86.3
Italian,ita_Latn,87.7
Javanese,jav_Latn,83.8
