Language name,Language code,Accuracy
Amharic,amh,71.5
Arabic,ara,76.0
Assamese,asm,65.7
Aymara,aym,47.8
Bengali,ben,75.5
Bulgarian,bul,78.3
Bribri,bzd,39.7
Catalan,cat,81.3
Asháninka,cni,36.0
German,deu,75.8
Greek,ell,78.2
English,eng,86.3
Ewe,ewe,41.2
French,fra,80.8
Guarani,grn,51.7
Gujarati,guj,72.8
Hausa,hau,65.7
Wixarika,hch,36.5
Hindi,hin,75.5
Igbo,ibo,66.3
Indonesian,ind,82.8
Japanese,jpn,71.0
Kannada,kan,71.0
Kinyarwanda,kin,60.8
Korean,kor,80.0
Lingala,lin,33.7
Luganda,lug,56.3
Malayalam,mal,71.8
Marathi,mar,68.8
Burmese,mya,72.2
Nahuatl,nah,47.2
Odia (Oriya),ori,67.3
Oromo,orm,58.7
Otomi,oto,36.3
Punjabi,pan,75.0
Jamaican Patois,pat,88.2
Polish,pol,87.7
Portuguese,por,95.5
Quechua,quy,50.0
Romanian,ron,65.7
Russian,rus,76.3
Shipibo-Conibo,shp,35.7
chiShona,sna,65.5
Sesotho,sot,64.7
Spanish,spa,80.7
Swahili,swa,69.3
Tamil,tam,73.3
Rarámuri,tar,37.8
Telugu,tel,71.2
Thai,tha,73.5
Turkish,tur,74.0
Twi,twi,47.3
Urdu,urd,64.8
Vietnamese,vie,76.2
Wolof,wol,42.8
isiXhosa,xho,66.7
Yoruba,yor,57.3
Chinese,zho,74.5
isiZulu,zul,66.7
