language_name,language_code,language_family,SIB Gemini2-Flash (Apr 2025),Flores xx-eng Gemini2-Flash (Apr 2025),Flores eng-xx Gemini2-Flash (Apr 2025)
Acehnese (Arabic script),ace_Arab,Austronesian,73.0,37.3,8.4
Acehnese (Latin script),ace_Latn,Austronesian,83.8,56.2,26.8
Mesopotamian Arabic,acm_Arab,Afro-Asiatic,89.7,59.7,38.3
Ta’izzi-Adeni Arabic,acq_Arab,Afro-Asiatic,89.7,61.1,39.5
Tunisian Arabic,aeb_Arab,Afro-Asiatic,87.3,57.8,38.1
Afrikaans,afr_Latn,Indo-European,89.7,76.8,66.3
South Levantine Arabic,ajp_Arab,Afro-Asiatic,87.7,65.6,44.4
Akan,aka_Latn,Atlantic-Congo,86.3,45.9,34.7
Tosk Albanian,als_Latn,Indo-European,86.8,66.4,60.6
Amharic,amh_Ethi,Afro-Asiatic,87.3,63.4,37.9
North Levantine Arabic,apc_Arab,Afro-Asiatic,86.3,63.3,45.5
Modern Standard Arabic,arb_Arab,Afro-Asiatic,89.2,65.7,55.8
Modern Standard Arabic (Romanized),arb_Latn,Afro-Asiatic,87.3,61.2,17.1
Najdi Arabic,ars_Arab,Afro-Asiatic,89.2,64.3,43.7
Moroccan Arabic,ary_Arab,Afro-Asiatic,88.2,56.6,36.1
Egyptian Arabic,arz_Arab,Afro-Asiatic,88.2,57.9,44.3
Assamese,asm_Beng,Indo-European,87.3,58.4,30.9
Asturian,ast_Latn,Indo-European,90.2,66.6,58.0
Awadhi,awa_Deva,Indo-European,87.7,62.3,24.9
Central Aymara,ayr_Latn,Aymaran,70.6,35.3,24.3
South Azerbaijani,azb_Arab,Turkic,85.8,50.5,23.7
North Azerbaijani,azj_Latn,Turkic,86.8,52.3,46.3
Bashkir,bak_Cyrl,Turkic,86.3,58.2,50.9
Bambara,bam_Latn,Mande,68.1,37.6,19.3
Balinese,ban_Latn,Austronesian,86.8,61.4,42.3
Belarusian,bel_Cyrl,Indo-European,88.2,50.2,46.9
Bemba,bem_Latn,Atlantic-Congo,80.9,48.7,36.4
Bengali,ben_Beng,Indo-European,89.7,61.7,47.0
Bhojpuri,bho_Deva,Indo-European,85.8,56.1,37.8
Banjar (Arabic script),bjn_Arab,Austronesian,82.4,47.2,12.2
Banjar (Latin script),bjn_Latn,Austronesian,84.3,62.3,48.1
