Language,FLORES-200 code,xx - English,English - xx
Acehnese (Arabic script),ace_Arab,34.3,13.7
Acehnese (Latin script),ace_Latn,43.7,28.8
Mesopotamian Arabic,acm_Arab,59.4,46.6
Ta’izzi-Adeni Arabic,acq_Arab,60.8,48.8
Tunisian Arabic,aeb_Arab,57.0,42.1
Afrikaans,afr_Latn,76.9,67.3
South Levantine Arabic,ajp_Arab,64.8,48.5
Akan,aka_Latn,38.4,26.9
Amharic,amh_Ethi,52.9,22.4
North Levantine Arabic,apc_Arab,62.4,46.9
Modern Standard Arabic,arb_Arab,64.3,55.6
Modern Standard Arabic (Romanized),arb_Latn,57.0,29.9
Najdi Arabic,ars_Arab,62.9,49.4
Moroccan Arabic,ary_Arab,56.0,37.7
Egyptian Arabic,arz_Arab,57.0,45.4
Assamese,asm_Beng,54.9,33.5
Asturian,ast_Latn,65.0,54.7
Awadhi,awa_Deva,59.7,33.9
Central Aymara,ayr_Latn,29.8,24.1
South Azerbaijani,azb_Arab,46.3,14.7
North Azerbaijani,azj_Latn,50.1,45.1
Bashkir,bak_Cyrl,56.0,45.8
Bambara,bam_Latn,27.3,18.9
Balinese,ban_Latn,54.4,35.2
Belarusian,bel_Cyrl,48.8,44.7
Bemba,bem_Latn,38.8,27.8
Bengali,ben_Beng,59.9,46.3
Bhojpuri,bho_Deva,53.4,35.2
Banjar (Arabic script),bjn_Arab,42.1,15.4
Banjar (Latin script),bjn_Latn,56.3,37.9
Standard Tibetan,bod_Tibt,30.0,18.5
Bosnian,bos_Latn,66.5,61.3
Buginese,bug_Latn,36.7,23.8
Bulgarian,bul_Cyrl,66.0,65.2
Catalan,cat_Latn,68.9,66.7
Cebuano,ceb_Latn,66.9,58.1
Czech,ces_Latn,64.7,59.4
Chokwe,cjk_Latn,25.3,18.9
Central Kurdish,ckb_Arab,50.6,29.6
Crimean Tatar,crh_Latn,54.0,31.5
Welsh,cym_Latn,76.6,70.2
Danish,dan_Latn,70.2,70.5
German,deu_Latn,67.1,66.0
