language_family,count,SIB GPT-3.5-Turbo,Flores xx-eng GPT-3.5-Turbo,Flores eng-xx GPT-3.5-Turbo
Indo-European,79,78.0,54.7,44.9
Atlantic-Congo,35,50.6,30.0,13.4
Afro-Asiatic,21,62.2,42.2,30.5
Austronesian,21,67.1,43.5,33.8
Turkic,11,70.5,41.0,29.9
Sino-Tibetan,9,51.4,32.1,16.7
Nilotic,5,32.2,22.3,6.7
Dravidian,4,75.8,44.0,34.6
Tai-Kadai,3,53.0,32.7,23.1
Uralic,3,85.0,59.9,55.9
Austroasiatic,3,49.8,34.9,26.7
Mande,2,44.2,23.0,5.3
Japonic,1,83.3,52.5,33.1
Koreanic,1,82.8,53.7,34.4
Mongolic-Khitan,1,66.2,33.8,26.1
Constructed,1,83.3,64.4,58.5
Quechuan,1,40.7,25.9,9.3
Basque,1,77.5,50.2,44.2
Aymaran,1,36.3,23.2,4.7
Tupian,1,62.7,30.6,6.3
Kartvelian,1,66.7,39.1,32.5
