Language,Language Family,gemini-CHRF++,language_name,language_family,Flores xx-eng Gemini-2-Flash (Apr 2025)
Afrikaans,Indo-European,69.68,Afrikaans,Indo-European,76.8
Amharic,Afro-Asiatic,54.59,Amharic,Afro-Asiatic,63.4
Arabic,Afro-Asiatic,63.99,MSA (Arabic),Afro-Asiatic,65.7
Armenian,Indo-European,61.59,Armenian,Indo-European,65.3
Assamese,Indo-European,51.18,Assamese,Indo-European,58.4
Asturian,Indo-European,56.41,Asturian,Indo-European,66.6
Azerbaijani,Turkic,50.44,North Azerbaijani,Turkic,52.3
Belarusian,Indo-European,49.67,Belarusian,Indo-European,50.2
Bengali,Indo-European,57.19,Bengali,Indo-European,61.7
Bosnian,Indo-European,63.55,Bosnian,Indo-European,67.8
Bulgarian,Indo-European,63.66,Bulgarian,Indo-European,67.7
Burmese,Sino-Tibetan,42.24,Burmese,Sino-Tibetan,56.4
Cantonese Chinese,Sino-Tibetan,44.95,Chinese (Traditional),Sino-Tibetan,56.1
Catalan,Indo-European,66.23,Catalan,Indo-European,69.7
Cebuano,Austronesian,57.80,Cebuano,Austronesian,69.7
Croatian,Indo-European,60.33,Croatian,Indo-European,64.5
Czech,Indo-European,62.31,Czech,Indo-European,65.7
Danish,Indo-European,65.15,Danish,Indo-European,71.1
Dutch,Indo-European,56.63,Dutch,Indo-European,58.9
Estonian,Uralic,61.76,Estonian,Uralic,64.5
Finnish,Uralic,59.71,Finnish,Uralic,61.7
French,Indo-European,62.86,French,Indo-European,68
Fula,Atlantic-Congo,20.09,Nigerian Fulfulde,Atlantic-Congo,32.9
Galician,Indo-European,62.71,Galician,Indo-European,66.1
Ganda,Atlantic-Congo,31.37,Ganda,Atlantic-Congo,50.4
Georgian,Kartvelian,53.66,Georgian,Kartvelian,57.2
German,Indo-European,65.66,German,Indo-European,67.9
Greek,Indo-European,57.94,Greek,Indo-European,61.8
Gujarati,Indo-European,60.74,Gujarati,Indo-European,66.6
Hausa,Afro-Asiatic,43.90,Hausa,Afro-Asiatic,59
Hebrew,Afro-Asiatic,58.96,Hebrew,Afro-Asiatic,67.9
