Language name,Language code,Accuracy
Amharic,amh,74.2
Arabic,ara,74.8
Assamese,asm,67.5
Aymara,aym,54.8
Bengali,ben,73.5
Bulgarian,bul,78.5
Bribri,bzd,37.5
Catalan,cat,81.2
Asháninka,cni,36.0
German,deu,80.5
Greek,ell,79.5
English,eng,87.3
Ewe,ewe,53.2
French,fra,81.5
Guarani,grn,57.7
Gujarati,guj,72.7
Hausa,hau,70.0
Wixarika,hch,33.7
Hindi,hin,77.0
Igbo,ibo,68.0
Indonesian,ind,81.2
Japanese,jpn,70.8
Kannada,kan,72.8
Kinyarwanda,kin,62.2
Korean,kor,81.7
Lingala,lin,32.2
Luganda,lug,67.0
Malayalam,mal,70.0
Marathi,mar,70.2
Burmese,mya,73.5
Nahuatl,nah,48.8
Odia (Oriya),ori,68.8
Oromo,orm,70.3
Otomi,oto,34.2
Punjabi,pan,77.8
Jamaican Patois,pat,87.3
Polish,pol,81.2
Portuguese,por,95.7
Quechua,quy,52.7
Romanian,ron,67.0
Russian,rus,76.0
Shipibo-Conibo,shp,36.7
chiShona,sna,71.8
Sesotho,sot,69.0
Spanish,spa,79.7
Swahili,swa,74.0
Tamil,tam,72.3
Rarámuri,tar,35.5
Telugu,tel,69.2
Thai,tha,69.3
Turkish,tur,75.7
Twi,twi,61.2
Urdu,urd,65.5
Vietnamese,vie,77.7
Wolof,wol,51.3
isiXhosa,xho,70.0
Yoruba,yor,63.8
Chinese,zho,77.2
isiZulu,zul,68.7
