language_name,language_code,Accuracy
Acehnese (Arabic script),ace_Arab,25.0
Acehnese (Latin script),ace_Latn,25.0
Mesopotamian Arabic,acm_Arab,87.7
Ta’izzi-Adeni Arabic,acq_Arab,84.8
Tunisian Arabic,aeb_Arab,84.3
Afrikaans,afr_Latn,87.7
South Levantine Arabic,ajp_Arab,83.8
Akan,aka_Latn,33.8
Tosk Albanian,als_Latn,86.3
Amharic,amh_Ethi,67.2
North Levantine Arabic,apc_Arab,86.8
Modern Standard Arabic,arb_Arab,82.8
Modern Standard Arabic (Romanized),arb_Latn,26.5
Najdi Arabic,ars_Arab,88.7
Moroccan Arabic,ary_Arab,82.8
Egyptian Arabic,arz_Arab,83.3
Assamese,asm_Beng,33.3
Asturian,ast_Latn,85.3
Awadhi,awa_Deva,84.8
Central Aymara,ayr_Latn,25.0
South Azerbaijani,azb_Arab,72.5
North Azerbaijani,azj_Latn,81.9
Bashkir,bak_Cyrl,46.1
Bambara,bam_Latn,25.0
Balinese,ban_Latn,54.9
Belarusian,bel_Cyrl,82.4
Bemba,bem_Latn,27.5
Bengali,ben_Beng,80.4
Bhojpuri,bho_Deva,80.9
Banjar (Arabic script),bjn_Arab,32.8
Banjar (Latin script),bjn_Latn,76.0
Standard Tibetan,bod_Tibt,25.0
Bosnian,bos_Latn,87.7
Buginese,bug_Latn,25.0
Bulgarian,bul_Cyrl,87.7
Catalan,cat_Latn,87.7
Cebuano,ceb_Latn,44.1
Czech,ces_Latn,87.7
Chokwe,cjk_Latn,25.0
Central Kurdish,ckb_Arab,25.0
Crimean Tatar,crh_Latn,75.0
Welsh,cym_Latn,54.9
Danish,dan_Latn,90.2
German,deu_Latn,89.2
Southwestern Dinka,dik_Latn,27.0
Dyula,dyu_Latn,25.0
Dzongkha,dzo_Tibt,25.0
Greek,ell_Grek,85.3
English,eng_Latn,89.2
Esperanto,epo_Latn,83.3
Estonian,est_Latn,82.4
Basque,eus_Latn,79.9
Ewe,ewe_Latn,33.8
Faroese,fao_Latn,75.0
Fijian,fij_Latn,31.4
Finnish,fin_Latn,85.8
Fon,fon_Latn,25.0
French,fra_Latn,86.8
Friulian,fur_Latn,70.6
Nigerian Fulfulde,fuv_Latn,26.0
West Central Oromo,gaz_Latn,25.0
Scottish Gaelic,gla_Latn,42.6
Irish,gle_Latn,47.1
Galician,glg_Latn,87.3
Guarani,grn_Latn,25.0
Gujarati,guj_Gujr,81.4
Haitian Creole,hat_Latn,25.0
Hausa,hau_Latn,27.5
Hebrew,heb_Hebr,82.8
Hindi,hin_Deva,82.8
Chhattisgarhi,hne_Deva,76.0
Croatian,hrv_Latn,88.7
Hungarian,hun_Latn,88.2
Armenian,hye_Armn,84.8
Igbo,ibo_Latn,23.0
Ilocano,ilo_Latn,58.8
Indonesian,ind_Latn,88.7
Icelandic,isl_Latn,82.8
Italian,ita_Latn,25.0
Javanese,jav_Latn,62.7
Japanese,jpn_Jpan,89.2
Kabyle,kab_Latn,22.5
Jingpho,kac_Latn,22.5
Kamba,kam_Latn,25.0
Kannada,kan_Knda,84.3
Kashmiri (Arabic script),kas_Arab,25.0
Kashmiri (Devanagari script),kas_Deva,25.0
Georgian,kat_Geor,81.4
Kazakh,kaz_Cyrl,83.3
Kabiyè,kbp_Latn,31.4
Kabuverdianu,kea_Latn,25.0
Halh Mongolian,khk_Cyrl,76.5
Khmer,khm_Khmr,84.3
Kikuyu,kik_Latn,25.0
Kinyarwanda,kin_Latn,25.0
Kyrgyz,kir_Cyrl,80.9
Kimbundu,kmb_Latn,25.0
Northern Kurdish,kmr_Latn,25.0
Central Kanuri (Arabic script),knc_Arab,34.3
Central Kanuri (Latin script),knc_Latn,27.9
Kikongo,kon_Latn,25.0
Korean,kor_Hang,86.3
Lao,lao_Laoo,87.7
Ligurian,lij_Latn,55.9
Limburgish,lim_Latn,25.0
Lingala,lin_Latn,36.8
Lithuanian,lit_Latn,88.7
Lombard,lmo_Latn,54.4
Latgalian,ltg_Latn,66.2
Luxembourgish,ltz_Latn,59.8
Luba-Kasai,lua_Latn,33.3
Ganda,lug_Latn,25.0
Luo,luo_Latn,35.3
Mizo,lus_Latn,39.7
Standard Latvian,lvs_Latn,85.3
Magahi,mag_Deva,82.4
Maithili,mai_Deva,83.8
Malayalam,mal_Mlym,84.3
Marathi,mar_Deva,71.6
Minangkabau (Arabic script),min_Arab,25.0
Minangkabau (Latin script),min_Latn,73.5
Macedonian,mkd_Cyrl,84.3
Maltese,mlt_Latn,31.9
Meitei (Bengali script),mni_Beng,28.9
Mossi,mos_Latn,25.0
Maori,mri_Latn,29.9
Burmese,mya_Mymr,79.4
Dutch,nld_Latn,89.2
Norwegian Nynorsk,nno_Latn,84.3
Norwegian Bokmål,nob_Latn,85.3
Nepali,npi_Deva,84.3
N'ko,nqo_Nkoo,25.0
Northern Sotho,nso_Latn,28.9
Nuer,nus_Latn,25.0
Nyanja,nya_Latn,25.0
Occitan,oci_Latn,82.4
Odia,ory_Orya,40.2
Pangasinan,pag_Latn,61.3
Eastern Panjabi,pan_Guru,78.4
Papiamento,pap_Latn,74.0
Southern Pashto,pbt_Arab,72.1
Western Persian,pes_Arab,88.2
Plateau Malagasy,plt_Latn,25.0
Polish,pol_Latn,85.8
Portuguese,por_Latn,89.7
Dari,prs_Arab,83.3
Ayacucho Quechua,quy_Latn,34.3
Romanian,ron_Latn,89.2
Rundi,run_Latn,27.5
Russian,rus_Cyrl,86.8
Sango,sag_Latn,31.4
Sanskrit,san_Deva,25.5
Santali,sat_Olck,25.0
Sicilian,scn_Latn,48.0
Shan,shn_Mymr,25.0
Sinhala,sin_Sinh,83.3
Slovak,slk_Latn,86.3
Slovenian,slv_Latn,87.3
Samoan,smo_Latn,25.0
Shona,sna_Latn,25.5
Sindhi,snd_Arab,75.0
Somali,som_Latn,33.8
Southern Sotho,sot_Latn,36.8
Spanish,spa_Latn,87.3
Sardinian,srd_Latn,65.2
Serbian,srp_Cyrl,84.3
Swati,ssw_Latn,31.9
Sundanese,sun_Latn,62.7
Swedish,swe_Latn,88.7
Swahili,swh_Latn,73.0
Silesian,szl_Latn,31.9
Tamil,tam_Taml,81.4
Tamasheq (Latin script),taq_Latn,33.8
Tamasheq (Tifinagh script),taq_Tfng,25.0
Tatar,tat_Cyrl,68.1
Telugu,tel_Telu,82.8
Tajik,tgk_Cyrl,23.0
Tagalog,tgl_Latn,80.9
Thai,tha_Thai,87.7
Tigrinya,tir_Ethi,25.0
Tok Pisin,tpi_Latn,25.0
Tswana,tsn_Latn,32.8
Tsonga,tso_Latn,27.5
Turkmen,tuk_Latn,25.0
Tumbuka,tum_Latn,27.0
Turkish,tur_Latn,86.8
Twi,twi_Latn,24.0
Central Atlas Tamazight,tzm_Tfng,25.0
Uyghur,uig_Arab,69.1
Ukrainian,ukr_Cyrl,88.2
Umbundu,umb_Latn,25.0
Urdu,urd_Arab,79.9
Northern Uzbek,uzn_Latn,66.7
Venetian,vec_Latn,25.0
Vietnamese,vie_Latn,89.7
Waray,war_Latn,25.0
Wolof,wol_Latn,27.9
Xhosa,xho_Latn,25.0
Eastern Yiddish,ydd_Hebr,30.4
Yoruba,yor_Latn,25.0
Yue Chinese,yue_Hant,89.7
Chinese (Simplified),zho_Hans,90.7
Chinese (Traditional),zho_Hant,88.7
Standard Malay,zsm_Latn,62.3
Zulu,zul_Latn,26.0
