language_name,language_code,language_family,SIB gpt-3.5 (old),SIB gpt-4 (old),SIB gpt-3.5-turbo-1106 (Apr 2025),SIB gpt-4o (Apr 2025),SIB Gemini-2-Flash (Apr 2025),SIB Gemma-3-27B,SIB XLMR,Flores xx-eng gpt-3.5-turbo-1106,Flores eng-xx gpt-3.5-turbo-1106,Flores xx-eng gpt-4o (Apr 2025),Flores eng-xx gpt-4o (Apr 2025),Flores xx-eng Gemini-2-Flash (Apr 2025),Flores eng-xx Gemini-2-Flash (Apr 2025),Flores xx-eng Gemma3-27B,Flores eng-xx Gemma3-27B,region,Flores xx-eng NLLB3.3,Flores eng-xx NLLB3.3
Acehnese (Arabic script),ace_Arab,Austronesian,9.1,14.2,41.2,75.5,73,61.3,25,21.3,8.4,34.5,12.4,37.3,8.4,26,1.7,Asia 3,31.3,15.7
Acehnese (Latin script),ace_Latn,Austronesian,31.4,22.1,69.6,80.9,83.8,72.1,25,34.2,19.8,44.3,29,56.2,26.8,38.7,25.6,Asia 3,49.7,36.5
Mesopotamian Arabic,acm_Arab,Afro-Asiatic,62.6,80.6,83.8,88.2,89.7,86.3,87.7,55.9,44.7,59.4,45.2,59.7,38.3,57.7,15.3,Asia 1,59.9,39.8
Ta’izzi-Adeni Arabic,acq_Arab,Afro-Asiatic,63,76,84.8,90.2,89.7,86.3,84.8,57.5,47.5,61.2,48.7,61.1,39.5,58.8,36.7,Asia 1,61.4,45.8
Tunisian Arabic,aeb_Arab,Afro-Asiatic,54.2,73.9,82.8,85.3,87.3,84.8,84.3,52.5,41,57.5,41.7,57.8,38.1,54.1,31.3,Africa,57.3,36.2
Afrikaans,afr_Latn,Indo-European,63.6,68.6,83.8,87.7,89.7,86.3,87.7,74.7,67,77,67.6,76.8,66.3,74.5,63.6,Africa,75.8,64.3
South Levantine Arabic,ajp_Arab,Afro-Asiatic,63,75.4,78.9,86.3,87.7,86.3,83.8,60.6,47.1,65.3,48.8,65.6,44.4,62.4,43.2,Asia 1,64.3,48.6
Akan,aka_Latn,Atlantic-Congo,31.1,35,51.5,78.4,86.3,56.4,33.8,29,13.3,39,27.9,45.9,34.7,29.1,20.4,Africa,44.4,34.6
Tosk Albanian,als_Latn,Indo-European,66.5,71.4,77.9,88.2,86.8,84.3,86.3,60.9,56,64.6,60.3,66.4,60.6,63.8,56.8,Europe 1,65.4,58.9
Amharic,amh_Ethi,Afro-Asiatic,23.4,58.8,37.3,85.8,87.3,82.4,67.2,21.5,10,53.6,23.8,63.4,37.9,55.1,23.8,Africa,60.1,35.6
North Levantine Arabic,apc_Arab,Afro-Asiatic,59.9,76,83.8,88.7,86.3,86.3,86.8,58.2,45.5,62.7,47.8,63.3,45.5,60.2,41.7,Asia 1,63.2,46.9
MSA (Arabic),arb_Arab,Afro-Asiatic,68.4,77.6,85.3,87.7,89.2,88.7,82.8,60.5,53.8,64.2,55.9,65.7,55.8,62.3,52.8,Asia 1,65.2,55.6
MSA (Romanized),arb_Latn,Afro-Asiatic,44.7,61.5,66.2,87.7,87.3,84.8,26.5,39.1,20.3,57.8,29.7,61.2,17.1,50.5,22.6,Asia 1,1.3,3.9
