language_family,count,Accuracy gpt-4o (April 2025),Accuracy Gemini-2-Flash (April 2025),Accuracy Gemma3-27B
Indo-European,19,77.7,76.9,76.4
Atlantic-Congo,13,60.1,62.5,56.8
Afro-Asiatic,4,71.4,72.3,68.0
Dravidian,4,72.2,71.1,71.8
Uto-Aztecan,3,41.7,39.3,40.5
Sino-Tibetan,2,74.4,75.4,73.4
Aymaran,1,52.3,54.8,47.8
Chibchan,1,41.5,37.5,39.7
Austronesian,1,87.2,81.2,82.8
English-Creole,1,90.0,87.3,88.2
Austroasiatic,1,77.5,77.7,76.2
Arawak,1,41.7,36.0,36.0
Koreanic,1,86.2,81.7,80.0
Oto-Manguean,1,40.7,34.2,36.3
Panoan,1,42.5,36.7,35.7
Quechuan,1,50.3,52.7,50.0
Tai-Kadai,1,73.2,69.3,73.5
Tupi-Guaraní,1,56.3,57.7,51.7
Turkic,1,76.3,75.7,74.0
Japonic,1,81.3,70.8,71.0
