language_code,XLMV-Large
acm_Arab,55.3
afr_Latn,72.3
als_Latn,70.8
amh_Ethi,61.6
apc_Arab,57.7
arb_Arab,70.6
arb_Latn,31.6
ars_Arab,61.1
ary_Arab,48
arz_Arab,61.4
asm_Beng,58.6
azj_Latn,65
bam_Latn,39.2
ben_Beng,65.6
ben_Latn,53
bod_Tibt,24.8
bul_Cyrl,74
cat_Latn,75.7
ceb_Latn,52
ces_Latn,72.3
ckb_Arab,36.9
dan_Latn,73
deu_Latn,74.1
ell_Grek,73.1
eng_Latn,77.8
est_Latn,68.7
eus_Latn,68.2
fin_Latn,73
fra_Latn,74.6
fuv_Latn,32.8
gaz_Latn,52.6
grn_Latn,59.6
guj_Gujr,63.3
hat_Latn,63.2
hau_Latn,53.4
heb_Hebr,69.3
hin_Deva,63.8
hin_Latn,57.6
hrv_Latn,71.2
hun_Latn,73.1
hye_Armn,65.9
ibo_Latn,46.8
ilo_Latn,38.1
ind_Latn,71.3
isl_Latn,70.1
ita_Latn,71.8
jav_Latn,67.2
jpn_Jpan,71.3
kac_Latn,33.8
kan_Knda,66.6
kat_Geor,68
kaz_Cyrl,64.9
kea_Latn,48.7
khk_Cyrl,61.1
khm_Khmr,63
kin_Latn,39.1
kir_Cyrl,68.3
kor_Hang,72.9
lao_Laoo,63.2
lin_Latn,50.9
lit_Latn,71.7
lug_Latn,47.8
luo_Latn,33.7
lvs_Latn,74.1
mal_Mlym,69.1
mar_Deva,69.2
mkd_Cyrl,71
mlt_Latn,40.2
mri_Latn,33
mya_Mymr,62.2
nld_Latn,68.6
nob_Latn,72.8
npi_Deva,64.4
npi_Latn,37.4
nso_Latn,53.2
nya_Latn,34.2
ory_Orya,65.6
pan_Guru,63.1
pbt_Arab,60.6
pes_Arab,70.8
plt_Latn,61.7
pol_Latn,72.1
por_Latn,73.8
ron_Latn,74
rus_Cyrl,75.4
shn_Mymr,25
sin_Latn,41.7
sin_Sinh,69.8
slk_Latn,72.6
slv_Latn,71.8
sna_Latn,37.1
snd_Arab,60
som_Latn,50.7
sot_Latn,52
spa_Latn,72.7
srp_Cyrl,73.6
ssw_Latn,47.1
sun_Latn,64.2
swe_Latn,74.2
swh_Latn,69.3
tam_Taml,67.4
tel_Telu,62.1
tgk_Cyrl,39.2
tgl_Latn,72
tha_Thai,69
tir_Ethi,39.9
tsn_Latn,49.8
tso_Latn,41.7
tur_Latn,70.6
ukr_Cyrl,72.3
urd_Arab,65.6
urd_Latn,49.4
uzn_Latn,69.1
vie_Latn,73.7
war_Latn,47.6
wol_Latn,40.6
xho_Latn,54.4
yor_Latn,38.6
zho_Hans,73.7
zho_Hant,73.1
zsm_Latn,72.4
zul_Latn,54.2
