Belebele audio,Gemini 2 Flash,language_code,language_family,Accuracy gemini2-Flash
afr_Latn,84.5,afr_Latn,Indo-European,94.4
amh_Ethi,70.8,amh_Ethi,Afro-Asiatic,86.1
arb_Arab,81.4,arb_Arab,Afro-Asiatic,91.7
asm_Beng,67.1,asm_Beng,Indo-European,85
azj_Latn,73.4,azj_Latn,Turkic,87.3
ben_Beng,74.5,ben_Beng,Indo-European,88.6
bul_Cyrl,81.4,bul_Cyrl,Indo-European,91.3
cat_Latn,81.4,cat_Latn,Indo-European,91.7
ceb_Latn,70.5,ceb_Latn,Austronesian,90.2
ces_Latn,83.2,ces_Latn,Indo-European,90
ckb_Arab,69.0,ckb_Arab,Indo-European,89.6
dan_Latn,83.8,dan_Latn,Indo-European,92.3
deu_Latn,82.2,deu_Latn,Indo-European,93.1
ell_Grek,79.3,ell_Grek,Indo-European,90.2
eng_Latn,86.8,eng_Latn,Indo-European,74.3
est_Latn,81.9,est_Latn,Uralic,90
fin_Latn,81.4,fin_Latn,Uralic,89.8
fra_Latn,85.5,fra_Latn,Indo-European,91.1
fuv_Latn,30.8,fuv_Latn,Atlantic-Congo,34.3
gaz_Latn,48.4,gaz_Latn,Afro-Asiatic,72.8
guj_Gujr,72.4,guj_Gujr,Indo-European,87.6
hau_Latn,62.9,hau_Latn,Afro-Asiatic,81.2
heb_Hebr,78.6,heb_Hebr,Afro-Asiatic,90.8
hin_Deva,73.4,hin_Deva,Indo-European,86.8
hrv_Latn,82.3,hrv_Latn,Indo-European,91.6
hun_Latn,79.4,hun_Latn,Uralic,40.7
hye_Armn,75.8,hye_Armn,Indo-European,88.2
ibo_Latn,44.0,ibo_Latn,Atlantic-Congo,74.4
ind_Latn,79.8,ind_Latn,Austronesian,90.1
isl_Latn,76.5,isl_Latn,Indo-European,89.4
ita_Latn,82.6,ita_Latn,Indo-European,88.2
jav_Latn,74.6,jav_Latn,Austronesian,89.7
jpn_Jpan,78.5,jpn_Jpan,Japonic,87.8
kan_Knda,72.6,kan_Knda,Dravidian,88.1
kat_Geor,76.9,kat_Geor,Kartvelian,88.6
kaz_Cyrl,72.9,kaz_Cyrl,Turkic,86.3
kea_Latn,64.3,kea_Latn,Indo-European,78.1
khk_Cyrl,72.0,khk_Cyrl,Mongolic-Khitan,85.1
khm_Khmr,70.4,khm_Khmr,Austroasiatic,87.3
kir_Cyrl,70.9,kir_Cyrl,Turkic,87.9
kor_Hang,83.0,kor_Hang,Koreanic,82.7
lao_Laoo,71.7,lao_Laoo,Tai-Kadai,82.9
lin_Latn,53.9,lin_Latn,Atlantic-Congo,77
lit_Latn,80.1,lit_Latn,Indo-European,92.1
lug_Latn,50.4,lug_Latn,Atlantic-Congo,70.4
luo_Latn,40.0,luo_Latn,Nilotic,58
lvs_Latn,82.3,lvs_Latn,Indo-European,93.4
mal_Mlym,74.2,mal_Mlym,Dravidian,82.8
mar_Deva,74.3,mar_Deva,Indo-European,88
mkd_Cyrl,80.4,mkd_Cyrl,Indo-European,90
mlt_Latn,71.1,mlt_Latn,Afro-Asiatic,87.9
mri_Latn,50.9,mri_Latn,Austronesian,78.2
mya_Mymr,72.0,mya_Mymr,Sino-Tibetan,86.4
nld_Latn,84.6,nld_Latn,Indo-European,89.4
nob_Latn,82.2,nob_Latn,Indo-European,90.3
npi_Deva,72.3,npi_Deva,Indo-European,87.1
nso_Latn,53.4,nso_Latn,Atlantic-Congo,77.9
nya_Latn,53.1,nya_Latn,Atlantic-Congo,77.6
ory_Orya,75.9,ory_Orya,Indo-European,86.8
pan_Guru,69.2,pan_Guru,Indo-European,88.9
pbt_Arab,65.0,pbt_Arab,Indo-European,84.8
pes_Arab,78.5,pes_Arab,Indo-European,89
pol_Latn,82.2,pol_Latn,Indo-European,89.2
por_Latn,84.5,por_Latn,Indo-European,34
ron_Latn,82.0,ron_Latn,Indo-European,91.4
rus_Cyrl,83.6,rus_Cyrl,Indo-European,90.6
slk_Latn,81.3,slk_Latn,Indo-European,90.8
slv_Latn,82.6,slv_Latn,Indo-European,93.3
sna_Latn,59.2,sna_Latn,Atlantic-Congo,81.1
snd_Arab,65.4,snd_Arab,Indo-European,87
som_Latn,55.3,som_Latn,Afro-Asiatic,81.9
spa_Latn,81.9,spa_Latn,Indo-European,90.3
srp_Cyrl,84.5,srp_Cyrl,Indo-European,90.8
swe_Latn,82.5,swe_Latn,Indo-European,89.6
swh_Latn,77.1,swh_Latn,Atlantic-Congo,91.8
tam_Taml,68.8,tam_Taml,Dravidian,85.1
tel_Telu,66.3,tel_Telu,Dravidian,82.3
tgk_Cyrl,72.5,tgk_Cyrl,Indo-European,88
tgl_Latn,81.4,tgl_Latn,Austronesian,91.6
tha_Thai,77.2,tha_Thai,Tai-Kadai,84.7
tur_Latn,79.6,tur_Latn,Turkic,86.6
ukr_Cyrl,83.1,ukr_Cyrl,Indo-European,91.6
urd_Arab,74.1,urd_Arab,Indo-European,89
uzn_Latn,76.6,uzn_Latn,Turkic,90.4
vie_Latn,79.7,vie_Latn,Austroasiatic,88.6
wol_Latn,39.8,wol_Latn,Atlantic-Congo,62.4
xho_Latn,57.8,xho_Latn,Atlantic-Congo,81.9
yor_Latn,50.5,yor_Latn,Atlantic-Congo,71.8
zho_Hans,81.3,zho_Hans,Sino-Tibetan,85.2
zho_Hant,71.7,zho_Hant,Sino-Tibetan,88.6
zsm_Latn,80.6,zsm_Latn,Austronesian,90.7
zul_Latn,59.2,zul_Latn,Atlantic-Congo,80.2
