language_name,language_code,language_family,SIB Gemma3-27B,Flores xx-eng Gemma3-27B,Flores eng-xx Gemma3-27B
Acehnese (Arabic script),ace_Arab,Austronesian,61.3,26.0,1.7
Acehnese (Latin script),ace_Latn,Austronesian,72.1,38.7,25.6
Mesopotamian Arabic,acm_Arab,Afro-Asiatic,86.3,57.7,15.3
Ta’izzi-Adeni Arabic,acq_Arab,Afro-Asiatic,86.3,58.8,36.7
Tunisian Arabic,aeb_Arab,Afro-Asiatic,84.8,54.1,31.3
Afrikaans,afr_Latn,Indo-European,86.3,74.5,63.6
South Levantine Arabic,ajp_Arab,Afro-Asiatic,86.3,62.4,43.2
Akan,aka_Latn,Atlantic-Congo,56.4,29.1,20.4
Tosk Albanian,als_Latn,Indo-European,84.3,63.8,56.8
Amharic,amh_Ethi,Afro-Asiatic,82.4,55.1,23.8
North Levantine Arabic,apc_Arab,Afro-Asiatic,86.3,60.2,41.7
Modern Standard Arabic,arb_Arab,Afro-Asiatic,88.7,62.3,52.8
Modern Standard Arabic (Romanized),arb_Latn,Afro-Asiatic,84.8,50.5,22.6
Najdi Arabic,ars_Arab,Afro-Asiatic,88.7,61.4,36.8
Moroccan Arabic,ary_Arab,Afro-Asiatic,84.3,52.7,23.5
Egyptian Arabic,arz_Arab,Afro-Asiatic,85.8,55.0,42.9
Assamese,asm_Beng,Indo-European,84.8,52.8,28.5
Asturian,ast_Latn,Indo-European,85.3,64.2,55.3
Awadhi,awa_Deva,Indo-European,83.8,57.2,26.8
Central Aymara,ayr_Latn,Aymaran,45.1,22.1,16.7
South Azerbaijani,azb_Arab,Turkic,81.9,43.7,14.8
North Azerbaijani,azj_Latn,Turkic,81.9,49.7,42.7
Bashkir,bak_Cyrl,Turkic,84.3,52.9,39.7
Bambara,bam_Latn,Mande,47.5,21.7,16.7
Balinese,ban_Latn,Austronesian,79.4,50.4,33.7
Belarusian,bel_Cyrl,Indo-European,86.3,48.8,44.2
Bemba,bem_Latn,Atlantic-Congo,60.3,28.5,23.2
Bengali,ben_Beng,Indo-European,86.3,58.6,44.0
Bhojpuri,bho_Deva,Indo-European,82.4,51.6,33.5
Banjar (Arabic script),bjn_Arab,Austronesian,62.7,29.9,5.1
Banjar (Latin script),bjn_Latn,Austronesian,83.3,53.9,38.6
Standard Tibetan,bod_Tibt,Sino-Tibetan,73.0,28.8,22.5
Bosnian,bos_Latn,Indo-European,86.8,65.7,57.9
Buginese,bug_Latn,Austronesian,60.8,31.3,19.7
Bulgarian,bul_Cyrl,Indo-European,85.3,66.0,62.9
Catalan,cat_Latn,Indo-European,85.3,68.2,64.5
Cebuano,ceb_Latn,Austronesian,86.3,65.1,54.1
Czech,ces_Latn,Indo-European,84.3,63.9,56.5
Chokwe,cjk_Latn,Atlantic-Congo,45.1,20.1,14.9
Central Kurdish,ckb_Arab,Indo-European,83.8,54.2,33.8
Crimean Tatar,crh_Latn,Turkic,79.4,52.1,30.8
Welsh,cym_Latn,Indo-European,83.3,71.3,54.2
Danish,dan_Latn,Indo-European,86.8,69.8,67.3
German,deu_Latn,Indo-European,86.8,66.6,63.6
Southwestern Dinka,dik_Latn,Nilotic,44.1,22.8,15.8
Dyula,dyu_Latn,Mande,47.1,21.0,12.8
Dzongkha,dzo_Tibt,Sino-Tibetan,66.2,22.6,19.3
Greek,ell_Grek,Indo-European,85.8,59.8,52.7
English,eng_Latn,Indo-European,87.7,,
Esperanto,epo_Latn,Constructed,86.3,66.3,59.2
Estonian,est_Latn,Uralic,86.8,62.4,54.9
Basque,eus_Latn,Basque,83.8,56.3,48.7
Ewe,ewe_Latn,Atlantic-Congo,46.6,23.4,18.8
Faroese,fao_Latn,Indo-European,83.8,57.9,40.5
Fijian,fij_Latn,Austronesian,52.9,28.5,22.6
Finnish,fin_Latn,Uralic,87.3,60.1,55.5
Fon,fon_Latn,Atlantic-Congo,36.8,18.5,9.7
French,fra_Latn,Indo-European,87.3,66.5,68.9
Friulian,fur_Latn,Indo-European,80.9,57.1,42.1
Nigerian Fulfulde,fuv_Latn,Atlantic-Congo,49.5,22.1,15.3
West Central Oromo,gaz_Latn,Afro-Asiatic,52.9,33.5,17.5
Scottish Gaelic,gla_Latn,Indo-European,81.4,52.2,39.3
Irish,gle_Latn,Indo-European,87.7,59.8,44.1
Galician,glg_Latn,Indo-European,82.4,64.1,60.5
Guarani,grn_Latn,Tupian,71.1,34.1,18.3
Gujarati,guj_Gujr,Indo-European,82.4,62.4,49.0
Haitian Creole,hat_Latn,Indo-European,83.8,61.1,49.5
Hausa,hau_Latn,Afro-Asiatic,80.4,52.0,43.9
Hebrew,heb_Hebr,Afro-Asiatic,86.8,65.9,57.0
