Language,FLORES-200 code,xx - English,English - xx
Acehnese (Arabic script),ace_Arab,34.5,12.4
Acehnese (Latin script),ace_Latn,44.3,29.0
Mesopotamian Arabic,acm_Arab,59.4,45.2
Ta’izzi-Adeni Arabic,acq_Arab,61.2,48.7
Tunisian Arabic,aeb_Arab,57.5,41.7
Afrikaans,afr_Latn,77.0,67.6
South Levantine Arabic,ajp_Arab,65.3,48.8
Akan,aka_Latn,39.0,27.9
Tosk Albanian,als_Latn,64.6,60.3
Amharic,amh_Ethi,53.6,23.8
North Levantine Arabic,apc_Arab,62.7,47.8
Modern Standard Arabic,arb_Arab,64.2,55.9
Modern Standard Arabic (Romanized),arb_Latn,57.8,29.7
Najdi Arabic,ars_Arab,63.1,47.5
Moroccan Arabic,ary_Arab,56.3,37.7
Egyptian Arabic,arz_Arab,57.2,45.9
Assamese,asm_Beng,55.1,34.3
Asturian,ast_Latn,65.2,54.9
Awadhi,awa_Deva,60.1,33.1
Central Aymara,ayr_Latn,30.4,23.8
South Azerbaijani,azb_Arab,46.5,5.4
North Azerbaijani,azj_Latn,50.6,44.6
Bashkir,bak_Cyrl,56.3,46.4
Bambara,bam_Latn,27.2,19.1
Balinese,ban_Latn,54.8,35.8
Belarusian,bel_Cyrl,49.1,45.2
Bemba,bem_Latn,38.8,28.6
Bengali,ben_Beng,60.2,46.5
Bhojpuri,bho_Deva,53.5,33.0
Banjar (Arabic script),bjn_Arab,42.7,13.6
Banjar (Latin script),bjn_Latn,56.9,38.0
Standard Tibetan,bod_Tibt,30.9,18.2
Bosnian,bos_Latn,66.7,61.8
Buginese,bug_Latn,36.5,23.8
Bulgarian,bul_Cyrl,66.3,65.6
Catalan,cat_Latn,69.0,67.0
Cebuano,ceb_Latn,66.7,58.1
Czech,ces_Latn,65.2,59.4
Chokwe,cjk_Latn,25.7,19.4
Central Kurdish,ckb_Arab,51.3,28.8
Crimean Tatar,crh_Latn,54.5,32.3
Welsh,cym_Latn,76.5,70.0
Danish,dan_Latn,70.3,70.6
German,deu_Latn,67.5,66.0
Southwestern Dinka,dik_Latn,25.8,16.0
Dyula,dyu_Latn,24.9,16.5
Dzongkha,dzo_Tibt,26.8,17.8
Greek,ell_Grek,60.3,54.7
Esperanto,epo_Latn,67.7,60.8
Estonian,est_Latn,63.7,58.3
Basque,eus_Latn,58.4,52.0
Ewe,ewe_Latn,27.1,20.7
Faroese,fao_Latn,62.6,49.5
Fijian,fij_Latn,42.5,41.7
Finnish,fin_Latn,60.7,58.4
Fon,fon_Latn,21.7,13.7
French,fra_Latn,67.7,71.5
Friulian,fur_Latn,62.9,44.4
Nigerian Fulfulde,fuv_Latn,27.7,17.6
West Central Oromo,gaz_Latn,46.9,32.1
Scottish Gaelic,gla_Latn,60.0,50.1
Irish,gle_Latn,64.8,57.0
Galician,glg_Latn,65.1,62.7
Guarani,grn_Latn,46.0,28.1
Gujarati,guj_Gujr,63.5,39.3
Haitian Creole,hat_Latn,64.0,53.4
Hausa,hau_Latn,56.0,49.0
Hebrew,heb_Hebr,67.2,59.0
Hindi,hin_Deva,64.7,53.4
Chhattisgarhi,hne_Deva,63.5,34.5
