language_family,count,SIB Gemini2-Flash (Apr 2025),Flores xx-eng Gemini2-Flash (Apr 2025),Flores eng-xx Gemini2-Flash (Apr 2025)
Indo-European,79,87.9,64.7,50.5
Atlantic-Congo,35,77.7,47.0,33.8
Afro-Asiatic,21,81.8,55.9,37.1
Austronesian,21,84.5,58.4,43.0
Turkic,11,86.8,57.8,46.4
Sino-Tibetan,9,84.4,49.3,30.3
Nilotic,5,47.8,26.3,17.0
Dravidian,4,87.3,62.1,49.1
Tai-Kadai,3,85.1,56.0,40.7
Uralic,3,88.1,63.1,58.0
Austroasiatic,3,86.1,58.3,43.1
Mande,2,65.2,33.2,16.2
Japonic,1,89.2,56.0,34.3
Koreanic,1,85.3,58.3,37.8
Mongolic-Khitan,1,84.8,58.5,47.1
Constructed,1,88.2,68.2,62.1
Quechuan,1,74.5,37.7,31.1
Basque,1,87.3,59.2,54.5
Aymaran,1,70.6,35.3,24.3
Tupian,1,83.8,50.3,32.5
Kartvelian,1,88.2,57.2,52.5
