Language,FLORES-200 code,xx - English,English - xx
Acehnese (Arabic script),ace_Arab,26.0,1.7
Acehnese (Latin script),ace_Latn,38.7,25.6
Mesopotamian Arabic,acm_Arab,57.7,15.3
Ta’izzi-Adeni Arabic,acq_Arab,58.8,36.7
Tunisian Arabic,aeb_Arab,54.1,31.3
Afrikaans,afr_Latn,74.5,63.6
South Levantine Arabic,ajp_Arab,62.4,43.2
Akan,aka_Latn,29.1,20.4
Tosk Albanian,als_Latn,63.8,56.8
Amharic,amh_Ethi,55.1,23.8
North Levantine Arabic,apc_Arab,60.2,41.7
Modern Standard Arabic,arb_Arab,62.3,52.8
Modern Standard Arabic (Romanized),arb_Latn,50.5,22.6
Najdi Arabic,ars_Arab,61.4,36.8
Moroccan Arabic,ary_Arab,52.7,23.5
Egyptian Arabic,arz_Arab,55.0,42.9
Assamese,asm_Beng,52.8,28.5
Asturian,ast_Latn,64.2,55.3
Awadhi,awa_Deva,57.2,26.8
Central Aymara,ayr_Latn,22.1,16.7
South Azerbaijani,azb_Arab,43.7,14.8
North Azerbaijani,azj_Latn,49.7,42.7
Bashkir,bak_Cyrl,52.9,39.7
Bambara,bam_Latn,21.7,16.7
Balinese,ban_Latn,50.4,33.7
Belarusian,bel_Cyrl,48.8,44.2
Bemba,bem_Latn,28.5,23.2
Bengali,ben_Beng,58.6,44.0
Bhojpuri,bho_Deva,51.6,33.5
Banjar (Arabic script),bjn_Arab,29.9,5.1
Banjar (Latin script),bjn_Latn,53.9,38.6
Standard Tibetan,bod_Tibt,28.8,22.5
Bosnian,bos_Latn,65.7,57.9
Buginese,bug_Latn,31.3,19.7
Bulgarian,bul_Cyrl,66.0,62.9
Catalan,cat_Latn,68.2,64.5
Cebuano,ceb_Latn,65.1,54.1
Czech,ces_Latn,63.9,56.5
Chokwe,cjk_Latn,20.1,14.9
Central Kurdish,ckb_Arab,54.2,33.8
Crimean Tatar,crh_Latn,52.1,30.8
Welsh,cym_Latn,71.3,54.2
Danish,dan_Latn,69.8,67.3
German,deu_Latn,66.6,63.6
Southwestern Dinka,dik_Latn,22.8,15.8
Dyula,dyu_Latn,21.0,12.8
Dzongkha,dzo_Tibt,22.6,19.3
Greek,ell_Grek,59.8,52.7
Esperanto,epo_Latn,66.3,59.2
Estonian,est_Latn,62.4,54.9
Basque,eus_Latn,56.3,48.7
Ewe,ewe_Latn,23.4,18.8
Faroese,fao_Latn,57.9,40.5
Fijian,fij_Latn,28.5,22.6
Finnish,fin_Latn,60.1,55.5
Fon,fon_Latn,18.5,9.7
French,fra_Latn,66.5,68.9
Friulian,fur_Latn,57.1,42.1
Nigerian Fulfulde,fuv_Latn,22.1,15.3
West Central Oromo,gaz_Latn,33.5,17.5
Scottish Gaelic,gla_Latn,52.2,39.3
Irish,gle_Latn,59.8,44.1
Galician,glg_Latn,64.1,60.5
Guarani,grn_Latn,34.1,18.3
Gujarati,guj_Gujr,62.4,49.0
Haitian Creole,hat_Latn,61.1,49.5
Hausa,hau_Latn,52.0,43.9
Hebrew,heb_Hebr,65.9,57.0
Hindi,hin_Deva,63.7,53.0
Chhattisgarhi,hne_Deva,59.6,29.4
Croatian,hrv_Latn,62.7,56.3
Hungarian,hun_Latn,60.5,53.2
Armenian,hye_Armn,61.0,49.6
Igbo,ibo_Latn,45.4,35.2
Ilocano,ilo_Latn,51.7,39.5
Indonesian,ind_Latn,66.2,66.7
Icelandic,isl_Latn,58.3,46.1
Italian,ita_Latn,58.5,59.4
Javanese,jav_Latn,59.4,44.3
Japanese,jpn_Jpan,53.5,31.9
Kabyle,kab_Latn,24.8,17.3
Jingpho,kac_Latn,20.1,21.0
Kamba,kam_Latn,24.4,16.3
Kannada,kan_Knda,56.7,45.5
Kashmiri (Arabic script),kas_Arab,35.9,13.1
Kashmiri (Devanagari script),kas_Deva,28.2,11.9
Georgian,kat_Geor,54.2,46.5
Kazakh,kaz_Cyrl,57.7,48.0
Kabiyè,kbp_Latn,21.0,9.7
Kabuverdianu,kea_Latn,62.1,32.7
Halh Mongolian,khk_Cyrl,53.1,39.6
Khmer,khm_Khmr,53.8,33.2
Kikuyu,kik_Latn,26.9,20.0
Kinyarwanda,kin_Latn,49.4,35.6
Kyrgyz,kir_Cyrl,50.5,41.0
Kimbundu,kmb_Latn,22.3,18.3
Northern Kurdish,kmr_Latn,50.6,17.9
Central Kanuri (Arabic script),knc_Arab,13.3,4.1
Central Kanuri (Latin script),knc_Latn,22.6,14.4
Kikongo,kon_Latn,26.3,17.6
