language_name,language_code,language_family,Accuracy gpt-4o,Accuracy gemini2-Flash,Accuracy Gemma3-27B,region
Mesopotamian Arabic,acm_Arab,Afro-Asiatic,82.2,83.6,78.1,Asia 1
Afrikaans,afr_Latn,Indo-European,94.0,94.4,90.7,Africa
Tosk Albanian,als_Latn,Indo-European,91.6,91.4,89.4,Europe 1
Amharic,amh_Ethi,Afro-Asiatic,73.6,86.1,79.0,Africa
North Levantine Arabic,apc_Arab,Afro-Asiatic,88.9,88.7,80.3,Asia 1
Modern Standard Arabic,arb_Arab,Afro-Asiatic,92.7,91.7,90.8,Asia 1
Modern Standard Arabic (Romanized),arb_Latn,Afro-Asiatic,78.7,78.4,60.8,Asia 1
Najdi Arabic,ars_Arab,Afro-Asiatic,87.4,87.8,81.9,Asia 1
Moroccan Arabic,ary_Arab,Afro-Asiatic,82.1,85.2,76.1,Africa
Egyptian Arabic,arz_Arab,Afro-Asiatic,87.4,89.4,84.6,Africa
Assamese,asm_Beng,Indo-European,86.2,85.0,82.4,Asia 2
North Azerbaijani,azj_Latn,Turkic,86.8,87.3,84.6,Asia 1
Bambara,bam_Latn,Mande,36.0,54.8,31.6,Africa
Bengali,ben_Beng,Indo-European,88.3,88.6,85.1,Asia 2
Bengali,ben_Latn,Indo-European,78.9,81.3,66.7,Asia 2
Standard Tibetan,bod_Tibt,Sino-Tibetan,36.0,63.8,40.6,Asia 3
Bulgarian,bul_Cyrl,Indo-European,94.0,91.3,91.0,Europe 2
Catalan,cat_Latn,Indo-European,93.9,91.7,91.9,Europe 1
Cebuano,ceb_Latn,Austronesian,87.6,90.2,85.9,Asia 3
Czech,ces_Latn,Indo-European,92.7,90.0,90.8,Europe 2
Central Kurdish,ckb_Arab,Indo-European,71.1,89.6,82.6,Asia 1
Danish,dan_Latn,Indo-European,93.4,92.3,91.6,Europe 1
German,deu_Latn,Indo-European,93.8,93.1,91.7,Europe 1
Greek,ell_Grek,Indo-European,92.4,90.2,91.8,Europe 1
English,eng_Latn,Indo-European,95.1,74.3,94.2,Europe 1
Estonian,est_Latn,Uralic,92.6,90.0,88.6,Europe 1
Basque,eus_Latn,Basque,91.3,90.3,87.3,Europe 1
Finnish,fin_Latn,Uralic,93.3,89.8,90.9,Europe 1
French,fra_Latn,Indo-European,94.1,91.1,92.0,Europe 1
Nigerian Fulfulde,fuv_Latn,Atlantic-Congo,30.8,34.3,27.1,Africa
West Central Oromo,gaz_Latn,Afro-Asiatic,66.9,72.8,51.4,Africa
Guarani,grn_Latn,Tupian,72.3,78.3,44.4,Americas/Oceania
Gujarati,guj_Gujr,Indo-European,86.6,87.6,84.0,Asia 2
Haitian Creole,hat_Latn,Indo-European,88.3,85.7,84.7,Americas/Oceania
Hausa,hau_Latn,Afro-Asiatic,79.0,81.2,73.4,Africa
Hebrew,heb_Hebr,Afro-Asiatic,90.7,90.8,88.9,Asia 1
