FLORES-200 Code,English Name,Script,Family
acm_Arab,Mesopotamian Arabic,Arab,Afro-Asiatic
afr_Latn,Afrikaans,Latn,Germanic
als_Latn,Tosk Albanian,Latn,Paleo-Balkanic
amh_Ethi,Amharic,Ethi,Afro-Asiatic
apc_Arab,North Levantine Arabic,Arab,Afro-Asiatic
arb_Arab,Modern Standard Arabic,Arab,Afro-Asiatic
arb_Latn,Modern Standard Arabic (Romanized),Latn,Afro-Asiatic
ars_Arab,Najdi Arabic,Arab,Afro-Asiatic
ary_arab,Moroccan Arabic,Arab,Afro-Asiatic
arz_Arab,Egyptian Arabic,Arab,Afro-Asiatic
asm_Beng,Assamese,Beng,Indo-Aryan
azj_Latn,North Azerbaijani,Latn,Turkic
bam_Latn,Bambara,Latn,Mande
ben_Beng,Bengali,Beng,Indo-Aryan
ben_Latn^,Bengali (Romanized),Latn,Indo-Aryan
bod_Tibt,Standard Tibetan,Tibt,Sino-Tibetan
bul_Cyrl,Bulgarian,Cyrl,Balto-Slavic
cat_Latn,Catalan,Latn,Romance
ceb_Latn,Cebuano,Latn,Austronesian
ces_Latn,Czech,Latn,Balto-Slavic
ckb_Arab,Central Kurdish,Arab,Iranian
dan_Latn,Danish,Latn,Germanic
deu_Latn,German,Latn,Germanic
ell_Grek,Greek,Grek,Hellenic
eng_Latn,English,Latn,Germanic
est_Latn,Estonian,Latn,Uralic
eus_Latn,Basque,Latn,Basque
fin_Latn,Finnish,Latn,Uralic
fra_Latn,French,Latn,Romance
fuv_Latn,Nigerian Fulfulde,Latn,Atlantic-Congo
gaz_Latn,West Central Oromo,Latn,Afro-Asiatic
grn_Latn,Guarani,Latn,Tupian
guj_Gujr,Gujarati,Gujr,Indo-Aryan
hat_Latn,Haitian Creole,Latn,Atlantic-Congo
hau_Latn,Hausa,Latn,Afro-Asiatic
heb_Hebr,Hebrew,Hebr,Afro-Asiatic
hin_Deva,Hindi,Deva,Indo-Aryan
hin_Latn^,Hindi (Romanized),Latn,Indo-Aryan
hrv_Latn,Croatian,Latn,Balto-Slavic
hun_Latn,Hungarian,Latn,Uralic
hye_Armn,Armenian,Armn,Armenian
ibo_Latn,Igbo,Latn,Atlantic-Congo
ilo_Latn,Ilocano,Latn,Austronesian
ind_Latn,Indonesian,Latn,Austronesian
isl_Latn,Icelandic,Latn,Germanic
