Language name,Language code,Accuracy
Acehnese (Arabic script),ace_Arab,75.5
Acehnese (Latin script),ace_Latn,80.9
Mesopotamian Arabic,acm_Arab,88.2
Ta’izzi-Adeni Arabic,acq_Arab,90.2
Tunisian Arabic,aeb_Arab,85.3
Afrikaans,afr_Latn,87.7
South Levantine Arabic,ajp_Arab,86.3
Akan,aka_Latn,78.4
Tosk Albanian,als_Latn,88.2
Amharic,amh_Ethi,85.8
North Levantine Arabic,apc_Arab,88.7
Modern Standard Arabic,arb_Arab,87.7
Modern Standard Arabic (Romanized),arb_Latn,87.7
Najdi Arabic,ars_Arab,88.7
Moroccan Arabic,ary_Arab,88.2
Egyptian Arabic,arz_Arab,85.8
Assamese,asm_Beng,87.3
Asturian,ast_Latn,87.3
Awadhi,awa_Deva,84.3
Central Aymara,ayr_Latn,64.7
South Azerbaijani,azb_Arab,84.3
North Azerbaijani,azj_Latn,88.7
Bashkir,bak_Cyrl,86.8
Bambara,bam_Latn,58.3
Balinese,ban_Latn,85.3
Belarusian,bel_Cyrl,90.7
Bemba,bem_Latn,77.0
Bengali,ben_Beng,86.3
Bhojpuri,bho_Deva,84.8
Banjar (Arabic script),bjn_Arab,74.5
Banjar (Latin script),bjn_Latn,85.8
Standard Tibetan,bod_Tibt,75.0
Bosnian,bos_Latn,87.7
Buginese,bug_Latn,75.0
Bulgarian,bul_Cyrl,88.7
Catalan,cat_Latn,89.2
Cebuano,ceb_Latn,89.7
Czech,ces_Latn,88.2
Chokwe,cjk_Latn,52.5
Central Kurdish,ckb_Arab,84.8
Crimean Tatar,crh_Latn,82.4
Welsh,cym_Latn,87.7
Danish,dan_Latn,86.8
German,deu_Latn,88.7
Southwestern Dinka,dik_Latn,45.1
Dyula,dyu_Latn,56.4
Dzongkha,dzo_Tibt,72.5
Greek,ell_Grek,89.2
English,eng_Latn,88.2
Esperanto,epo_Latn,88.2
Estonian,est_Latn,87.3
Basque,eus_Latn,88.7
Ewe,ewe_Latn,53.4
Faroese,fao_Latn,87.3
Fijian,fij_Latn,82.8
Finnish,fin_Latn,87.7
Fon,fon_Latn,45.6
French,fra_Latn,86.8
Friulian,fur_Latn,87.3
Nigerian Fulfulde,fuv_Latn,65.7
West Central Oromo,gaz_Latn,85.8
Scottish Gaelic,gla_Latn,88.7
Irish,gle_Latn,87.7
Galician,glg_Latn,89.2
Guarani,grn_Latn,80.9
Gujarati,guj_Gujr,85.8
Haitian Creole,hat_Latn,87.3
Hausa,hau_Latn,82.8
Hebrew,heb_Hebr,88.2
Hindi,hin_Deva,85.8
Chhattisgarhi,hne_Deva,89.2
Croatian,hrv_Latn,87.7
