language_name,language_code,language_family,region,in_flores,LID_accuracy_gemma,LID_accuracy_gpt4o,LID_accuracy_gemini,TC_accuracy_gemma,TC_accuracy_gpt4o,TC_accuracy_gemini,RC_accuracy_gemma,RC_accuracy_gpt4o,RC_accuracy_gemini,NLI_accuracy_gemma,NLI_accuracy_gpt4o,NLI_accuracy_gemini,MT_xx_eng_chrf_gemma,MT_eng_xx_chrf_gemma,MT_xx_eng_chrf_gpt4o,MT_eng_xx_chrf_gpt4o,MT_xx_eng_chrf_gemini,MT_eng_xx_chrf_gemini
Acehnese (Arabic script),ace_Arab,Austronesian,Asia 3,True,97.8,99.5,98.5,61.3,75.5,73.0,,,,,,,26.0,1.7,34.5,12.4,37.3,8.4
Acehnese (Latin script),ace_Latn,Austronesian,Asia 3,True,96.9,93.6,99.6,72.1,80.9,83.8,,,,,,,38.7,25.6,44.3,29.0,56.2,26.8
Mesopotamian Arabic,acm_Arab,Afro-Asiatic,Asia 1,True,99.8,100.0,100.0,86.3,88.2,89.7,78.1,82.2,83.6,,,,57.7,15.3,59.4,45.2,59.7,38.3
Ta’izzi-Adeni Arabic,acq_Arab,Afro-Asiatic,Asia 1,True,99.8,100.0,99.9,86.3,90.2,89.7,,,,,,,58.8,36.7,61.2,48.7,61.1,39.5
Tunisian Arabic,aeb_Arab,Afro-Asiatic,Africa,True,99.9,100.0,99.9,84.8,85.3,87.3,,,,,,,54.1,31.3,57.5,41.7,57.8,38.1
Afrikaans,afr_Latn,Indo-European,Africa,True,99.7,100.0,99.9,86.3,87.7,89.7,90.7,94.0,94.4,,,,74.5,63.6,77.0,67.6,76.8,66.3
South Levantine Arabic,ajp_Arab,Afro-Asiatic,Asia 1,True,99.9,100.0,100.0,86.3,86.3,87.7,,,,,,,62.4,43.2,65.3,48.8,65.6,44.4
Akan,aka_Latn,Atlantic-Congo,Africa,True,33.4,46.8,53.0,56.4,78.4,86.3,,,,,,,29.1,20.4,39.0,27.9,45.9,34.7
Tosk Albanian,als_Latn,Indo-European,Europe 1,True,100.0,100.0,100.0,84.3,88.2,86.8,89.4,91.6,91.4,,,,63.8,56.8,64.6,60.3,66.4,60.6
Amharic,amh_Ethi,Afro-Asiatic,Africa,True,99.8,100.0,100.0,82.4,85.8,87.3,79.0,73.6,86.1,71.5,68.5,74.2,55.1,23.8,53.6,23.8,63.4,37.9
