language_code,Accuracy GlotLID
ace_Arab,99.1
ace_Latn,99.7
acm_Arab,39.8
acq_Arab,
aeb_Arab,52.0
afr_Latn,100.0
ajp_Arab,22.4
aka_Latn,99.6
als_Latn,100.0
amh_Ethi,100.0
apc_Arab,34.2
arb_Arab,86.9
arb_Latn,99.9
ars_Arab,6.0
ary_Arab,80.2
arz_Arab,69.5
asm_Beng,100.0
ast_Latn,99.1
awa_Deva,88.8
ayr_Latn,100.0
azb_Arab,98.0
azj_Latn,100.0
bak_Cyrl,100.0
bam_Latn,87.5
ban_Latn,95.9
bel_Cyrl,100.0
bem_Latn,98.9
ben_Beng,99.9
bho_Deva,97.6
bjn_Arab,98.7
bjn_Latn,97.8
bod_Tibt,95.8
bos_Latn,45.9
bug_Latn,99.3
bul_Cyrl,100.0
cat_Latn,100.0
ceb_Latn,99.0
ces_Latn,100.0
cjk_Latn,96.0
ckb_Arab,99.2
crh_Latn,98.2
cym_Latn,100.0
dan_Latn,99.5
deu_Latn,100.0
dik_Latn,98.9
dyu_Latn,59.4
dzo_Tibt,99.7
ell_Grek,100.0
eng_Latn,100.0
epo_Latn,100.0
est_Latn,99.9
eus_Latn,99.9
ewe_Latn,100.0
fao_Latn,100.0
fij_Latn,99.9
fin_Latn,100.0
fon_Latn,100.0
fra_Latn,100.0
fur_Latn,100.0
fuv_Latn,98.6
gaz_Latn,100.0
gla_Latn,100.0
gle_Latn,100.0
glg_Latn,99.3
grn_Latn,100.0
guj_Gujr,100.0
hat_Latn,100.0
hau_Latn,100.0
heb_Hebr,100.0
hin_Deva,99.7
hne_Deva,94.9
hrv_Latn,94.6
hun_Latn,100.0
hye_Armn,100.0
ibo_Latn,100.0
ilo_Latn,100.0
ind_Latn,99.7
isl_Latn,99.9
ita_Latn,99.9
jav_Latn,99.8
jpn_Jpan,100.0
kab_Latn,99.8
kac_Latn,100.0
kam_Latn,95.8
kan_Knda,100.0
kas_Arab,99.6
kas_Deva,99.9
kat_Geor,100.0
kaz_Cyrl,99.9
kbp_Latn,99.9
kea_Latn,94.5
khk_Cyrl,100.0
khm_Khmr,99.9
kik_Latn,99.7
kin_Latn,95.1
kir_Cyrl,100.0
kmb_Latn,99.2
kmr_Latn,98.6
knc_Arab,95.8
knc_Latn,100.0
kon_Latn,98.2
kor_Hang,100.0
lao_Laoo,99.9
lij_Latn,99.9
lim_Latn,98.7
lin_Latn,99.9
lit_Latn,99.9
lmo_Latn,99.2
ltg_Latn,99.3
ltz_Latn,100.0
lua_Latn,99.3
lug_Latn,99.3
luo_Latn,99.9
lus_Latn,99.6
lvs_Latn,100.0
mag_Deva,97.5
mai_Deva,99.7
mal_Mlym,100.0
mar_Deva,100.0
min_Arab,98.2
min_Latn,99.4
mkd_Cyrl,99.9
mlt_Latn,100.0
mni_Beng,100.0
mos_Latn,98.3
mri_Latn,99.8
mya_Mymr,100.0
nld_Latn,99.9
nno_Latn,97.5
nob_Latn,99.2
npi_Deva,100.0
nso_Latn,99.8
nus_Latn,99.9
nya_Latn,99.9
oci_Latn,100.0
ory_Orya,100.0
pag_Latn,99.9
pan_Guru,100.0
pap_Latn,99.8
pbt_Arab,100.0
pes_Arab,100.0
plt_Latn,99.8
pol_Latn,100.0
por_Latn,100.0
prs_Arab,100.0
quy_Latn,73.5
ron_Latn,99.9
run_Latn,98.0
rus_Cyrl,100.0
sag_Latn,99.6
san_Deva,99.0
sat_Olck,100.0
scn_Latn,99.6
shn_Mymr,100.0
sin_Sinh,100.0
slk_Latn,99.9
slv_Latn,100.0
smo_Latn,99.8
sna_Latn,100.0
snd_Arab,100.0
som_Latn,100.0
sot_Latn,98.7
spa_Latn,99.9
srd_Latn,99.8
srp_Cyrl,99.9
ssw_Latn,99.1
sun_Latn,99.6
swe_Latn,100.0
swh_Latn,96.8
szl_Latn,98.9
tam_Taml,100.0
taq_Latn,96.5
taq_Tfng,99.5
tat_Cyrl,99.9
tel_Telu,99.9
tgk_Cyrl,100.0
tgl_Latn,99.9
tha_Thai,100.0
tir_Ethi,96.4
tpi_Latn,99.9
tsn_Latn,99.6
tso_Latn,99.7
tuk_Latn,100.0
tum_Latn,99.8
tur_Latn,100.0
twi_Latn,99.9
tzm_Tfng,7.6
uig_Arab,100.0
ukr_Cyrl,100.0
umb_Latn,97.8
urd_Arab,99.9
uzn_Latn,100.0
vec_Latn,99.9
vie_Latn,100.0
war_Latn,100.0
wol_Latn,99.8
xho_Latn,99.2
ydd_Hebr,100.0
yor_Latn,100.0
yue_Hant,
zho_Hans,98.2
zho_Hant,
zsm_Latn,87.5
zul_Latn,95.6
