premise,hypothesis,gpt_reply
"Pekala, bunu hiç düşünmemiştim ancak kafam çok karıştı ve onunla tekrar konuşmadım.",Onunla bir daha konuşmadım.,entailment
"Pekala, bunu hiç düşünmemiştim ancak kafam çok karıştı ve onunla tekrar konuşmadım.",O kadar çok üzgündüm ki onunla tekrar konuşmaya başladım.,contradiction
"Pekala, bunu hiç düşünmemiştim ancak kafam çok karıştı ve onunla tekrar konuşmadım.",Harika bir konuşma yaptık.,contradiction
Sonunda tanışmam için bir adam tarafından çağrılmamı söylediler.,Bana herhangi birisiyle görüşme konusunda hiç bir şey söylenmedi.,contradiction
Sonunda tanışmam için bir adam tarafından çağrılmamı söylediler.,Tanışmam için bana bir adamın çağrılıcağı söylendi.,entailment
Sonunda tanışmam için bir adam tarafından çağrılmamı söylediler.,Adam biraz geç teşrif etti.,neutral
Bu konu hakkında söyleyebileceğin çok şey var pas geçiyorum.,O konuda bildiğim her şeyi sana anlatmak istiyorum.,contradiction
Bu konu hakkında söyleyebileceğin çok şey var pas geçiyorum.,Kapsanacak çok şey olmasına rağmen bundan bahsetmeyeceğim.,entailment
Bu konu hakkında söyleyebileceğin çok şey var pas geçiyorum.,Şehrin tarihinden bahsetmeyeceğim çünkü söylenecek çok bir şey yok.,contradiction
Neden olduğunu gerçekten bilmiyorum.,Sebebinden eminim.,contradiction
Neden olduğunu gerçekten bilmiyorum.,Okullardan neden nakil olduğunu bilmiyorum.,neutral
Neden olduğunu gerçekten bilmiyorum.,Bunun neden olduğunu bilmiyorum.,entailment
Minyatür irtifa odalarındaki test için regülatörleri çalıştıran tek kişi bendim.,Testler için düzenleyicileri yöneten tek kişi olmayı sevmedim.,contradiction
Minyatür irtifa odalarındaki test için regülatörleri çalıştıran tek kişi bendim.,Testler minyatür irtifa odalarında yapıldı.,entailment
Minyatür irtifa odalarındaki test için regülatörleri çalıştıran tek kişi bendim.,Test için düzenleyicileri yöneten birkaç kişi vardı.,contradiction
Rick’ in söylediği gibi ben Şef Master Sergeant emekli oldum.,Bugün bile çalışıyorum.,contradiction
Rick’ in söylediği gibi ben Şef Master Sergeant emekli oldum.,Ben 2002 yılında emekli oldum.,neutral
Rick’ in söylediği gibi ben Şef Master Sergeant emekli oldum.,Rick size emekli olduğumu söyledi.,entailment
"Masamda bazı nakit akışı projeksiyonları var ve bu da Cutty için, müşterinin adı.",Cutty adlı müşteri ayda 10000$ kazanıyor.,neutral
"Masamda bazı nakit akışı projeksiyonları var ve bu da Cutty için, müşterinin adı.",Adı Cutty olan bir müşteri var.,entailment
"Masamda bazı nakit akışı projeksiyonları var ve bu da Cutty için, müşterinin adı.",Cutty adlı bir müşterimiz yok.,contradiction
Bana yardım edebilecek olan kız şehrin diğer ucunda.,Yardımına ihtiyacım olan kız uzak bir mesafede yaşıyor.,entailment
Bana yardım edebilecek olan kız şehrin diğer ucunda.,Bana yardım edecek olan kız 5 mil mesafede.,neutral
Bana yardım edebilecek olan kız şehrin diğer ucunda.,Bana yardım edebilecek hiç kimse yok.,contradiction
"Ama onlar, tarla çocukları ve ev çocukları olarak bölündüler, bir çeşit ...",Kendi alanlarında çalışmaya hepsi hem fikir oldu.,contradiction
"Ama onlar, tarla çocukları ve ev çocukları olarak bölündüler, bir çeşit ...",Kimin tarla işçisi ve kimin evin sahibi olduğu konusunda anlaşamadılar.,neutral
"Ama onlar, tarla çocukları ve ev çocukları olarak bölündüler, bir çeşit ...",Kimin pamuk tarlasında kimin yer paspasında çalışması gerektiği konusunda hem fikir olamadılar.,neutral
"Demek istediğim, sadece beş çocuğu vardı, biri öldü.",Tüm çocukları kurtuldu.,contradiction
"Demek istediğim, sadece beş çocuğu vardı, biri öldü.",Beş çocuktan biri öldü.,entailment
"Demek istediğim, sadece beş çocuğu vardı, biri öldü.",Ölen çocuk hastalıklı doğmuştu.,neutral
Gözlerinde sadece gözyaşları olduğunu söyledi ve Joe'nun verandaya geldiğini söyledi.,Ona verandaya gelmesini söylediğinde gözleri yaşlıydı.,contradiction
