premise,hypothesis,gpt_reply
"Film Bucin bercerita tentang 4 sahabat (Andovi, Tommy, Jovi, dan Chandra) yang berusaha keluar dari hubungan yang tidak sehat karena mereka BUCIN (Budak Cinta). Mereka memutuskan untuk mengikuti kelas ANTI BUCIN agar mereka bisa menjalankan hubungan yang lebih dewasa, dan tidak diperbudak oleh cinta.",Empat sahabat mengikuti kelas BUCIN.,contradiction
"Jadi sehat lah, win-win situation kita bagus dalam olahraga untuk sementara ini. Apalagi setelah pandemi berakhir kompetisi jalan lagi. Jadi seharusnya pak Yoppy jangan terlalu emosional seperti sama KPAI kemarin. Itu yang paling penting. Pertimbangkan masak-masak, Budiarto menegaskan.",Pak Yoppy bersitegang dengan KPAI,entailment
Peraturan Presiden Nomor 69 Tahun 2019 tentang Kementerian Pariwisata dan Ekonomi Kreatif telah mengubah Kementerian Pariwisata pada Kabinet Kerja menjadi Kementerian Pariwisata dan Ekonomi Kreatif dalam Kabinet Indonesia Maju 2019-2020.,Kementerian Pariwisata dulu bernama Kementerian Pariwisata dan Ekonomi Kreatif.,contradiction
"Novel ini mengisahkan tentang Harry Potter, seorang anak laki-laki yatim piatu yang pada usia sebelas tahun mengetahui bahwa ia adalah seorang penyihir, hidup dalam dunia biasa non sihir, atau Muggle. Kemampuan sihirnya adalah bawaan dan ia diundang untuk menghadiri sekolah yang mengajarkan tentang keterampilan dan pengetahuan sihir.",Harry memiliki kemampuan sihir bawaan.,entailment
"Penyerang Juventus, Cristiano Ronaldo, merayakan gol ke gawang Cagliari, Minggu (22/11/2020) dini hari WIB.",Ronaldo adalah pemain belakang Juventus.,contradiction
Selama dua hari terjadi 67 longsor dan 11 banjir di wilayah Kabupaten Banyumas.,Longsor di Kabupaten Banyumas menelan lebih banyak korban ketimbang banjir.,neutral
"Di bagian timur Indonesia, beberapa suku masih mempertahankan tradisi dengan erat, salah satunya adalah suku Dani di Papua, yang tinggal di rumah adat khasnya, yang bernama Honai.  Arsitektur Honai begitu khas dengan atap yang terbuat dari jerami atau ilalang.",Suku Dani tinggal di rumah beratap jerami.,entailment
"Berikutnya, dengan jumlah gol sama, ada nama Mohamed Salah dari Liverpool. Satu tambahan gol dibuatnya dalam kemenangan Liverpool atas Tottenham Hotspur, Kamis (17/12/2020) dini hari WIB.",Pada tanggal 17 Desember 2020 kemarin Liverpool bertanding melawan Tottenham Hotspur.,entailment
"Jika sepasang gen ini merupakan dua alel yang berbeda (Sb dan sB pada gambar 2), alel dominan (S atau B) akan selalu terekspresikan (tampak secara visual dari luar).","Jika sepasang gen ini merupakan dua alel yang berbeda (Sb dan sB pada gambar 2), alel dominan (S atau B) akan selalu terekspresikan dengan massa yang berbeda.",contradiction
Karakter Wonder Woman membuat debut komiknya yang rilis di 1941 dan menjadi salah satu warisan DC sampai sekarang. Ia dianggap menjadi bagian dari DC Trinity bersama Batman dan Superman.,Wonder Woman pertama kali diperkenalkan di komik tahun 1941.,entailment
Semua calon petahana Pilkada 2020 di 3 kabupaten di Yogyakarta dinyatakan kalah dalam rapat pleno penghitungan suara Komisi Pemilihan Umum (KPU).,KPU menyatakan semua calon petahana Pilkada 2020 di 3 kabupaten Yogyakarta kalah.,entailment
"Randu, yang menganggap Dinar hanya berhalusinasi, menghadirkan seorang suster untuk menjaga Dinar dan membuatnya lebih tenang. Namun hantu perempuan itu kembali mengganggunya dan bahkan hampir mencelakainya.",Randu percaya apa yang dialami Dinar.,contradiction
