premise,hypothesis,gpt_label
"Ọdịmma, anaghị m echedi maka nke ahụ, mana adaara m nọọ mba n'obi, ma, m mechaa gwawa ya okwu ọzọ.",A gwa beghị m ya okwu ọzọ.,2
"Ọdịmma, anaghị m echedi maka nke ahụ, mana adaara m nọọ mba n'obi, ma, m mechaa gwawa ya okwu ọzọ.",E were m iwe ruo na mụ bidoro gwawa ya okwu ọzọ.,1
"Ọdịmma, anaghị m echedi maka nke ahụ, mana adaara m nọọ mba n'obi, ma, m mechaa gwawa ya okwu ọzọ.",Anyị nwere mkparịtaụka dị ukwuu.,1
"Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ.",A gwaghị m ihe ọ bụla gbasara izute onye ọ bụla.,2
"Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ.",Agwara m na-aga kpọ otu nwamadi ka m ga zute.,0
"Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ.",Nwamadi ahụ gburu ntakịrị oge tutu ọ pụta.,2
E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ. ,A chọrọ m ịgwa gị ihe nile m mara gbasara ihe ahụ!,1
E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ. ,"A gaghị m ekwu maka nke ahụ, agbanyeghị na e nwere ọtụtụ ịhe a ga-arụtụ áká. ",0
E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ. ,A gaghị m ekwu gbasara akụkọ ihe mere eme maka obodo ahụ n'ihi na enwere ọtụtụ ihe a ga-ekwu.,0
Ya mere o dochaghị m anya ịhe kpatara ya.,O doro m anya maka ihe kpatara ya.,2
Ya mere o dochaghị m anya ịhe kpatara ya.,Amaghị m ịhe o jiri nyefee ụlọakwụkwọ.,1
Ya mere o dochaghị m anya ịhe kpatara ya.,A maghị m ihe mere ihe ahụ jiri mee.,0
"Abụ m naanị onye na uh, gbaturula ihe eji agbago ma ọ bụ agbatu ngwaorụ ndị ahụ maka, nlele ihe ahụ n'ime ụlọ elu ntakịrị ndị ahụ. ",Ọ bụghị nmasị m ị bụ naanị m ga-agbatu ngwaọrụ ahụ eji agbago ma ọ bụ agbatu ngwaorụ maka nlele ahụ.,2
"Abụ m naanị onye na uh, gbaturula ihe eji agbago ma ọ bụ agbatu ngwaorụ ndị ahụ maka, nlele ihe ahụ n'ime ụlọ elu ntakịrị ndị ahụ. ",E mere nwale n'ime ụlọ elu ntakịrị ndị ahụ.,0
"Abụ m naanị onye na uh, gbaturula ihe eji agbago ma ọ bụ agbatu ngwaorụ ndị ahụ maka, nlele ihe ahụ n'ime ụlọ elu ntakịrị ndị ahụ. ",E nwere mmadụ ole na ole n'ime anyị bụ ndị gbaturu ngwaọrụ ahụ eji agbago ma ọ bụ agbatu ngwaorụ maka ule ahụ.,1
"A bụ m uh, Chief Master Sergeant, laraezumike nka, dịka Rick kwuru. ",A ka m na-arụ ọrụ rụọ taa.,2
"A bụ m uh, Chief Master Sergeant, laraezumike nka, dịka Rick kwuru. ",A lara m ezumike nka na 2002.,1
