premise,hypothesis,gpt_reply
حسنا ، لم أكن أفكر حتى حول ذلك ، لكن كنت محبطاً تماما ،وأنهيت الحديث معه مرة ثانية .,لم أتحدث معه مرة أخرى.,contradiction
حسنا ، لم أكن أفكر حتى حول ذلك ، لكن كنت محبطاً تماما ،وأنهيت الحديث معه مرة ثانية .,كنت مستاء جدا لدرجة أنني بدأت بالحديث معه مرة أخرى.,contradiction
حسنا ، لم أكن أفكر حتى حول ذلك ، لكن كنت محبطاً تماما ،وأنهيت الحديث معه مرة ثانية .,دار بيننا حديث رائع.,contradiction
أخبروني ،إيه، أنه سيتم استدعائي من قبل شاب في النهاية سيقابلني .,لم يتم إخباري أبداً بأي شيء عن مقابلة أي شخص.,contradiction
أخبروني ،إيه، أنه سيتم استدعائي من قبل شاب في النهاية سيقابلني .,لقد أخبروني بأنهم سيقومون بإرسال شاب لأقابله.,entailment
أخبروني ،إيه، أنه سيتم استدعائي من قبل شاب في النهاية سيقابلني .,لقد جاء الشاب متأخراً قليلاً.,neutral
هناك الكثير تستطيع التحدث عنه  وأنا سوف أتاجاوز ذلك تماما .,أريد أن أخبرك بكل شيء أعرفه عن ذلك!,contradiction
هناك الكثير تستطيع التحدث عنه  وأنا سوف أتاجاوز ذلك تماما .,لن أتحدث عن ذلك ، على الرغم من أن هناك الكثير لتغطيته.,entailment
هناك الكثير تستطيع التحدث عنه  وأنا سوف أتاجاوز ذلك تماما .,لن أتحدث عن تاريخ المدينة لأن هناك الكثير مما يمكن قوله حولها.,entailment
لذلك أنا فعلا غير متأكد لماذا.,أنا متأكد من سبب ذلك.,contradiction
لذلك أنا فعلا غير متأكد لماذا.,لا أعرف لماذا قام بنقل المدارس.,neutral
لذلك أنا فعلا غير متأكد لماذا.,لا أعرف لماذا حدث هذا.,entailment
كنت الشخص الوحيد الذي ،إيه، يدير منظمات الاختبار في غرف الارتفاع الصغيرة.,لم يعجبني أن أكون الوحيد الذي يدير المنظمين لإجراء الاختبارات.,neutral
كنت الشخص الوحيد الذي ،إيه، يدير منظمات الاختبار في غرف الارتفاع الصغيرة.,أجريت الاختبارات في غرف ارتفاع مصغرة.,entailment
كنت الشخص الوحيد الذي ،إيه، يدير منظمات الاختبار في غرف الارتفاع الصغيرة.,عدد قليل منا كان من الذين أداروا المنظمين للاختبار.,contradiction
وأنا ، رئيس رقباء ، متقاعد ، كما قال ريك.,ما زلت أعمل حتى يومنا هذا.,contradiction
وأنا ، رئيس رقباء ، متقاعد ، كما قال ريك.,تقاعدت في عام 2002.,neutral
وأنا ، رئيس رقباء ، متقاعد ، كما قال ريك.,قال لك رايك بأنني متقاعد.,entailment
هناك بعض التوقعات للتدفق النقدي على مكتبي ، وأوه ، أه ، لمثل هذا كاتي ، هذا هو اسم العميل.,يكلف العميل الذي يطلق عليه كوتي 10000 دولار في الشهر.,neutral
هناك بعض التوقعات للتدفق النقدي على مكتبي ، وأوه ، أه ، لمثل هذا كاتي ، هذا هو اسم العميل.,يوجد عميل اسمه كتي.,entailment
هناك بعض التوقعات للتدفق النقدي على مكتبي ، وأوه ، أه ، لمثل هذا كاتي ، هذا هو اسم العميل.,ليس لدينا أي عميل يدعى كوتي.,contradiction
الفتاة التي يمكن أن تساعدني موجودة في جميع أنحاء المدينة.,الفتاة التي أحتاج المساعدة منها تعيش بعيداً.,neutral
الفتاة التي يمكن أن تساعدني موجودة في جميع أنحاء المدينة.,الفتاة التي ستساعدني على بعد 5 أميال,neutral
الفتاة التي يمكن أن تساعدني موجودة في جميع أنحاء المدينة.,لا يوجد أحد يستطيع مساعدتي.,contradiction
لكن كانوا منقسمين مثل من كان المزارعين ومن كان أطفال المنزل ، كان ذلك نوع من --,اتفقوا جميعًا على أن عليهم العمل جميعًا في الحقول.,contradiction
لكن كانوا منقسمين مثل من كان المزارعين ومن كان أطفال المنزل ، كان ذلك نوع من --,لم يتمكنوا من الاتفاق على من كانت له يد ميدانية ومن ينتمي للمنزل.,neutral
لكن كانوا منقسمين مثل من كان المزارعين ومن كان أطفال المنزل ، كان ذلك نوع من --,لم يتمكنوا من الاتفاق على من يجب أن يعمل في مجال القطن ومن يجب أن يمسح الأرضيات.,entailment
أقصد  كان لديهم خمس أولاد فقط ، مات واحد منهم .,نجا أطفالهم جميعا.,contradiction
أقصد  كان لديهم خمس أولاد فقط ، مات واحد منهم .,توفي طفل واحد من الخمسة.,entailment
أقصد  كان لديهم خمس أولاد فقط ، مات واحد منهم .,كان الطفل الذي مات مولود مرض.,neutral
قالت كانت هناك دموع تنهمر من عينيها . وبعد ذلك قالت أن جو قَدِم إلى الشرفة .,كانت الدموع في عينيها عندما أخبرته بأن يصعد الرواق.,neutral
قالت كانت هناك دموع تنهمر من عينيها . وبعد ذلك قالت أن جو قَدِم إلى الشرفة .,انها سرعان ما مسحت الدموع بعد رميها جو من الشرفة.,contradiction
قالت كانت هناك دموع تنهمر من عينيها . وبعد ذلك قالت أن جو قَدِم إلى الشرفة .,كانت سعيدة للغاية لرؤية جو يبدأ بالصراخ.,contradiction
حتى لو كانت الطائرة محترقة ، فلماذا تحترق ، وستحترق من خلال عنصر الرصاص حتى يتسرب الإشعاع.,يمكن احتواء الإشعاع أثناء الحريق كذلك.,contradiction
حتى لو كانت الطائرة محترقة ، فلماذا تحترق ، وستحترق من خلال عنصر الرصاص حتى يتسرب الإشعاع.,سوف يتسرب الإشعاع من عنصر الرصاص بعد حرق الطائرة.,entailment
حتى لو كانت الطائرة محترقة ، فلماذا تحترق ، وستحترق من خلال عنصر الرصاص حتى يتسرب الإشعاع.,الإشعاع لن يتسرب أثناء الحريق.,"الفرضية: الإشعاع لن يتسرب أثناء الحريق.

تتناقض الفرضية مع المقدمة لأن المقدمة تذكر أن الإشعاع سيتسرب نتيجة احتراق الطائرة.

الإجابة: contradiction"
هذا هو رئيس الرقيب كليم فرانسيس ، متقاعد من القوات الجوية الأمريكية.,استقال الرئيس من القوات الجوية الأمريكية.,entailment
هذا هو رئيس الرقيب كليم فرانسيس ، متقاعد من القوات الجوية الأمريكية.,تقاعد الرئيس مؤخرا وذلك منذ بضعة أسابيع.,neutral
هذا هو رئيس الرقيب كليم فرانسيس ، متقاعد من القوات الجوية الأمريكية.,بدأ قائد سلاح الجو الأمريكي مسيرته المهنية هذا الأسبوع.,contradiction
حسنا حدث أن  طائرتين  أو ثلاثة ينبغي أن تصل خلال اسبوع ولم أعرف أين وجهتهما .,تصل أكثر من طائرة كل أسبوع.,neutral
حسنا حدث أن  طائرتين  أو ثلاثة ينبغي أن تصل خلال اسبوع ولم أعرف أين وجهتهما .,زيادة حركة الطائرات أمر مزعج.,neutral
حسنا حدث أن  طائرتين  أو ثلاثة ينبغي أن تصل خلال اسبوع ولم أعرف أين وجهتهما .,لا توجد أي طائرات قادمة.,contradiction
لقد تلقوا تدريبهم من قبل بملابس الضغط الكاملة واخذت مني وقتا إذا ارتديت بدلات الضغط الكاملة .,يستغرق الأمر مدة تصل إلى ثلاثة أشهر لاستكمال التدريب على استخدام البدلة المضغوطة كاملة.,neutral
لقد تلقوا تدريبهم من قبل بملابس الضغط الكاملة واخذت مني وقتا إذا ارتديت بدلات الضغط الكاملة .,التدرب لاستخدام بزة الضغط الكامل يحتاج إلى وقت.,entailment
لقد تلقوا تدريبهم من قبل بملابس الضغط الكاملة واخذت مني وقتا إذا ارتديت بدلات الضغط الكاملة .,يمكننا تدريبك على استخدام بدلة ضغط كاملة بحلول نهاية اليوم.,neutral
أريد أن أقول إنه لم يكن هناك أي خطر في الدخول في القنبلة لأنها لن تنفجر، بغض النظر عن مدى قوتها على الأرض.,وقد تم تعطيل القنبلة من قبل الطيار.,neutral
أريد أن أقول إنه لم يكن هناك أي خطر في الدخول في القنبلة لأنها لن تنفجر، بغض النظر عن مدى قوتها على الأرض.,لم يكن لدى القنبلة أي فرصة للانفجار.,entailment
أريد أن أقول إنه لم يكن هناك أي خطر في الدخول في القنبلة لأنها لن تنفجر، بغض النظر عن مدى قوتها على الأرض.,كان هناك خطر كبير من انفجار القنبلة.,contradiction
وما رأيك أن الأمر يبدو على نحو مماثل لما أحاول القيام به بالفعل.,لست متأكدًا مما يبدو لك هذا.,neutral
وما رأيك أن الأمر يبدو على نحو مماثل لما أحاول القيام به بالفعل.,من الواضح أنني أحاول القيام بذلك.,entailment
وما رأيك أن الأمر يبدو على نحو مماثل لما أحاول القيام به بالفعل.,أنا أحاول إنهاء مشروعي في الأسبوع القادم.,neutral
لكن على أية حال ، ستصبح الحيوانات طليقة طوال الوقت ، وخاصة الماعز .,هربت الماعز من الحظيرة كل يوم.,neutral
لكن على أية حال ، ستصبح الحيوانات طليقة طوال الوقت ، وخاصة الماعز .,هربت الماعز في كثير من الأحيان.,neutral
لكن على أية حال ، ستصبح الحيوانات طليقة طوال الوقت ، وخاصة الماعز .,تم الحفاظ على الماعز آمنة ومأمونة.,contradiction
تم قفل الأبواب عندما دخلنا.,كانت جميع الأبواب مفتوحة.,contradiction
تم قفل الأبواب عندما دخلنا.,نحن تلقّينا المفتاح مع نا.,neutral
تم قفل الأبواب عندما دخلنا.,ذهبنا على الرغم من أن الأبواب كانت مغلقة.,neutral
لذا، كان عليّ فقط أخذ المجاميع ومحاولة تصويرها من هذا القبيل.,أثق بأن الإجماليات هي كل ما أحتاجه للحصول على هذه النتيجة.,neutral
لذا، كان عليّ فقط أخذ المجاميع ومحاولة تصويرها من هذا القبيل.,ليس لدي أدنى فكرة عمّا ينبغي القيام به بالأرقام الإجمالية فقط، من فضلك أعطني المزيد من التفاصيل لحل هذه الورطة.,neutral
لذا، كان عليّ فقط أخذ المجاميع ومحاولة تصويرها من هذا القبيل.,سأقوم بحسابه على أساس المجاميع.,neutral
والكثير من هذا بسبب حقيقة أن الأمهات تتعاطى المخدرات,الأمهات هم مدمنو المخدرات.,entailment
والكثير من هذا بسبب حقيقة أن الأمهات تتعاطى المخدرات,ليس هناك أي وصفة أو أدوية من أجل الأمومة.,neutral
والكثير من هذا بسبب حقيقة أن الأمهات تتعاطى المخدرات,تتعاطى الأمهات المخدرات.,entailment
نعم في الواقع هذا رائع هل كانت تمطر,أنا لا أمانع المطر.,neutral
نعم في الواقع هذا رائع هل كانت تمطر,إنه جميل وممطر.,neutral
نعم في الواقع هذا رائع هل كانت تمطر,الأمر مرعب بوجود ضياء الشمس الذي لا ينتهي أبدا.,contradiction
أوه ما قيمة الحياة البشرية وما إذا كان بإمكانك إعادة تأهيل شخص ما أم لا,جميع الأرواح تستحق إعادة التأهيل والفرص الثانية.,contradiction
أوه ما قيمة الحياة البشرية وما إذا كان بإمكانك إعادة تأهيل شخص ما أم لا,لا يستحق أي إنسان إعادة تأهيله.,contradiction
أوه ما قيمة الحياة البشرية وما إذا كان بإمكانك إعادة تأهيل شخص ما أم لا,بغض النظر عن إعادة التأهيل ما الذي تساويه الحياة.,neutral
يا صبي  لديك مشكلة اسلاك غريبة هناك .,أنا لم أر هذا النوع من مشكلة الأسلاك من قبل.,neutral
يا صبي  لديك مشكلة اسلاك غريبة هناك .,الأسلاك ليست هي القضية.,contradiction
يا صبي  لديك مشكلة اسلاك غريبة هناك .,هناك مشكلة تسببها هذه الأسلاك الغريبة.,entailment
أصوات كثيرة ممتعة ،نعم  كان ذلك مدهشاً لي كم كم أشياء كثيرة كانوا يسمحوا بها.,أنا لم أتفاجأ على الإطلاق أنهم كانوا متساهلين.,contradiction
أصوات كثيرة ممتعة ،نعم  كان ذلك مدهشاً لي كم كم أشياء كثيرة كانوا يسمحوا بها.,أنا مندهش أنهم تركوك تدخل بالطعام والمشروبات هناك.,neutral
أصوات كثيرة ممتعة ،نعم  كان ذلك مدهشاً لي كم كم أشياء كثيرة كانوا يسمحوا بها.,انا متفاجئ  لما حصلو عليه مع .,neutral
أوه ولكن على أي حال على أي حال ممم أطفالي الآن واحد وعشرين واربعة وعشرين انا لا تضطر إلى,لا احتاج لأن أعمار أولادي تجاوزت العشرين,entailment
أوه ولكن على أي حال على أي حال ممم أطفالي الآن واحد وعشرين واربعة وعشرين انا لا تضطر إلى,قد أضطر إلى ذلك بما أنهم قريبون في العمر.,neutral
أوه ولكن على أي حال على أي حال ممم أطفالي الآن واحد وعشرين واربعة وعشرين انا لا تضطر إلى,يجب عليَٓ حيث أنهم في العاشرة والحادية عشرة من العمر.,contradiction
نعم قد تصادف في العمل في أي وقت بعض من هؤلاء الأشخاص الذي تتسم قراراتهم بالارتباك إذا كانوا بصدد اتخاذ أي منها.,أجل، يدعو الناس الذي أمكن لم يكون يمكن أن يجعل الحكم جيّد.,neutral
نعم قد تصادف في العمل في أي وقت بعض من هؤلاء الأشخاص الذي تتسم قراراتهم بالارتباك إذا كانوا بصدد اتخاذ أي منها.,أجل، الناس الذي أمكن لم يكون جائع.,neutral
نعم قد تصادف في العمل في أي وقت بعض من هؤلاء الأشخاص الذي تتسم قراراتهم بالارتباك إذا كانوا بصدد اتخاذ أي منها.,نعم ، الأشخاص الذين لا تنال أهليتهم قراراتهم أبداً.,contradiction
لا، لا يزالوا في جولة، فهم يتجولون منذ أواخر الستينات,يتجولون منذ ما قبل عام 1970.,'entailment'
لا، لا يزالوا في جولة، فهم يتجولون منذ أواخر الستينات,يحبون التجوال.,neutral
لا، لا يزالوا في جولة، فهم يتجولون منذ أواخر الستينات,أنها انتهت مؤخرا جولتهم.,contradiction
كيف تفعل التمارين الرياضية,هل يمكنك شرح كيفية أداء التمارين الرياضية؟,neutral
كيف تفعل التمارين الرياضية,أنا مهتم بالتمارين الرياضية لأنني بحاجة إلى بعض النشاط القلبي الوعائي.,neutral
كيف تفعل التمارين الرياضية,يرجى التوقف عن الحديث عن التمارين الرياضية.,contradiction
حسنًا هذا شيء جيد، أنا لم أفكر في هذا، نعم,تلك فكرة غير ذي جدوى نبذتها الأسبوع الماضي.,contradiction
حسنًا هذا شيء جيد، أنا لم أفكر في هذا، نعم,هذه نقطة جيدة,entailment
حسنًا هذا شيء جيد، أنا لم أفكر في هذا، نعم,المفارقة التي ذكرتها هي نقطة جيدة.,neutral
الرعاية اليومية يومين في الأسبوع يسمونها رعاية كبار السن  ولكنها تذهب إلى مركز كبار السن,الرعاية اليومية متاحة كل يوم للأطفال دون سن الخامسة فقط.,contradiction
الرعاية اليومية يومين في الأسبوع يسمونها رعاية كبار السن  ولكنها تذهب إلى مركز كبار السن,يسمحون لهم بالذهاب أكثر من مرتين في الأسبوع إذا كان كبار السن قادرين على ذلك.,neutral
الرعاية اليومية يومين في الأسبوع يسمونها رعاية كبار السن  ولكنها تذهب إلى مركز كبار السن,إنهم يسمونه دار رعاية للمسنين ولكن اسمه مركز المسنين.,entailment
كان هذا هدفهم اه,هذا هو ما كانوا يكافحون من أجله.,entailment
كان هذا هدفهم اه,هذا لم يكن أبدًا ما يريدون.,contradiction
كان هذا هدفهم اه,حققوا هدفهم.,neutral
السيطرة على السلاح يعني استخدام اليدين,نصف إجمالي عمليات إطلاق النار العشوائي تنتج عن الاستخدام الفردي.,neutral
السيطرة على السلاح يعني استخدام اليدين,أفضل الطرق للتحكم في السلاح هي استخدام كلا القدمين.,contradiction
السيطرة على السلاح يعني استخدام اليدين,استخدم كلتا اليدين إذا كنت ترغب في ممارسة السيطرة على السلاح.,entailment
و أه لكن جاءت فجأة من مكان ما لا أعرف من أين جاءت لكن,لا أعلم من أين تأتي لكنها سريعة.,neutral
و أه لكن جاءت فجأة من مكان ما لا أعرف من أين جاءت لكن,هو يأتي بسرعة لكنني أعرف من أين أتى.,contradiction
و أه لكن جاءت فجأة من مكان ما لا أعرف من أين جاءت لكن,يأتي كدبس السكر أو العسل الأسود وأعلم تمامًا متي سيأتي.,contradiction
لا في الواقع أن حتى غير معتاد عليها لا أعتقد,لا أعلم الكثير عن ذلك.,neutral
لا في الواقع أن حتى غير معتاد عليها لا أعتقد,أنني جاهل في أمور الحب.,neutral
لا في الواقع أن حتى غير معتاد عليها لا أعتقد,لقد كنت أدرسها لسنوات.,contradiction
نعم كانت رائعة تعرفها,أظن أنها تعلم أنها كانت رائعة.,neutral
نعم كانت رائعة تعرفها,لا إنها كانت فظيعة,contradiction
نعم كانت رائعة تعرفها,نعم لقد كانت جيدة للغاية.,entailment
نعم اقترح مجرد الحصول على أه أم أم ممسحة مثلما كنت تستخدم,اقتَرح شراء مكنسة كهربائية.,neutral
نعم اقترح مجرد الحصول على أه أم أم ممسحة مثلما كنت تستخدم,اقترح البحث عن ممسحة.,entailment
نعم اقترح مجرد الحصول على أه أم أم ممسحة مثلما كنت تستخدم,لقد أراد تنظيف الدم بممسحة.,neutral
حقا الأمر سيئ هنا، كان لدينا فقط اطلاق النار على الطريق السريع حوالي ثلاث بنايات من منزلنا,كان إطلاق النار على بعد 100 ميل على الأقل من المكان الذي أعيش فيه.,contradiction
حقا الأمر سيئ هنا، كان لدينا فقط اطلاق النار على الطريق السريع حوالي ثلاث بنايات من منزلنا,كان إطلاق النار قريبًا من منزلي، وهذا يجعلني خائفًا من الخروج.,entailment
حقا الأمر سيئ هنا، كان لدينا فقط اطلاق النار على الطريق السريع حوالي ثلاث بنايات من منزلنا,كان هناك إطلاق نار بالقرب من منزلي، وهذا ليس جيدًا في هذه المنطقة.,entailment
آه، هذا صحيح، إنه حقًا ليس متسق,أنا أختلف معك، إنه مٌتسق للغاية.,contradiction
آه، هذا صحيح، إنه حقًا ليس متسق,أعتقد أنك قد تكون صحيحًا بشأن اتساقها.,contradiction
آه، هذا صحيح، إنه حقًا ليس متسق,أنت على صواب بأنها غير متسقة.,entailment
أحاول أن أتشبث هناك,أنا أحاول الإنتظار / التشبث / الإنتحار شنقاً / المثابرة.,neutral
أحاول أن أتشبث هناك,حقًا، أفعل ما بوسعي.,neutral
أحاول أن أتشبث هناك,سوف أترك ولن أنظر إلى الوراء.,contradiction
نعبر بوابة دخولنا إلى المستقبل التكنولوجي.,نحن نبني أجهزة إنذار مبكر، وهي ضرورية لمستقبل التكنولوجيا.,neutral
نعبر بوابة دخولنا إلى المستقبل التكنولوجي.,نحن نبني ترانزيستورات ، لذا فإن مستقبلنا ستديره منظمة العفو الدولية.,neutral
نعبر بوابة دخولنا إلى المستقبل التكنولوجي.,نريد منع التكنولوجيا من النجاح.,contradiction
على سبيل المثال بأقصى حد تتحول جميع الجينات للون الأرجواني.,في الحد الأقصى ، يمكن أن يتحول نصف الجينات فقط إلى اللون الأرجواني.,contradiction
على سبيل المثال بأقصى حد تتحول جميع الجينات للون الأرجواني.,من الممكن للجينات أن تغير اللون .,entailment
على سبيل المثال بأقصى حد تتحول جميع الجينات للون الأرجواني.,في بعض الأحيان، يمكن للجينات أن تتحول إلى اللون الأزرق.,contradiction
دانيال يامينز هو عالم رياضيات شاب لامع.,السيد يامينس رائع في الرياضيات.,entailment
دانيال يامينز هو عالم رياضيات شاب لامع.,يركز السيد يامينز على الهندسة الجبرية.,neutral
دانيال يامينز هو عالم رياضيات شاب لامع.,السيد يامينس هو فنان عظيم ، لكنه أيضاً عالم رياضيات رهيب.,contradiction
وإذا كان الأمر كذلك، فهل غالبًا ما يكونون بالقرب من تلك الحدود؟,أعرف أنهم لا يسافرون أبداً بالقرب من الحدود.,contradiction
وإذا كان الأمر كذلك، فهل غالبًا ما يكونون بالقرب من تلك الحدود؟,أريد أن أعرف ، هل هم في إنجلترا؟,neutral
وإذا كان الأمر كذلك، فهل غالبًا ما يكونون بالقرب من تلك الحدود؟,أراد المتحدث توضيحًا حول عدد المرات التي اقتربوا فيها من الحدود.,neutral
وهناك، على ما أظن، فكرة جزيئية أن المحيط الحيوي يبني نفسه باستمرار في نظام قابل للبقاء من أجل نشر مجموعة من الأنساب.,المحيط الحيوي يتغير كثيرا.,neutral
وهناك، على ما أظن، فكرة جزيئية أن المحيط الحيوي يبني نفسه باستمرار في نظام قابل للبقاء من أجل نشر مجموعة من الأنساب.,يتغير المحيط الحيوي وفقاً لدرجة الحرارة.,neutral
وهناك، على ما أظن، فكرة جزيئية أن المحيط الحيوي يبني نفسه باستمرار في نظام قابل للبقاء من أجل نشر مجموعة من الأنساب.,المحيط الحيوي لا يتغير أبداً.,contradiction
بهذه القفزة لا يمكن للبلورة العادية تشفير قدر كبير من المعلومات.,البلورات العادية هي وسيلة لتخزين معلومات عالية الكثافة.,contradiction
بهذه القفزة لا يمكن للبلورة العادية تشفير قدر كبير من المعلومات.,البلورات العادية ليست مفيدة جدا لتشفير المعلومات.,entailment
بهذه القفزة لا يمكن للبلورة العادية تشفير قدر كبير من المعلومات.,هناك أنواع أخرى من البلورات المفيدة جدًا لتشفير المعلومات الجغرافية باستخدام أشعة الليزر.,neutral
وبالتالي، لا يحتاج البالغون إلى تعليم الأطفال في مرحلة ما قبل المدرسة التظاهر، حيث إنهم أحيانًا يفعلون ذلك عندما يساعدوهم في إتقان الألغاز أو المهام المماثلة الأخرى.,الأطفال دون سنّ المدرسة أكثر براعة في حل الألغاز عنهم في ممارسة ألعاب التظاهر.,neutral
وبالتالي، لا يحتاج البالغون إلى تعليم الأطفال في مرحلة ما قبل المدرسة التظاهر، حيث إنهم أحيانًا يفعلون ذلك عندما يساعدوهم في إتقان الألغاز أو المهام المماثلة الأخرى.,لا يحتاج الأطفال في مرحلة ما قبل المدرسة إلى الكثير من المساعدة في تعلم كيفية التظاهر.,neutral
وبالتالي، لا يحتاج البالغون إلى تعليم الأطفال في مرحلة ما قبل المدرسة التظاهر، حيث إنهم أحيانًا يفعلون ذلك عندما يساعدوهم في إتقان الألغاز أو المهام المماثلة الأخرى.,أطفال مرحلة ما قبل الدراسة يفتقدون لمهارات النمذجة المكانية لإتقان الأحجيات بنفسهم.,entailment
عاشت هذه الأمة [بالحرية] وتكرست للقول بأن جميع البشر خلقوا متساوون.,تم تسجيل الملاحظات عن هذا الاقتراح في عدة وثائق إضافية.,neutral
عاشت هذه الأمة [بالحرية] وتكرست للقول بأن جميع البشر خلقوا متساوون.,يعتقد بعض الناس أن كل الناس متساوون.,neutral
عاشت هذه الأمة [بالحرية] وتكرست للقول بأن جميع البشر خلقوا متساوون.,تأسست هذه الأمة على الاعتقاد بأن بعض الناس أفضل بفطرتهم من الآخرين.,contradiction
أيجب أن أمدحه أكثر؟,أنا إلى حدّ ما يوقن أنا يحتاج أن يضربه لإخفاقه.,neutral
أيجب أن أمدحه أكثر؟,أتساءل إذا كان بحاجة إلى المزيد من التقدير مني.,entailment
أيجب أن أمدحه أكثر؟,هل يجب أن أشيد بشكل أكبر بأدائه على البيانو؟,neutral
يمكن بناء نظريات الشبكات المغزلية في أبعاد مختلفة.,أبعاد أخرى يمكن استخدامها لبناء نظريات الشبكة الدوارة.,entailment
يمكن بناء نظريات الشبكات المغزلية في أبعاد مختلفة.,شبكات التدوير مفيدة للغاية لتكنولوجيات تخزين البيانات.,neutral
يمكن بناء نظريات الشبكات المغزلية في أبعاد مختلفة.,لا يمكن تصور الشبكات الدوارة بأبعاد مختلفة.,contradiction
(بقلق شديد )  لا ، لا ، أنا لا أريدك أن تموت .,لا أريدك أن تموت!,entailment
(بقلق شديد )  لا ، لا ، أنا لا أريدك أن تموت .,لا اهتم إذا مت!,contradiction
(بقلق شديد )  لا ، لا ، أنا لا أريدك أن تموت .,سأكون مستاءً جدًا إذا مُتَ!,entailment
تم إعدامه شنقًا علانية في 19 مارس 1875، في سان خوسيه، كاليفورنيا.,كانت كاليفورنيا تقوم بعمليات الإعدام العامة منذ عام 1875.,entailment
تم إعدامه شنقًا علانية في 19 مارس 1875، في سان خوسيه، كاليفورنيا.,تمت تبرئته من كل ما ارتكبه من أخطاء وإطلاق سراحه.,contradiction
تم إعدامه شنقًا علانية في 19 مارس 1875، في سان خوسيه، كاليفورنيا.,شُنِق بسبب التحريض وسرقة الأحصنة.,neutral
في النظام الفوضوي ، يتوغل البحر الأخضر المتلألئ.,كان البحر أزرق عميق وناعم مثل الزجاج.,contradiction
في النظام الفوضوي ، يتوغل البحر الأخضر المتلألئ.,كان البحر مليئًا بأسماك صغيرة تنكسر على القارب.,neutral
في النظام الفوضوي ، يتوغل البحر الأخضر المتلألئ.,كان البحر أخضرًا وبدا كأنه فقاعة.,entailment
كان هناك نظام قانوني جديد تمامًا يتوق للعمل بطريقة واضحة من الاضطرابات التي حدثت في ستينيات القرن التاسع عشر.,بحلول سبعينات القرن التاسع عشر إنهار النظام القانوني وكانت البلاد في حالة فوضى تامة.,contradiction
كان هناك نظام قانوني جديد تمامًا يتوق للعمل بطريقة واضحة من الاضطرابات التي حدثت في ستينيات القرن التاسع عشر.,كانت ستينات القرن الثامن أوقاتا مضطربة.,'entailment'
كان هناك نظام قانوني جديد تمامًا يتوق للعمل بطريقة واضحة من الاضطرابات التي حدثت في ستينيات القرن التاسع عشر.,أراد النظام القانوني الجديد توسيع حقوق العمال.,neutral
وأشار إلى أن أي شكل من أشكال التفكير العليا تظهر في التواصل الاجتماعي ، بين الطفل وممثلي ثقافته أثناء قيامهم بنشاط مشترك.,الأطفال غير قادرين على مشاركة أشكال أعلى من التفكير.,contradiction
وأشار إلى أن أي شكل من أشكال التفكير العليا تظهر في التواصل الاجتماعي ، بين الطفل وممثلي ثقافته أثناء قيامهم بنشاط مشترك.,يعد الصيد من أكثر الأنشطة شهرة المشتركة بين العديد من الثقافات المختلفة.,neutral
وأشار إلى أن أي شكل من أشكال التفكير العليا تظهر في التواصل الاجتماعي ، بين الطفل وممثلي ثقافته أثناء قيامهم بنشاط مشترك.,أحيانًا تكون مشاركة الأنشطة الشائعة مفيدة في مشاركة الأفكار العالية المستوى.,entailment
بعض الجيران كان لديهم روح الريزيردوس أو الريزاردس أو روح القادة الذين قادوا المجتمع في الصلاة على الجنازات في الاحتفال بيوم القديس وكلما غاب القس.,لم يكن لدى الأحياء أي قادة روحيين غير الكهنة.,contradiction
بعض الجيران كان لديهم روح الريزيردوس أو الريزاردس أو روح القادة الذين قادوا المجتمع في الصلاة على الجنازات في الاحتفال بيوم القديس وكلما غاب القس.,كان في بعض الأحياء قادة روحيين ولكنهم لم يكونوا كهنة.,entailment
بعض الجيران كان لديهم روح الريزيردوس أو الريزاردس أو روح القادة الذين قادوا المجتمع في الصلاة على الجنازات في الاحتفال بيوم القديس وكلما غاب القس.,بعض من القادة الروحانيين كان لديهم شعر أسود.,neutral
في المسرحية الاجتماعي كذلك، فإن فرص العمل والتنسيق بين الأدوار المختلفة ربما تساعد الأطفال على فهم أوجه التشابه والاختلاف بين الناس في الرغبات والمعتقدات والمشاعر.,يستطيع الأطفال تعلم أوجه التشابه والاختلاف بين الناس.,entailment
في المسرحية الاجتماعي كذلك، فإن فرص العمل والتنسيق بين الأدوار المختلفة ربما تساعد الأطفال على فهم أوجه التشابه والاختلاف بين الناس في الرغبات والمعتقدات والمشاعر.,يمكن للأطفال رؤية كيف تختلف الأجناس المختلفة.,neutral
في المسرحية الاجتماعي كذلك، فإن فرص العمل والتنسيق بين الأدوار المختلفة ربما تساعد الأطفال على فهم أوجه التشابه والاختلاف بين الناس في الرغبات والمعتقدات والمشاعر.,لا يستطيع الأطفال تعلم اى شئ .,contradiction
كانت أعلى فضيلة النظام الدستوري الألماني بعد الحرب ، ثم، أكبر ضحية للنظام النازي.,سمح النظام النازي بذلك.,contradiction
