question,gpt_answer
حسب القطعة، إيه النصيحة اللي مش مظبوطة في طرق العزف على الأكورديون؟,1
لما تيجي تعزف على الأكورديون، إيه اللي ممكن يساعدك في رفع الصوت؟,1
ليه الصور مالهاش حواف على التلفزيون؟,2
حسب القطعة، إيه المشاكل اللي ممكن تقابلك وأنت بتحول فيلم لصيغة دي في دي؟,2
الحامية البريطانية كانت موجودة فين؟,2
مين اللي توقيعه موجود على المسودة المكتوبة يدوي؟,4
من بين الأماكن دي، إيه هو آخر مكان وصلت له نشرات دنلاب؟,3
قوات العقيد ستارك كانت متمركزة فين؟,1
حسب القطعة، رجالة ستارك نصبوا السور إمتى؟,1
حسب القطعة، أي عصر من العصور دي كان أكتر عنف في الصين؟,4
حسب القطعة، إيه اللي بيعتبر صح عن دخول مستعمرة النمل العسكري لحالة البدو؟,2
حسب القطعة، أي جملة بتوصف بالظبط عادات مستعمرات النمل العسكري في المرحلة البدوية؟,3
إيه من الحاجات دي مستمر مع وجود مؤثرات خارجية؟,3
إيه هو الوصف الصح للناس اللي عندهم اختلاف في سمة ظاهرية معينة؟,4
إيه هو المصطلح الصح لوصف الكائنات الحية اللي موجودة في مكان واحد؟,2
من ضمن الاختيارات الموجودة إيه اللي مش بيعتبر مثال للسياحة الطبيعية؟,3
حسب القطعة، إيه هو أساس نظام النقل؟,2
إيه هو نوع الجسيم اللي بيلف حول النواة؟,3
إيه هي مكونات النواة؟,1
حسب القطعة، إيه من الأمثلة دي بيعتبر مثال لنظام العد الثنائي مكون من خمس أرقام؟,3
إيه هو الاسم التاني للأرقام في نظام العد الثنائي؟,1
إيه اللي ماتذكرش في القطعة كوسيلة أساسية لمدونات الطلبة؟,2
إيه من ضمن جوانب التدوين دي بيشار ليها كمحفز للطلاب لتحسين مهارتهم في الكتابة؟,2
إيه من الحاجات دي مش بيعتبر ميزة للاتصال غير المستقر للطلاب؟ ,2
حسب القطعة، أي من جوانب الاتصال غير المتزامن غير مرن للطلاب؟,2
إيه اللي مش مذكور في القطعة، على إنه ممكن ربطه بقلاع العصور الوسطى؟,1
إيه من الحاجات دي ماتذكرش في القطعة، كرائحة أو صوت ممكن الإحساس بيه بين آثار القلعة؟,3
إيه من الحاجات دي ممكن يبقى وصف تفصيلي لقلعة كيربي موكسلو؟,2
إيه من مميزات البناء دي ممكن تعتبر غير نموذجية لقلعة كيربي موكسلو خلال الفترة الزمنية المذكورة في القطعة؟,1
حسب القطعة، إيه اللي هيكون مفيد أكتر للعداءين اللي بيستعدوا للموسم الجاي؟,4
حسب القطعة، إيه الأهم بالنسبة لعداء نصف ميل من الدرجة الأولى؟,2
بالنسبة للرياضي، إيه من الحاجات دي مش ممكن يتحقق من التغذية لوحدها؟,3
حسب القطعة، مادة مش مقترحة كطريقة للرياضيين الشباب للاستمتاع أكتر في رياضتهم؟,2
حسب القطعة، ليه عداء المسافات المتوسطة بيشتري معدات غالية؟,4
حسب القطعة، إيه المطلوب عشان أجري لمسافات متوسطة؟,3
مين اللي اكتشف الرنين المغناطيسي النووي؟ ,3
في أي سنة اتمنحت أول براءة اختراع للتصوير الطبي بالرنين؟ ,2
حسب القطعة، إيه اللي لازم يكون عند الناس فهم قوي له عشان يفسروا الأفعال الجسدية اللي بيعملها الآخرين؟,2
حسب القطعة، فهم النية يساعد الناس على إيه؟,1
حسب القطعة، إيه من الملاحظات دي بيمثل تلخيص دقيق للغرض الرئيسي من الذكاء الاصطناعي؟,4
حسب القطعة، إيه من اللي بيتم ربطه غالباً بالذكاء الاصطناعي؟,3
حسب القطعة، إيه من الحاجات دي هي نقطة قوة الشخص اللي عنده أساليب تفكير متشابهة؟,4
حسب القطعة، إيه من الحاجات دي ماتعتبرش محور عقلية التفكير التقاربي؟,2
حسب القطعة، إيه من الحاجات دي ماتعتبرش تعبير دقيق؟,4
أي عبارة من العبارات دي عن التفسير الدقيق للتعبيرات غلط؟,3
إيه اللي بقى أهم كنتيجة للنهضة؟ ,2
نتيجة عصر النهضة، كان التركيز أقل على أيه من الحاجات دي؟,1
إيه الحاجة من الحاجات دي مش بتعبر عن دافع لاستخدام الإنترنت لمواصلة العلاقات؟,3
