question,gpt_answer
"지문에 따르면, 다음 중 소련과 미국 간의 관계에 영향을 미치지 않은 것은 무엇인가?",2
몸 전체에 신경 자극을 보내는 목적에 관한 다음의 설명 중 정확하지 않은 것은 무엇입니까?,1
기자 고원(Giza Plateau)에서는 무엇을 볼 수 있는가?,1
대 피라미드의 목적은 무엇이었는가?,2
신전을 파괴한 방화범에 대한 우리의 지식에 책임이 있는 사람은 누구입니까?,3
아르테미스 신전의 재건에 관한 다음의 설명 중 정확한 것은 무엇입니까?,2
"지문에 따르면, 두 발로 걸었을 가능성이 있는 최초의 종은 언제 나타났는가?",1
다음 중 일반적으로 두 발로 걸은 종은 무엇인가?,2
제2차 세계 대전 당시 독일 해군은 무엇을 달성하려고 했습니까?,2
"지문에 나오는 정보에 따르면, 북대서양 캠페인 기간 동안 해전에서 가장 큰 성공을 나라는 어디입니까?",1
아시리아가 기병대를 사용했을 때 존재하지 않았던 것은 무엇인가?,1
기병대를 활용한 전투는 어떻게 진행되는가?,3
"지문에 따르면, 다음 중 보통의 바빌로니아인이 하지 않은 일은 무엇입니까?",4
다음 중 제사장에게만 주어지는 것은 무엇입니까?,2
투탕카멘왕(King Tutankhamun)은 언제부터 악명을 얻었습니까?,3
투탕카멘왕(King Tutankhamun)이 유명한 이집트 왕이 된 이유는 무엇입니까?,1
그리스 시인 호머는 무엇을 할 수 없었는가?,2
문학 이외의 것으로 알려진 그리스의 위인은 누구인가?,3
히브리 가족은 대부분의 시간을 어디에서 보냈는가?,1
다음 중 히브리 가족에게 그다지 중요하지 않은 것은 무엇인가?,3
다음 중 스칸디나비아 국가 간의 차이점으로 설명되지 않은 것은 무엇인가?,2
그린란드에는 누가 가장 먼저 정착했는가?,1
다음 중 의자 없이 식사하는 것을 선호하는 그룹은 어느 그룹인가?,3
다음 중 고대 로마 연회의 일부가 아닌 것은 무엇인가?,4
"지문에 따르면, 다음 중 지속적인 영향을 미치지 않는 것은 무엇인가?",2
"지문에 따르면, 다음 중 국가에 선행하는 것은 무엇인가?",3
드룩갈종(Drukgyal Dzong)에 관한 다음 설명 중 사실이 아닌 것은 무엇입니까?,1
다음 중 드룩갈종(Drukgyal Dzong)에서 발생한 화재의 결과를 정확하게 설명한 것은 무엇입니까?,3
캄보디아에 대한 다음의 설명 중 옳은 것은 무엇입니까?,4
다음 중 캄보디아의 침략을 정확하게 설명한 것은 무엇입니까?,4
다음 중 네덜란드 동인도 회사가 대만에서 활동하는 동안 하지 않은 것은 무엇인가?,4
시모노세키 조약은 어떤 내용을 담고 있는가?,4
화학물질의 pH 농도는 어떻게 측정하는가?,3
수소 이온에서 무엇이 제거되는가?,4
사자 무리에 대한 다음의 설명 중 옳지 않은 것은 무엇입니까?,3
다음 중 사자의 행동을 정확하게 묘사하지 않은 것은 무엇입니까?,4
토끼는 어떤 종류의 포식자에게 흔한 먹이입니까?,3
소형 고양이과가 일반적으로 사냥하는 것은 다음 중 무엇입니까?,1
다음 중 오셀롯의 사냥 방법이 아닌 것은 무엇입니까?,4
오셀롯에 대한 다음의 설명 중 옳지 않은 것은 무엇입니까?,3
다음 중 호랑이의 가장 큰 장점으로 볼 수 없는 것은 무엇입니까?,1
"지문에 따르면, 다음 중 호랑이와 사자의 차이점은 무엇입니까?",2
"지문에 따르면, 로버트 후크(Robert Hooke)가 다른 생물학자들보다 먼저 한 일은 무엇인가?",1
세포라는 단어의 어원은 무엇인가?,2
"지문에 따르면, 대부분의 동물은 어떤 능력을 가지고 있습니까?",2
"지문에 따르면, 일부 동물에게 없는 것은 무엇입니까?",3
광합성 과정에서 식물을 돕는 것은 무엇입니까?,4
식물은 흡수하고 사람은 내뿜는 것은 무엇입니까?,4
"지문에 따르면, 다음 중 진화의 과정을 방해할 수 있는 예는 무엇입니까?",1
종 분화(speciation) 과정에 관한 다음의 설명 중 옳지 않은 것은 무엇입니까?,1
순환계에서 혈액을 심장 쪽으로 보내는 부위는 어디입니까?,4
다음 중 순환계에서 가장 작은 관은 무엇입니까?,1
곤충이 날개를 뒤로 접는 능력이 증가하면 다음 중 무엇이 증가합니까?,2
다음 중 지문에서 곤충의 비행 능력에 영향을 받는 것으로 언급되지 않은 것은 무엇입니까?,2
다음 중 일반적으로 공룡과 관련이 없는 특징은 무엇입니까?,2
다음 중 일반적으로 새와 공룡의 공통된 특성이 아닌 것은 무엇입니까?,3
"지문에 따르면, 트리케라톱스는 소철 식물의 어느 부분을 먹었을 가능성이 있는가?",2
"지문에 따르면, 다음 중 트리케라톱스가 가장 좋아하는 것은 무엇인가? ",2
"지문에 따르면, 다음 중 이탈리아 최북단 지역에서 널리 인기가 있는 스포츠는 무엇인가?",3
"지문에 나온 정보를 볼 때, 다음 중 이탈리아가 세계 선수권 대회에서 우승한 스포츠는 어느 것인가?",1
룩셈부르크의 특정 지역이 벨기에령이 된 것은 어떤 사건 이후입니까?,2
다음 중 룩셈부르크의 중립성에 영향을 미친 것은 무엇입니까?,1
터키의 전체 면적 중 유럽은 몇 평방킬로미터입니까?,4
"지문에 따르면, 터키의 길이는 대략 몇 마일입니까?",1
바티칸 시국에서 라틴어는 무엇에 사용됩니까?,1
바티칸 시국에서 이탈리아어는 무엇에 사용되지 않습니까?,3
"지문에 따르면, 정교한 컴퓨터에서 사운드 믹싱을 하면 다음 중 어떤 분야에 이점이 있습니까?",1
"지문에 따르면, 대부분의 가정에 수세식 화장실이 있는 곳은 다음 중 어디입니까?",1
다음 중 고급 하수도 시스템이 발견된 곳은 어디입니까?,1
다음 중 스케이터가 회전하는 원리는 무엇인가?,1
"지문에 따르면, 다음 중 현대식 빙상 스케이트의 칼날 구멍에 대한 정확한 설명은 무엇인가?",3
"지문에 따르면, 원자가 빛으로부터 여분의 에너지를 제거할 수 있는 과정은 무엇인가?",4
원자가 광자를 방출하는 원인은 무엇인가?,2
"지문에 따르면, 전구가 결국 작동을 멈추는 원인은 무엇인가?",3
다음 중 전구를 교체할 때 만지면 위험할 수 있는 것은 무엇인가?,3
"지문에 따르면, 핵이 분리되면 어떻게 되는가?",2
다음 중 장거리 통화를 지구로 반사하는 것은 무엇인가?,2
다음 중 망원경을 우주로 보내는 데 사용되는 것은 무엇인가?,2
시간의 경과를 추적하려면 반복적인 사건의 무엇에 주목해야 합니까?,2
"지문에 따르면, 사건의 어떤 측면을 비교하는 데 시간이 사용됩니까?",1
"지문에 따르면, 다음 중 왕위 계승자에게 전형적인 것으로 여겨지는 것은 무엇입니까?",2
"이 지문에 나온 정보에 따르면, 찰스가 가장 먼저 한 일은 무엇입니까?",4
트리그바손의 함대는 어느 나라에서 왔습니까?,4
독일이 역사상 에스토니아에 강력한 문화적 영향력을 행사한 시기는 언제입니까?,3
에스토니아어는 무엇의 영향을 받았습니까?,2
"지문에 따르면, 힌디어 원어민의 수는 어떤 요인에 따라 변동합니까?",1
다음 중 힌디어와 우르두어에 대한 옳은 설명은 무엇입니까?,2
한글 자모에 관한 다음 설명 중 옳지 않은 것은 무엇입니까?,2
훈민정음은 결국 무엇으로 바뀌었습니까?,2
"지문에 따르면, 산스크리트어의 영향을 받은 언어는 무엇입니까?",4
"지문에 따르면, 산스크리트어 사용이 줄어든 이유는 무엇입니까?",4
이오(Io)의 중력에 관한 다음 설명 중 옳은 것은 무엇입니까?,4
달의 바깥층에 관한 다음 설명 중 정확한 것은 무엇인가?,3
"지문에 따르면, 달의 지각이 가장 두꺼운 곳은 어디인가?",3
지문에 따르면 다음 중 특정인들의 믿음은 무엇입니까?,3
태양 중심에서 멀어질수록 얇아지는 것은 무엇인가?,3
"지문에 따르면, 지구에서는 태양의 어느 부분이 보이는가?",3
다음 중 코페르니쿠스 이론을 확인하는 데 도움이 된 관측은 무엇인가?,1
다음 중 갈릴레오 갈릴레이가 1610년에 관측한 것은 무엇인가?,2
"지문에 따르면, 아마존 강의 물은 어디에서 흘러오는가?",1
다음 중 아마존 강에 해당하지 않는 사항은 무엇인가?,3
지문에 언급된 직업 중 베네수엘라인을 가장 적게 고용하는 분야는 무엇인가?,1
"지문에 따르면, 가장 많은 수의 베네수엘라인을 고용하고 있는 분야는 다음 중 무엇인가?",1
"지문에 따르면, 별은 핵융합을 통해 무엇을 할 수 있는가?",3
다음 중 유용한 핵 융합로가 생성하는 것은 무엇인가?,4
물은 화학적으로 어떤 원자로 구성되어 있는가?,4
물의 형태가 바뀌어도 그대로 유지되는 것은 무엇인가?,1
"지문에 따르면, 다음 중 13개 주에서 특정 법률을 시행할 때 문제가 되지 않았던 것은 무엇입니까?",1
"지문에 따르면, 다음 중 독립 전쟁 당시 중앙 정부의 상태에 관한 정확한 설명은 무엇입니까?",3
독립선언서 뒷면의 문구는 어떻게 쓰였습니까?,3
싱가포르는 다음 중 어떤 것으로 유명합니까?,1
반다 미스 자큄(Vanda Miss Joaquim)이란 무엇입니까?,2
"지문에 따르면, 신왕국 이집트인들이 감탄한 기자 피라미드의 특성이 아닌 것은 무엇입니까?",2
"지문에 따르면, 초식동물이 비를 따라 이동하는 곳은 어디입니까?",3
"지문에 따르면, 초식동물은 4월경에 어느 지역에서 출발합니까?",2
바다사자 작전은 다음 중 어느 나라를 침공하기 위한 것이었습니까?,2
독일은 영국에 대한 공격을 뭐라고 불렀습니까?,2
이탈리아의 아프리카 국가 점령 계획에서 필요한 단계로 언급되지 않은 것은 무엇인가?,2
"지문에 따르면, 이탈리아의 주요 전쟁 목표는 무엇이었는가?",1
침략자들에게 동조한 사람들은 누구인가?,2
드래군 작전에 참여한 연합군은 누구인가?,1
잠수함이 수중 잠수를 시작하게 된 것은 어떤 기술의 발전 덕분인가?,4
잠수함이 처음 사용되었을 때 어떤 부분에서 사용 범위가 제한적이었는가?,3
"지문에 따르면, 누가 조약을 위반했는가?",4
다음 중 적군이 수행하지 않은 것은 무엇인가?,3
이탈리아 제10군의 수석 엔지니어는 어떻게 되었습니까?,3
이탈로 발보는 어디에서 사망했습니까?,4
"지문에 따르면, 다음 중 티벳 명상에서 중요한 부분을 차지하는 기법은 무엇인가?",3
"""지문에 따르면, 티벳 명상의 """"중심""""에서 차크라는 어떻게 활성화되는가?""",2
프로그램이 진행되는 동안 누가 두 번째 헌정곡을 불렀는가?,4
"지문에 따르면, 음식을 바치는 동안 헌정곡을 부른 사람은 누구인가?",1
뒤에서 두 번째로 마지막이었던 공연은 저녁의 무엇이었는가?,1
Alessandro Safina의 국적은 어디인가?,4
"지문에 따르면, 다음의 설명 중 사실이 아닌 것은 무엇인가?",1
"지문에 따르면, 불편한 열기에 관해 언급한 사람은 누구인가?",2
쓰나미로 인해 정전이 발생한 곳은 어디입니까?,1
"지문에 따르면, 통가는 정전으로 인해 어떤 영향을 받았습니까?",4
경찰이 속도 측정기로 Jonny Reid의 주행 속도를 측정할 수 있었던 시점은 언제였는가?,1
"지문에 따르면, 뉴질랜드 경찰이 Jonny Reid의 속도를 측정하기 어려웠던 이유는 무엇인가?",2
뷰트에서 지진의 중심은 어디였습니까?,2
아부 그라이브 폭동 당시 어떤 일이 있었는가?,4
이라크 감옥이 악명을 떨치게 된 이유는 무엇인가? ,4
마우이 전쟁 기념 스타디움(Maui's War Memorial Stadium)에서는 어떤 종류의 이벤트가 개최되는가?,3
결국 행사 취소에 대한 해명은 누가 했는가?,2
비슈케크의 일부 주민들은 약탈의 책임이 누구에게 있다고 생각합니까?,3
