question,gpt_answer
Co podle této pasáže není považováno za přesný tip pro správnou hru na akordeon?,1
Co z následujících možností vám pomůže při hře na akordeon zvýšit hlasitost hry?,1
Proč mají záběry v televizi ořezané okraje?,2
"Se kterými z následujících problémů se podle této pasáže člověk může setkat, když převádí film na DVD formát?",2
Kde se tam nacházela britská posádka?,3
Čí podpis se objevil na ručně sepsaném konceptu?,4
Kam z následujících míst dorazily Dunlapovy výtisky jako poslední?,3
Kde se nacházely jednotky plukovníka Starka?,1
Kdy podle dané pasáže prodloužili Starkovi muži plot?,3
Které z následujících časových období v historii Číny bylo podle této pasáže jedním z nejvíce násilných?,4
Co je podle této pasáže pravdou o přechodu kolonie mravenců legionářů do kočovné fáze?,2
Které tvrzení podle dané pasáže přesně vykresluje hnízdní návyky kolonie mravenců legionářů během nomádské fáze?,3
Které z následujících budou pokračovat navzdory přítomnosti vnějších podnětů?,3
"Jaký termín popisuje osoby, které vykazují odchylky určitého fenotypu?",4
"Který z následujících termínů je ten správný pro organismy, které obývají určitou konkrétní oblast?",2
Která z následujících možností není příkladem turismu orientovaného na přírodu?,3
Co z následujících možností je podle této pasáže základem transportního systému?,2
"Jaký náboj mají částice, které obíhají jádro?",3
Z jakých částic se skládá jádro?,1
Které z následujících čísel je podle této pasáže příkladem pětibitového binárního čísla?,3
Jaký termín se také používá k označení binárních číslic?,1
Co z následujícího není v textu zmíněno jako primární výhoda studentského blogování?,2
"Který z následujících aspektů blogování je uveden jako motivační prvek pro studenty, jenž může zlepšit jejich schopnost psát?",3
Co z následujících není přínosem asynchronní komunikace pro studenty? ,2
Který z následujících aspektů asynchronní komunikace není podle úryvku pro studenty flexibilní?,4
"Co následující úryvek neuvádí jako něco, co by si člověk mohl asociovat se středověkými hrady?",4
"Co z následujícího není v této pasáži zmíněno jako pach či zvuk, který si lze vybavit uprostřed ruin hradu?",3
Co z následujících tvrzení je přesným popisem hradu Kirby Muxloe?,2
Které z následujících stavebních prvků jsou u hradu Kirby Muxloe považovány za atypické pro období popisované v této pasáži?,1
"Co z následujících možností má podle této pasáže největší přínos pro běžce, jenž se připravuje na nadcházející sezónu?",4
Co z následujícího je podle této pasáže nejdůležitější pro prvotřídního půlkaře?,2
Které z následujících možností nemůže sportovec dosáhnout pouze prostřednictvím stravy?,3
"Kterou z následujících možností tato pasáž neuvádí jako způsob, kterým mohou mladí sportovci dosáhnout lepšího pocitu ze svého sportu?",2
Proč by si podle této pasáže mohli běžci středních tratí chtít koupit cenově náročnější vybavení?,1
Co podle této pasáže vyžaduje běh na střední trati?,3
Kdo objevil nukleární magnetickou rezonanci? ,3
Ve kterém roce dostala magnetická rezonance první patent pro lékařské využití? ,2
"Čemu by podle této pasáže měl člověk velmi dobře rozumět, aby dokázal interpretovat fyzické jednání druhých lidí?",2
"V čem člověku podle této pasáže pomáhá, když zná záměr jednání?",1
Která z následujících možností je podle této pasáže přesným shrnutím hlavního účelu umělé inteligence (AI)?,4
S čím se podle této pasáže umělá inteligence spojuje nejčastěji?,3
Která z následujících možností je podle této pasáže silnou stránkou člověka s konvergentními vzorci myšlení?,4
Co z následujícího není dle tohoto textu považováno za těžiště konvergentních vzorců myšlení?,2
Kterou z následujících variant by podle této pasáže nebylo možné považovat za mikrosdělení?,4
Které z následujících tvrzení o interpretaci mikrosdělení není pravdivé?,1
Která z následujících schopností získala vlivem renesance na významu? ,3
Která ze schopností níže byla vlivem renesance upozaděna?,1
Co z následujícího neodráží motivaci používat internet k udržování pokračujícího zájmu?,3
Co z následujícího neodráží motivaci k používání internetu pro osobní angažovanost?,3
Kdy se západní Evropa přestala zcela spoléhat na cizí vlivy a začala rozvíjet vlastní styl?,1
V důsledku jakého období začali lidé používat zapínání oblečení na knoflíky? ,3
Které z následujících řešení problémů životního prostředí je podle této pasáže považováno za schůdné a dlouhodobé?,3
Které z následujících řešení by nebylo podle této pasáže považováno za symptomatickou „léčbu“ problémů životního prostředí?,2
"Ve které zemi se odehrála první válka v Evropě, která neměla náboženský kontext, ale jejímž ústředním problémem byla spíše rovnováha moci?",4
Která válka se někdy označuje jako poslední „náboženská válka“?,1
Který z následujících aspektů katolické církve se nestal cílem podrobného zkoumání?,2
Kdo byl podle této pasáže zavražděn ve Versailles?,4
K čemu z následujícího nebyli král a královna davem donuceni?,3
Co z následujícího nebylo výsledkem britské nekonvenční námořní válečné taktiky?,3
Které tvrzení nevystihuje přesně britskou námořní blokádu Německa?,4
U koho dle textu nejpravděpodobněji hrozí diagnóza roztroušené sklerózy?,1
Při čem dle pasáže vyžadovali pravidelní účastníci fyzické aktivity větší podporu?,1
Jak podle textu obvykle probíhá zápas v šermu?,4
Který z následujících symptomů či faktorů by podle textu byl nejsilnějším důkazem vnitřní otravy?,4
Jaký je podle této pasáže vhodný první krok při posuzování zraněného?,1
Které z následujících tvrzení neodráží dle textu přesně proces přistoupení ke zraněnému?,1
Jaké změny podnícené francouzskou revolucí měly významný dopad na občany z pracující třídy?,2
Na čem po francouzské revoluci záleželo méně pro dosažení úspěchu v armádě a jiných profesích?,2
Která veřejná služba údajně vyvolává v rozvinutých zemích největší nespokojenost?,3
Co lze podle této pasáže tvrdit o systémech veřejné dopravy?,3
Co z následujícího lze podle této pasáže obtížně zkoumat kvůli nepředvídatelnosti řidičů?,4
Co z následujícího se využívá při znázornění provozu matematicky?,4
Co používali Hershey a Chase k implantaci vlastní DNA? ,4
Na čem závisí schopnost mutace přenášet se na děti?,1
Na čem podle informací z této pasáže nezávisí různé účinky mutací?,1
Co z následujícího nebylo důvodem pro chov koz ve starověkých kulturách?,3
Cílem golfu je získat nejmenší množství určité veličiny. Které?,2
Kde na golfovém hřišti je tráva posekaná na nejnižší výšku?,2
Co je obvykle cílem experimentu?,1
Co podle této pasáže nepomáhá provádění vědeckého výzkumu?,1
Které tvrzení o tornádech není podle této pasáže pravdivé?,3
Které z následujících tvrzení podle této pasáže výstižně vystihuje většinu tornád?,4
Které z následujících aktivit se lidé začali v 16. století věnovat?,4
Jak dlouho již lidé dokážou zvětšovat objekty pomocí zvětšovacích čoček?,3
Jaký obraz o Mohamedových duchovních praktikách či hodnotách podle této pasáže podává Mohamedova jeskyně?,1
K čemu bylo podle této pasáže poprvé použito železo?,4
Proč byla podle této pasáže nahrazena dřevěná kola železnými koly?,4
Co podle této pasáže formovalo jednotlivce v období romantismu?,2
Který z následujících výroků neodráží obecnou myšlenku technologického determinismu? ,1
Co z následujícího nemá podle této pasáže spojitost s pohybem smyčcem směrem dolů?,1
Co z následujícího podle této pasáže souvisí s jemnějším zvukem?,3
Pro výkon které aktivity se podle dochovaných fosilií nakonec přizpůsobily ruce?,1
Které z následujících tvrzení přesně popisuje články prstů u šimpanze? ,3
Z kterého souboru odstraňuje selekce genetickou variaci?,4
Který proces má na svědomí přidání genetické variace?,3
"Co z následujícího by podle této pasáže měli jíst primáti, aby vyřešili „problém s bílkovinami“?",3
Který z následujících problémů není podle této pasáže způsoben nedostatkem esenciálních aminokyselin?,1
Jak členové subkultur často dávají najevo svůj blízký vztah ke skupině?,4
"Co by se podle této pasáže mohlo stát dítěti, které se identifikuje s rasovou menšinou, s níž je spojován stereotyp zastrašujícího chování?",2
Na co z následujícího může mít podle této pasáže vliv vnímání rasových stereotypů u dítěte?,2
Která z následujících možností pravděpodobně nebude podle této pasáže v souladu s výchovou „vlčího dítěte“?,2
Která z následujících možností podle této pasáže výstižně popisuje divoké chování u dětí?,2
Která z následujících praktik není podle tohoto úryvku v souladu se samozásobitelským zemědělstvím?,2
Která z následujících možností podle této pasáže přesně popisuje výkon samozásobitelského zemědělství?,4
Do jaké kategorie turistiky spadá návštěva muzea?,3
Co by podle této pasáže mohlo být prioritou pro rekreační turisty?,2
"Co je v pasáži zmíněno jako faktor, který pomohl zmírnit strach ze změn v místní církvi?",1
S čím může dle této pasáže pomoci pochopení vlastní historie?,3
Které z následujících tvrzení výstižně popisuje postmoderní přístup k učení?,4
Které z následujících tvrzení nevystihuje přesně postmoderní přístup k učení?,2
"Která z následujících možností by mohla narušit proces přerušení spánku poté, co se záměrně probudíme z normálního spánku?",1
Která z následujících možností přesně nevystihuje přerušení spánku?,4
"Co se zvyšuje, když se mozek pokouší častěji o lucidní snění?",4
Který z následujících negativních účinků na tělo může mít časté lucidní snění?,2
V čem jsou si podle této pasáže konvenční tým a virtuální tým podobné?,1
Které tvrzení týkající se fyzických a virtuálních týmů není podle této pasáže pravdivé?,1
Na co z následujícího se nezaměřují obsahové teorie?,1
Která z následujících možností není cílem pravidla třetin?,2
Která z následujících možností necharakterizuje 35mm formát fotografie?,3
"Jakým vylepšením prošly podle této pasáže objektivy s přiblížením s ohledem na to, jak výrobci objektivů zvyšují kvalitu produkce?",3
Kdy by na základě informací z textu bylo vhodné upřednostnit zoom objektiv před objektivem s pevnou ohniskovou vzdáleností?,1
Co z následujícího by nebylo považováno za výstižnou charakteristiku mysticismu?,4
Která z následujících možností není dle této pasáže předmětem zájmu mysticismu?,2
Kdo podle této pasáže nejspíše položil základy zemědělské společnosti?,3
"Jakou oblast podle této pasáže obývala skupina obyvatel, která lovila obří ptáky moa?",2
V jakém scénáři bude použití metody Pureland origami přínosem pro skládače?,4
Která z následujících možností není přesnou charakteristikou metody Pureland origami?,1
Která oblast nemá podle této pasáže spojitost s Kulturou údolí řeky Indus?,3
Který z následujících názvů není v tomto úryvku zmíněn jako možný název pro civilizaci z doby bronzové zmiňovanou v textu?,3
Která z následujících možností přináší podle této pasáže dlouhodobé výhody?,1
"Kterou z následujících možností může podle tohoto úryvku jedinec upřednostňovat, jestliže se zaměřuje na okamžité přínosy?",4
Kdo podle této pasáže uhradil velkou část válečných výdajů?,4
Které období předcházelo době templářů?,3
Které období následovalo po období templářů?,1
Který lékařský zákrok nebo postup není zmíněn coby metoda používaná lékaři v době Římské říše?,1
Která z následujících možností podle tohoto úryvku nepřispěla k pokrokům v oblasti lékařství v období Římské říše?,3
Na čem závisí schopnost vidět?,1
