question,gpt_answer
ብመሰረት እቲ ጽሑፍ፡ ነቲ ኣኮርዲዮን ብዕዉት መገዲ ንኽትጻወት ዘኽእለካ ቕኑዕ ምኽሪ ጌርካ ዘይርአ እንታይ እዩ?,2
ኣኮርዲዮን ክትጻወት ከለኻ፡ ካብዞም ዝስዕቡ ኣየኖት እዮም ነቲ ድምጺ ኸተዛይዶ ዝሕግዙኻ?,2
እቶም ኣብ ተለቪዥን ዝርኣዩ ስእልታት ስለምንታይ እዩ ወሰን ወሰኖም ዝቝረጽ?,2
ብመሰረት እቲ ጽሑፍ፡ ሓደ ሰብ ንፊልም ናብ ዲቪዲ ኪቕይሮ እንከሎ ካብዞም ዝስዕቡ ጸገማት ኣየናይ እዩ ከጋጥሞ ዝኽእል?,2
ናይ ብሪጣንያ መዓስከር ሰራዊት ኣበይ እዩ ነይሩ?,2
ኣብቲ ብኢድ እተጻሕፈ ንድፊ ናይ መን ፌርማ እዩ ተረኺቡ?,1
ካብዞም ዝስዕቡ ቦታታት፡ እቲ ዱንላፕ ቦርድሳይድ መወዳእታ ኣበይ በጺሑ ነይሩ?,2
ወተሃደራት ኮነሬል ስታርክ ኣበይ ቦታ ሒዞም ነይሮም?,1
ብመሰረት እቲ ጽሑፍ፡ ወተሃደራት ስታርክ ሓጹሮም ዘስፋሕፍሕዎ መዓስ እዩ ነይሩ?,1
ብመሰረት እቲ ጽሑፍ፡ ካብዞም ዝስዕቡ ሓደ ኻብቲ ኣብ ቻይና ዝነበረ ዓመጽ ዝመልኦ መዋእል ኣየናይ እዩ?,4
ብመሰረት እቲ ጽሑፍ፡ ብዛዕባ ናብ ሰበኽ ሳግም ደረጃ ዝኣትዉ ሰራዊት ጻጸ ሓቂ ኣየናይ እዩ?,4
ብመሰረት እቲ ጽሑፍ፡ ኣየናይ መግለጺ እዩ ነቲ ሰፈር ሰራዊት ጻጸ ኣብ እዋን ሰበኽ ሳግም ደረጃ ዝነበሮ ልምዲ ብልክዕ ዘንጸባርቕ?,1
ካብዞም ዝስዕቡ ግዳማዊ ምልክታትት እናሃለወ ኽነሱ ዝቕጽል ኣየናይ እዩ?,3
እተፈላለየ ክሱት ባህርያት ዘንጸባርቑ ውልቀ-ሰባት እትገልጽ ቃል አየነይቲ እያ?,4
ካብዞም ዝስዕቡ ነቶም ፍሉይ ቦታ ዝሕዙ ተህዋስያን እትገልጽ ትኽክለኛ ቃል ኣየነይቲ እያ?,3
