question,gpt_answer
ምንባቡን መሰረት በማድረግ አኮርዲዮንን በተሳካ ሁኔታ ለመጫወት ትክክለኛ ፍንጭ እንዳልሆነ የሚቆጠረው ምንድን ነው?,1
አኮርዲዮኑን ሲጫወቱ ከሚከተሉት ውስጥ ድምጽን ለመጨመር የሚያግዘው የትኛው ነው?,2
በቴሌቪዥን ላይ ያሉ ምስሎች ለምንድን ነው ጫፎቻቸው የሚቆረጠው?,2
በምንባቡ መሰረት አንድ ሰው ፊልምን ወደ ዲቪዲ ቅርጸት ሲለውጥ ከሚከተሉት ውስጥ የትኞቹ ችግሮች ሊገጥሙት ይችላሉ?,1
የብሪታኒያ ጠባቂ ጦሮች የት ነበር የሰፈሩት?,2
በእጅ በተጻፈው ረቂቅ ላይ የማን ፊርማ ነው የሚታየው?,4
ከሚከተሉት አካባቢዎች ውስጥ የዱንላፕ ብሮድ ሳይድ በመጨረሻ የመጣው የት ነበር?,3
የኮሎኔል ስታርክ ወታደሮች የት ነበር የሰፈሩት?,1
በምንባቡ መሰረት የስታርክ ወታደሮች አጥራቸውን ያሰፉት መቼ ነው?,3
በምንባቡ መሰረት ከሚከተሉት ውስጥ የቻይና በጣም ብጥብጥ የበዛበት ክፍለ ዘመን የትኛው ነበር?,4
በምንባቡ መሰረት የጉንዳን ሰራዊት ኮሎኒ ወደ የዘላን ምዕራፍ ሲገቡ እውነት የሆነው ምንድን ነው?,2
በምንባቡ መሰረት ስለጉንዳን ሰራዊት ኮሎኒ በዘላን ምዕራፍ ላይ ማረፊያ የመስራት ልማዶች በትክክል የሚገልጸው መግለጫ የትኛው ነው?,3
ከሚከተሉት ውስጥ ውጫዊ ምልክቶች ቢኖሩ እንኳን የሚቀጥለው የትኛው ነው?,3
በተወሰኑ ተፈጥሯዊ ባህሪ ላይ ተለዋዋጭነቶችን የሚሳዩ ግለሰቦችን የሚገልጸው የትኛው ስም ነው?,4
የሆነ የተወሰነ ቦታ ላይ ስለሚሰፍሩ ፍጥረታት ትክክለኛ መጠሪያ የሆነው የትኛው ነው?,2
ከሚከተሉት ውስጥ ተፈጥሮ-ተኮር የቱሪዝም እንቅስቃሴ ምሳሌ ያልሆነው የትኛው ነው?,3
በምንባቡ መሰረት የትራንስፖርት ስርዓት መሰረት የሆነው የትኛው ነው?,2
ኒውክለስን የሚዞሩ ፓርቲክሎች የትኛው የኃይል አይነት ነው ያላቸው?,1
ኒውክለስ የተዋቀረው ከየትኞቹ ፓርቲክሎች ነው?,1
በምንባቡ መሰረት የአምስት ቢት ባይነሪ ቁጥር ምሳሌ የሆነው የትኛው ነው?,3
ባይነሪ አሃዞች ሌላ ስምም አላቸው፣ ይህም?,1
ከሚከተሉት ውስጥ የተማሪ ጡመራ ዋነኛ ጥቅም ሆኖ በምንባቡ ውስጥ ያልተጠቀሰው የትኛው ነው?,2
ከሚከተሉት የጡመራ ክፍሎች ውስጥ ተማሪዎች የመጻፍ ችሎታቸውን ለማሻሻል እንደ መነሳሻ ሆኖ የተጠቀሰው የትኛው ነው?,3
ከሚከተሉት ውስጥ ለተማሪዎች በተላያየ ጊዜ የሚደረግ ንግግር ጥቅም ያልሆነው የትኛው ነው? ,2
በምንባቡ መሰረት ከሚከተሉት በተለያየ ጊዜ የሚደረግ ንግግር ክፍሎች ውስጥ ለተማሪዎች ምቹ ያልሆነው የትኛው ነው?,3
በምንባቡ ውስጥ ያልተጠቀሰ ግን አንድ ሰው እንደ መካከለኛ ዘመን ቤተ መንግስት አድርጎ ሊያዛምደው የሚችለው ነገር የቱ ነው?,3
ከሚከተሉት ውስጥ በቤተ መንግስቱ ፍርስራሾች ውስጥ ሊከሰት የሚችል ሽታ ወይም ድምጽ ሆኖ በምንባቡ ውስጥ ያልተጠቀሰው የትኛው ነው?,4
ከሚከተለው ውስጥ የኪርቢ ማክስሎይ ቤተ መንግስት ትክክለኛ ገለጻ የሆነው የትኛው ነው?,2
ከሚከተሉት የግንባታ ባህሪዎች ውስጥ በምንባቡ ውስጥ ለተገለጸው ክፍለ ጊዜ ለኪርቢ ማክስሎይ ቤተ መንግስት ያልተለመደ እንደሆነ የሚቆጠረው የትኛው ነው?,1
