question,gpt_answer
"Ngokwesicatshulwa, yintoni enakuthathwa njengengcebiso echanekileyo yokudlala iaccordion ngempumelelo?",2
"Xa udlala iaccordion, yeyiphi kwezi zilandelayo eya kunceda ukunyusa umthamo?",1
Kutheni imifanekiso kumabonakude enimda esikiweyo?,2
"Ngokwesicatshulwa, zeziphi iingxaki kwezi zlandelayo umntu onokuhlangabezana nazo xa eguqulela umdlalo bhabhanya kwifomathi yeDVD?",4
Wawuyimise phi inkampu umkhosi waseBritain?,2
Ngumtyikityo kabani owavela kwuxwebhu lokuqala olubhalwe ngesandla?,4
"Kwezi ndawo zilandelayo, izibhengezo zokuzimelazi zikaDunlop zafika phi ekugqibeleni?",3
Yayime phi imikhosi kaKholoneli uStark?,1
"Ngokwesicatshulwa, amadoda kaStarks alandisa nini icingo?",3
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo yaba lelinye lawona maxesha anobudlobongela eChina?",4
"Ngokwesicatshulwa, yintoni eyinyani ngekholoni yomkhosi weembovane engena kwixesha lokufuduka?",2
"Ngokwesicatshulwa, yeyiphi ingxelo ebonisa ngokuchanekileyo imikhwa yekholoni yomkhosi weembovane ngexesha lokufuduka?",1
Yeyiphi kwezi zilandelayo eza kuqhubeka nangona kukho iimpawu zangaphandle?,1
Leliphi igama elichaza abantu ababonisa iintlukwano zophawu olubonakalayo?,4
Yeyipha kwezi zilandelayo eligama elichanekileyo lezinto eziphilayo ezihlala kwindawo ethile?,2
Yeyiphi kwezi zilandelayo engai kuba ngumzekelo wento yokhenketho esekwe kwindalo?,3
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo esisiseko senkqubo yezothutho?",2
Amasuntswana ajikeleza umbindi anoluphi uhlobo lwecharge?,3
Umbindi wenziwe ngeyiphi imisuntswana?,1
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo engumzekelo five bit binary system?",1
Iibinary digits zikwabizwa ntoni?,1
Yeyiphi kwezi zilandelayo engakhankanywanga kwisicatshulwa njengenzuzo ephambili yokubhloga komfundi?,2
Yeyiphi imiba kule ilandelayo ngokubhloga ebekwe njengenkuthazo ukuze abafundi baphuchule ubuchule bokubhala?,2
Yeyiphi kwezi zilandelayo engeyiyo inzuzo yonxibelelwano oluphazamisekileyo kubafundi? ,2
"Ngokwesicatshulwa, yeyiphi imiba elandelayo yokulibaziseka konxibelelwano engatshintshatshintshiyo?",1
Yintoni engakhankanywanga kwisicatshulwa njengento umntu anokuyidibanisa neenqaba zeeminyaka ephakathi?,4
Yeyiphi kwezi zilandelayo engakhankanywanga kwisicatshulwa njengevumba okanye isandi esinokuvakaliswa phakathi? kwamabhodlo enqanaba?,3
