question,gpt_answer
Kes vastutasid rüüstamise eest paari Bishkeki elaniku meelest?,3
Kes süüdistasid rüüstamises lõunast pärit protestijaid?,1
Millal tabas Ringi suurenenud müük?,1
Millal otsustas Jamie Siminoff luua Ringi?,1
Mida soovitas iga „Reading Rainbow“ osa lastele?,4
Mis aitas kaasa „Reading Rainbow“ seeria lõpetamisele?,1
Mis argumenti Amsterdami ja muuseumi ametnikud puu osas ei kasutanud?,2
RSPCA peainspektori kohaselt peaksid inspektsioonid olema standardiks mille puhul?,4
"Vastavalt sellele lõigule, mis aitaks kindlustada loomade heaolu olulisust Austraalia tapamaja töötajate hulgas?",1
"Vastavalt sellele lõigule, mis ametit arreteeritud isik pidas?",1
"Vastavalt sellele lõigule, mitmele ohvrile korraldati järjekordse arreteerimise uudise levides matused?",2
Mis riik ei tulnud protestide tõttu ACTA lepinguga kaasa?,2
"Vastavalt sellele lõigule, mis riigid otsustasid ACTA-ga ühinemise protsessist loobuda?",4
Mitu inimest sai iPodi ülekuumenemise juhtumite tõttu vigastada?,1
"Kes ütles, et ülekuumenemine pole tõsine probleem?",4
Mille leiutab Steve Jobsi sõnul Apple uuesti?,2
Mis oli Steve Jobsi kahetunnise kõne eesmärk?,3
Mida teatas Cristina Fernandez de Kirchner Argentine Theatre‘is?,1
Kus Cristina Fernandez de Kirchner oma kavatsusest kandideerida teada andis?,3
Mis olid ACMA leiud seoses Big Brotheriga?,1
"Mis parameetritele peab meedia vastama, et olla interneti sisu?",2
Kes on Austraalia liberaalpartei juht?,2
Miks pole Austraalial juba tuumaenergiatööstust?,4
Mis suusataja lõpetas giidi abil?,3
Mis riik lõpetas kümnendal kohal Super-G naiste klassis?,1
"Vastavalt sellele lõigule, milline väide Blake‘i kohta on väär?",2
"Vastavalt sellele lõigule, mis ei juhtunud Blake‘iga?",3
Milleks ÜRO globaalse soojenemise fondi ei kasutata?,2
"Vastavalt sellele lõigule, mida loodab ÜRO päästa?",3
"Mida neist Albert Muchanga ei nimetanud kui miskit, milles tuleb veel kokkuleppele jõuda?",2
"Vastavalt sellele lõigule, miks võib kauplemine alata juulis?",2
"Vastavalt sellele lõigule, milles süüdistas Atlanta Journal-Constitution haridusametnikke?",3
"Vastavalt sellele lõigule, mida Atlanta Journal-Constitutioni aruandes ei mainitud?",4
"Vastavalt sellele lõigule, mis informatsioon on pommitamise järel teada?",4
Mitu matši on Jesus mänginud pärast Manchester Cityga ühinemist 2017. aastal?,4
Mis klubist sai Jesus 27 miljoni naelase ühinemistasu?,1
Milline väide hosteli külaliste kohta ei vasta tõele?,4
"Vastavalt sellele lõigule, milline järgmistest väidetest vastab tõele?",3
"Vastavalt sellele lõigule, millises väites kokkupõrke kohta ei saa kindel olla?",1
"Vastavalt sellele lõigule, mida tuleb kokkupõrke osas veel määrata?",4
"Vastavalt sellele lõigule, mis koht oli Battenil Ameerika rikkaimate nimekirjas?",3
Kellele neist tegi Batten annetuse?,2
Mis järgnevast ei ole osa kuberner Arnold Schwarzeneggeri allkirjastatud seaduseelnõust?,3
"Vastavalt sellele lõigule, kes ei kuulnud, mida öeldi?",3
"Vastavalt sellele lõigule, milline oli Milleri kogemus istungil?",2
Kes soovitas muuta seadust „Clean Air Act“?,3
"Kes eitas, et seadust „Clean Air Act“ kasutati valimiste-eelse trikina?",2
Mille moodustasid tsüanuurhape ja melamiin kassiuriinis üksteisega reageerides?,3
Mida jälgisid teadlased infrapuna spektroskoopia abil?,2
Kes kutsus Lunat ekstreemsuste kuningannaks?,4
Kes kutsus Lunat veidraks?,2
Mis ei juhtunud avariiga seotud juhiga?,3
"Mis polnud see, mille poolest Lõuna-Aafrika ragbiturniiril silma paistis?",3
"Vastavalt sellele lõigule, millal hakkas Lõuna-Aafrika mäng paranema?",4
