question,gpt_answer
"Hashingiwe ku nyandiko, ni iki kitafatwa nk’inama nziza yo gucuranga neza akorudewo?",1
"Igihe ucuranga korudewo, ni iki mu bikurikira kizagufasha kongera amajwi?",1
Kubera iki ikintu cyose ubona kuri televiziyo kiba gikaswe umuzenguruko?,2
"Hashingiwe ku nyandiko, ni ikihe mu bibazo bikurikira umuntu ashobora guhura na cyo igihe ashyira filimi kuri DVD?",1
Inkambi y’Abongereza yari he?,3
Umushinga wandikishijwe intoki washyizweho umukono na nde?,invalid
"Mu hantu hakurikira, ni he amatangazo ya Danilapu yageze nyuma?",3
Ingabo za koloneri Stark zari he?,1
"Hashingiwe ku nyandiko, abantu ba Stark baguye urukuta ryari?",3
"Hashingiwe ku nyandiko, ni ikihe mu bihe by’Ubushinwa cyabayemo intambara ikomeye?",4
"Hashingiwe ku nyandiko, ni iki cy’ukuri cy’ingabo zo mu migina y’ibimonyo zinjiye mu cyiciro cyo kwimuka?",2
"Hashingiwe ku nyandiko, ni iyihe mu mvugo zikurikira isobanura neza akamenyero ko gukora indiri k’ingabo zo mu migina y’ibimonyo mu cyiciro cyo kwimuka?",3
Ni iki mu bikurikira kizakomeza hatitawe ku kuba hari ibimenyetso byo hanze?,3
Ni irihe jambo risobanura abantu bagaragaza itandukaniro rya bimwe mu bimenyetso byihariye bibaranga?,4
Ni irihe jambo mu akurikira risobanura mu buryo buri bwo ibinyabuzima byo muri muri zone runaka?,2
Ni ikihe mu bikurikira gishobora kuba urugero rw’igikorwa cy’ubukerarugendo bushingiye ku byaremwe?,1
"Hashingiwe ku nyandiko, ni iki mu bikurikira gishingirwaho mu buryo bwo gutwara abantu?",2
Intimatima yo hagati izengurukwaho ifite ubuhe bwoko bw’amashanyarazi?,1
Intimatima igizwe n’uduki?,1
"Hashingiwe ku nyandiko, ni ikihe mu bikurikira cy’urugero rw’umubare w’inyabubiri?",1
Imibarwa y’inyabubiri bayita ngo iki?,1
Ni ikihe mu bikurikira kitagaragajwe mu nyandiko nk’inyungu y’ibanze yo kuba umunyeshuri yakoresha imbuga z’amakuru agezweho?,2
Ni ikihe mu bice bikurikira byo gukoresha imbuga z’amakuru agezweho cyavuzwe nk’igitera umwete abanyeshuri kugira ngo bazamure urwego rwabo rw’ubumenyi bw’imyandikire?,3
Ni iki mu bikurikira kitari inyungu y’ihanamakuru ridakorewe rimwe ku banyeshuri? ,2
"Hashingiwe ku nyandiko, ni ikihe mu bice bikurikira by’ihanamakuru ridakorewe rimwe kitoroheye abanyeshuri?",1
Ni iki kitagaragajwe mu nyandiko nk’ikintu kimwe gishobora guhuzwa n’ingoro gakondo zo mu myaka yo hambere?,4
Ni ikihe mu bikurikira kitagaragajwe mu nyandiko nk’impumuro cyangwa ijwi gishobora kuvumburwa mu buryo busa nk’ibitangaza mu bimene by’ingoro gakondo zo mu myaka yo hambere?,1
Ni ikihe mu bikurikira gisobanura mu buryo buri bwo ingoro gakondo ya Kirby Muxloe?,2
Ni iyihe miterere yo kubaka mu bikurikira ishobora gufatwa nk’iy’urugero rw’ingoro gakondo ya Kirby Muxloe mu gihe cyasobanuwe mu nyandiko?,1
"Hashingiwe ku nyandiko, ni iki mu bikurikira gishobora kuba ingirakamaro kurusha ibindi ku wiruka witegura igihe kiri imbere?",4
"Hashingiwe ku nyandiko, ni iki mu bikurikira gifite akamaro gakomeye cyane ku muntu wiruka kimwe cya kabiri cya mayili mu cyiciro cya mbere?",1
"Ku mukinnyi, ni iki mu bikurikira gishobora kugerwaho gusa binyuze mu migenzereze mbonezamirire?",4
"Hashingiwe ku nyandiko, ni iki mu bikurikira kidatangwaho inama nk’uburyo abakinnyi bato bakoresha ngo babone ibyishimo byinshi muri siporo yabo?",2
"Hashingiwe ku nyandiko, kuki uwiruka mu ntera iringaniye ashobora kugura igikoresho kirushijeho guhenda?",1
"Hashingiwe ku nyandiko, kwiruka mu ntera iringaniye bisaba iki?",3
Ni nde wavumbuye ikwirakwira ry’imirasire rukuruzi? ,3
Ni mu wuhe mwaka hatanzwe icyemezo cya mbere cyo gufata ishusho hakoreshejwe imirasire rukuruzi mu buvuzi? ,2
"Hashingiwe ku nyandiko, ni iki abantu bagomba gusobanukirwa cyane kugira ngo basobanure ibikorwa by’abandi?",2
"Hashingiwe ku nyandiko, gusobanukirwa icyo umuntu agambiriye bifasha iki abantu?",1
"Hashingiwe ku nyandiko, mu bikurikira ni iyihe ncamake y’ukuri y’intego nkuru y’ubwenge buhimbano?",4
"Hashingiwe ku nyandiko, ni iki mu bikurikira gikunze guhuzwa n’ubwenge buhimbano?",2
"Hashingiwe ku nyandiko, ni iki mu bikurikira gifatwa nk’imbaraga z’umuntu ufite imitekerereze y’umujyo umwe?",4
"Hashingiwe ku nyandiko, ni iki mu bikurikira kidafatwa nko kwibanda ku mikorere yo guhuza imitekerereze?",2
"Hashingiwe ku nyandiko, ni iki mu bikurikira kitashobora gufatwa nk’ikimenyetso gito gitanga ubutumwa?",4
Ni iyihe mu mvugo zikurikira yerekeye ubusobanuro bw’ibimenyetso bito bitanga ubutumwa itari ukuri?,3
Ni iki mu bikurikira cyabaye ingenzi cyane nk’ingaruka z’igihe cy’iterambere? ,2
"Nk’ingaruka z’igihe cy’iterambere, ni iki cyibanzweho gake mu bikurikira?",1
Ni iki mu bikurikira kitajyanye n’impamvu nyamukuru yo gukoresha murandasi mu mibanire ikomeza?,3
Ni iki mu bikurikira kidahuye n’impamvu nyamukuru yo gukoresha murandasi ku ruhare bwite?,4
Uburayi bw’iburengerazuba bwaretse ryari kwishingikiriza cyane ku kugengwa butangira guteza imbere uburyo bwabwo bwite?,1
gukoresha ibipesu mu gufunga imyenda byazanywe n’iki? ,3
"Hashingiwe ku nyandiko, ni iki mu bikurikira gifatwa nk’igisubizo kiboneye cy’igihe kirekire ku bibazo by’ibidukikije?",1
"Hasingiwe ku nyandiko, ni iki mu bisubizo bikurikira gishobora gufatwa nko kuvura ibimenyetso by’ibibazo by’ibidukikije?",4
Ni mu kihe gihugu habayemo intambara ya mbere mu Burayi aho ikibazo cy’ibanze byavuzwe ko cyari gifitanye isano no kugabana ubutegetsi aho kuba gishingiye ku idini?,4
Ni iyihe ntambara rimwe na rimwe isobanurwa nk’‘intambara ishingiye ku idini” iheruka?,1
Ni ikihe mu bice bya Kiliziya Gatulika kitakurikiranwe?,4
"Hashingiwe ku nyandiko, ni nde wiciwe i Verisaye?",4
Ni iki mu bikurikira ikivunge kitahatiye Umwami n’Umwamikazi?,3
Ni iki mu bikurikira kitatewe n’intambara y’Ubwongereza yo mu mazi idakukirije amategeko?,4
Ni iyihe mvugo idasobanura neza uko Ubwongereza bwatangiye ihagarikwa ry’amato mu Budage?,2
"Hashingiwe ku nyandiko, ni abahe bantu bishoboka cyane ko basuzumwa indwara y’Igagara ry’Ingingo Zinyuranye?",1
"Hashingiwe ku nyandiko, abitabira igikorwa gihoraho bari bakeneye ubufasha bwinshi bw’iki?",1
"Hashingiwe kuri iyi nyandiko, ni gute siporo igezweho yo kurwanisha inkota ikinwa?",4
"Hashingiwe ku nyandiko,ni iki mu bikurikira cyagaragaza cyane uburozi bwo mu mubiri?",4
"Hashingiwe ku nyandiko, intambwe ya mbere mu gusuzuma inzirakarengane ni iyihe?",1
Ni iyihe mu mvugo zikurikira itagaragaza neza igikorwa cyo gusuzuma inzirakarengane?,1
Ni zihe mpinduka zatewe n’Impinduramatwara yo mu Bufaransa zagize ingaruka ku byiciro by’akazi by’abaturage?,2
"Nyuma y’Impinduramatwara yo mu Bufaransa, iterambere mu gisirikare n’indi myuga byabaga bishingiye gake kuki?",2
Ni akahe kazi ka leta gateza kutishima cyane mu bihugu byateye imbere?,3
"Hashingiwe ku nyandiko, ni iki cyavugwa ku buryo bwo gutwara muri rusange?",3
"Hakurikijwe inyandiko, ni ikihe mu bikurikira cyagorana gupima kubera kutizerwa kw’abashoferi?",4
Ni iki muri ibi gikoreshwa mu kwerekanisha imibare urujya n’uruza?,4
Ni iki Hershey na Chase bakoresha batera DNA zabo ? ,4
Ubushobozi bwo kwihinduranya bushobora guhererekanywa ku bana bushingira kuki?,1
