question,gpt_answer
He aha te pakanga e whakaahuatia ana i ētahi wā ko te ‘pakanga whakapono’ whakamutunga?,1
Ko tehea o ngā āhuatanga e whai ake nei o te Hāhi Katorika kāore i tirotirohia?,1
"E ai ki te wāhanga nei, i patua i Versailles?",4
Ko tehea o ēnei e whai ake nei kihai i whakatikatikahia ki te Kingi me te Kuini e te mano?,1
Ko tehea o ēnei e whai ake nei ehara i te hua o te pakanga moana kore noa o Ingarangi?,3
Ko tehea kōrero e kore e tino whakaahua i te aukati moana a Ingarangi ki Tiamana?,4
"I runga anō i te haerenga, ko wai e tino pai ai te tātaitanga o te Sclerosis Maha?",1
"E ai ki te wāhanga nei, e hiahiatia ana e ngā kaiuru i roto i ngā ngohe auau he tautoko anō mō te aha?",1
"E ai ki te wāhanga nei, he pēhea te tākaro o te taiapa?",4
"E ai ki te wāhanga nei, ko tēhea o ēnei e whai ake nei te tohu tino kaha o te mate paitini o roto?",4
"E ai ki te wāhanga nei, he aha te hipanga tuatahi tika ina arotake ana i tētahi tūkino?",1
Ko tēhea o ngā kōrero e whai ake nei e kore e tino whakaatu i te tukanga o te tirotiro i te patunga?,1
Ko tēhea o ngā huringa i puta mai i te French Revolution i whai pānga nui ki ngā tāngata mahi?,2
"I muri i te French Revolution, he iti ake te tūponotanga o te angitu i roto i te ope taua me ētahi atu mahi i runga i te aha?",4
Ko tehea te mahi tūmatanui e kiia ana ko te mea nui rawa o te riri i roto i nga whenua whakawhanake?,3
"E ai ki te wāhanga nei, he aha te kōrero mo nga pūnaha whakawhiti tūmatanui?",3
"E ai ki te wāhanga nei, ko tēhea o ēnei e whai ake nei he uaua ki te ine nā te kore āheitanga o ngā atekōkiri?",4
Ko tēhea o ēnei e whakamahia ana ina whakaatu ana i tētahi rerenga waka i runga i te pāngarau?,4
He aha te mea i whakamahia e Hershey rāua ko Chase hei tāuru i tō rāua DNA? ,2
E whakawhirinaki ana ki te aha te kaha o te huringa ki te tuku ki te uri?,3
"I runga anō i ngā mōhiohio i hoatu i roto i te wāhanga nei, he aha te kore e whakawhirinaki ki ngā pānga rerekē o ngā huringa?",4
Ko tehea o ēnei e whai ake nei ehara i te take i mau ai ngā iwi o mua i ngā koati?,3
Ko te whāinga o te korowha ko te tango i te iti rawa o te aha?,1
"I runga i te papa korowha, kei hea te tapahi i te tarutaru?",2
He aha te whāinga o tētahi whakamātautau?,1
"E ai ki te wāhanga nei, he aha te kore e āwhina ki te ārahi i te rangahau pūtaiao?",2
"E ai ki te wāhanga nei, ko tēhea kōrero mo nga āwhiowhio ehara i te tika?",3
"I runga anō i te wāhanga nei, ko tēhea o ngā kōrero e whai ake nei e tino tika ana te whakaahua i te nuinga o ngā hau?",4
Ko tēhea o ēnei mea i tīmata te tangata ki te mahi i te rau tau 16?,4
