question,gpt_answer
"गद्यांश के अनुसार, संगीत के लिए अक्कादियन को सटीक रूप से पुनर्स्थापित करने के लिए वास्तव में क्या संभव नहीं है?",1
"अक्कडियन को पुनः प्राप्त करते समय, निम्न में से कौन सा आयतन बढ़ाता है?",1
टेलीविजन फिल्मों में किनारे क्यों काटे जाते हैं?,2
"दिए गए गद्यांश के अनुसार, मूवी को डीवीडी प्रारूप में परिवर्तित करते समय निम्नलिखित में से कौन सी समस्या का सामना करना पड़ सकता है?",2
ब्रिटिश पुलिस कहाँ थी?,3
हस्तलिखित मसौदे पर किसके हस्ताक्षर थे?,4
निम्नलिखित स्थानों में से डनलप ब्रॉडसाइड आखिर कहाँ से आया था?,2
कर्नल स्टार्क की सेनाएँ कहाँ थीं?,1
"गद्यांश के अनुसार, स्टार्क के आदमियों ने अपनी बाड़ कब बढ़ाई?",3
"गद्यांश के अनुसार, निम्नलिखित में से कौन सा चीन के सबसे हिंसक काल में से एक था?",4
"गद्यांश के अनुसार, चींटियों की बस्ती के खानाबदोश काल के संभावित घटक क्या हैं?",2
"गद्यांश के अनुसार, कौन सा कथन खानाबदोश काल के दौरान सेना की चींटियों की कॉलोनियों की घोंसला बनाने की आदतों को सटीक रूप से दर्शाता है?",3
निम्नलिखित में से कौन सा बाहरी संदर्भों के अनुसार निरंतर है?,2
कौन सा शब्द उन व्यक्तियों का वर्णन करता है जो एक विशेष फेनोटाइपिक विशेषता के रूपांतर दिखाते हैं?,4
किसी विशेष क्षेत्र पर कब्जा करने वाले जीवों के लिए निम्नलिखित में से कौन सा सही शब्द है?,2
निम्नलिखित में से कौन सा प्रकृति आधारित पर्यटन गतिविधि का उदाहरण नहीं है?,3
"गद्यांश के अनुसार, निम्नलिखित में से कौन सा परिवहन के साधन का आधार है?",2
नाभिक के चारों ओर के कणों पर किस प्रकार का आवेश होता है?,3
नाभिक किन कणों से मिलकर बना होता है?,1
"गद्यांश के अनुसार, निम्न में से कौन सा पांच-बिट बाइनरी नंबर का उदाहरण है?",3
बाइनरी डिजिट किसे कहते हैं?,1
छात्र ब्लॉग के प्राथमिक लाभ के रूप में गद्यांश में निम्नलिखित में से किसका उल्लेख नहीं किया गया है?,2
ब्लॉगिंग के निम्नलिखित पहलुओं में से कौन सा छात्रों के लिए उनके लेखन कौशल में सुधार करने के लिए एक प्रेरक के रूप में उद्धृत किया गया है?,2
निम्नलिखित में से कौन सा छात्रों के लिए अतुल्यकालिक संचार का लाभ नहीं है?,2
"दिए गए परिच्छेद के अनुसार, अतुल्यकालिक संचार के निम्नलिखित पहलुओं में से कौन सा छात्रों के लिए लचीला नहीं है?",4
परिच्छेद में किन बातों का उल्लेख नहीं किया गया है जो मध्यकालीन किलेबंदी से जुड़ी हो सकती है?,2
किले के खंडहरों के बीच दिखाई देने वाली गंध या खुरों के शोर-शराबे में निम्नलिखित में से किसका उल्लेख नहीं किया गया है?,3
निम्नलिखित में से क्या द कीर्बी मुक्स्लो कैसल का सटीक विवरण है?,2
गद्यांश में वर्णित अवधि के दौरान निम्नलिखित संरचनात्मक पहलुओं में से कौन सा किर्बी मुक्सलो के महल के लिए असामान्य माना जाता है?,1
"गद्यांश के अनुसार, आगामी सीज़न की तैयारी करने वाले धावक के लिए निम्नलिखित में से कौन सा सबसे प्रभावी है?",4
"दिए गए गद्यांश के अनुसार, प्रथम श्रेणी के आधे मील के धावक के लिए निम्नलिखित में से कौन सा अत्यंत महत्वपूर्ण है?",2
"एक एथलीट के लिए, निम्नलिखित में से क्या अकेले पोषण प्रथाओं द्वारा प्राप्त नहीं किया जा सकता है?",3
"दिए गए गद्यांश के अनुसार, युवा एथलीटों को अपने खेल में अधिक आनंद पाने के तरीके के रूप में निम्नलिखित में से क्या अनुशंसित नहीं है?",2
"दिए गए गद्यांश के अनुसार, एक मध्यम दूरी का धावक अधिक महंगा उपकरण क्यों खरीदता है?",1
"गद्यांश के अनुसार, मध्यम दूरी के प्रवाह के लिए क्या आवश्यक है?",3
परमाणु चुंबकीय अनुनाद की खोज किसने की थी?,3
चिकित्सा इमेजिंग कंपन के लिए पहला पेटेंट किस वर्ष में दिया गया था?,2
"दिए गए अंश के अनुसार, दूसरों की शारीरिक गतिविधियों को समझाने के लिए मनुष्यों को किस बारे में मजबूत समझ होनी चाहिए?",2
"गद्यांश के अनुसार, उद्देश्य को समझने की क्षमता मनुष्यों की क्या मदद करती है?",1
"गद्यांश के अनुसार, निम्नलिखित में से कौन सा कृत्रिम बुद्धि के मुख्य उद्देश्य का सटीक सारांश है?",4
"गद्यांश के अनुसार, निम्नलिखित में से कौन सा कृत्रिम बुद्धि के साथ संगत है?",2
"गद्यांश के अनुसार, निम्नलिखित में से कौन सा एकीकृत विचार पैटर्न वाले व्यक्ति की ताकत है?",4
"गद्यांश के अनुसार, निम्नलिखित में से किसे एकीकृत सोच मानसिकता का केंद्र नहीं माना जाता है?",2
"गद्यांश के अनुसार, निम्नलिखित में से किसे सूक्ष्म भावनाओं के रूप में नहीं माना जाएगा?",4
"गद्यांश के अनुसार, सूक्ष्म भावनाओं की व्याख्या के बारे में दावों में निम्नलिखित में से कौन सा असत्य है?",3
पुनर्जागरण के परिणामस्वरूप निम्नलिखित में से किसे अधिक महत्व दिया गया था?,2
पुनर्जागरण के परिणामस्वरूप निम्नलिखित में से किसे कम महत्व दिया गया था?,3
निम्नलिखित में से कौन सा अनुक्रमिक संबंधों के लिए इंटरनेट का उपयोग करने के लिए प्रोत्साहन को प्रतिबिंबित नहीं करता है?,3
निम्नलिखित में से कौन सा व्यक्तिगत जुड़ाव के लिए इंटरनेट का उपयोग करने की प्रेरणाओं को प्रतिबिंबित नहीं करता है?,1
पश्चिमी यूरोप ने कब प्रभावों पर बहुत अधिक भरोसा करना बंद कर दिया और अपनी शैली विकसित करना शुरू कर दिया?,1
कपड़े बांधने के लिए बटन का उपयोग करने का परिणाम क्या है?,3
"गद्यांश के अनुसार, निम्नलिखित में से किसे पर्यावरणीय समस्याओं का दीर्घकालिक समाधान माना जाता है?",3
"गद्यांश के अनुसार, निम्नलिखित में से कौन सा उपचार पर्यावरणीय समस्याओं का रोगसूचक उपचार नहीं माना जाएगा?",2
यूरोप में पहला युद्ध किस देश में हुआ था जब इसका केंद्रीय मुद्दा धार्मिक पृष्ठभूमि के बिना शक्ति संतुलन से संबंधित बताया गया था?,4
"अंतिम युद्ध किसे कहा जाता है, जिसे धार्मिक युद्ध कहा जाता है?",1
कैथोलिक चर्च द्वारा निम्नलिखित में से किस पहलू की जांच नहीं की गई है?,2
"दिए गए गद्यांश के अनुसार, वर्साय में वह किसके द्वारा मारा गया था?",3
निम्नलिखित में से भीड़ ने राजा और रानी को क्या करने के लिए नहीं कहा?,3
निम्नलिखित में से कौन सा ब्रिटेन के अपरंपरागत नौसैनिक युद्ध का परिणाम नहीं है?,3
कौन सी रिपोर्ट जर्मनी के खिलाफ ब्रिटेन की नौसैनिक नाकाबंदी का सटीक वर्णन नहीं करती है?,4
