premise,hypothesis,gpt_label
"Cualtitoc, na axnimoihliaya ino, nicualaniztoya queh naha nicamohuihqui",Ayoc nicamohuihtoc,1
"Cualtitoc, na axnimoihliaya ino, nicualaniztoya queh naha nicamohuihqui",Nelpano nicualantoya queh naha nicamohuihqui,0
"Cualtitoc, na axnimoihliaya ino, nicualaniztoya queh naha nicamohuihqui",Yehyehtzi timocamohuihqueh / yehyehtzi timocamanalohqueh,0
"Nimoihlia quena cualli, nelia nelia, nazantzi ni 922 Ex-O niiztoya campa AFFC tlen Fuerza Aérea",Axnimatiyaya queh nazantzi niiztoya campa tlamaxtiloyan,1
"Nimoihlia quena cualli, nelia nelia, nazantzi ni 922 Ex-O niiztoya campa AFFC tlen Fuerza Aérea",Nimotleliaya queh nazantzi nipiyaya ino notlapohualiz ne AFFC Air Force Career,1
"Nimoihlia quena cualli, nelia nelia, nazantzi ni 922 Ex-O niiztoya campa AFFC tlen Fuerza Aérea","Nochi techmacaqueh zan ce tlapohualiztli, zan techcahcayahqueh pampa techtlelihqueh miac tlamantli techmacazquiah. Nelpano tlacahcayahuah.",1
"Nechtlelihque, ni…. Ce macehual nechcamohuizquia huan timopantizquia",Axquema tleno nechtlelihque queh niquixmatiz ce macehual,0
"Nechtlelihque, ni…. Ce macehual nechcamohuizquia huan timopantizquia",Nechtlelihque que nechcamohuizquia ce macehua huan niquixmatizquia,0
"Nechtlelihque, ni…. Ce macehual nechcamohuizquia huan timopantizquia",Ne macehual acico tiotlac,0
"Onca miac camanalli tlen ino, na axtleno yeca niquihtoz",Nicnequi nimitztempohuiliz nochi tlen na ino nimati,0
"Onca miac camanalli tlen ino, na axtleno yeca niquihtoz","Axtleno niquihtoz tlen ino, monequi miac tlamantli axtitlatempohuaz",0
"Onca miac camanalli tlen ino, na axtleno yeca niquihtoz","Na axtleno niquihtoz tlen panotoc ne altepetl, pampa onca miac tlamantli camanalli",0
"Ino quena monequiyaya timanahuizquia, pampa axhuelizquia timahcahuazquia ce bomba hirogena tlen 30, huan C124",Axtinehque ticahcocuizceh tleno.,0
"Ino quena monequiyaya timanahuizquia, pampa axhuelizquia timahcahuazquia ce bomba hirogena tlen 30, huan C124",Tinequiyayah timanahuizceh cetzi tlamantli tlen nochi,1
"Ino quena monequiyaya timanahuizquia, pampa axhuelizquia timahcahuazquia ce bomba hirogena tlen 30, huan C124",Tinequiyayah timanahuizceh Bomba -H pampa neohui tlatequihuiliz,1
Yeca axnicuamalilia quenque,Quena nimoneltlelia yeca ino,1
Yeca axnicuamalilia quenque,Axnimati quenque temapanoltili tlamachtiloyan,1
Yeca axnicuamalilia quenque,Axnimati quenque panoc ino.,1
"Ya ni Fannie Flono. Mitzcaltihqui ne Ag--- Agusta, GA, huan tlatempohuaz tlen panoc quema pilconetzi","Fannie Flono quipixqui ceyoc tequitl, huacca ama axhuel techtempohuiliz ama tlen panotoc inemiliz",1
"Ya ni Fannie Flono. Mitzcaltihqui ne Ag--- Agusta, GA, huan tlatempohuaz tlen panoc quema pilconetzi","Fannie Flono iztoc nica huan textempohuiliz tlen queniuhqui panoc quema pilconetzi que mitzcaltihqui Augusta, GA.",0
"Ya ni Fannie Flono. Mitzcaltihqui ne Ag--- Agusta, GA, huan tlatempohuaz tlen panoc quema pilconetzi",Fannie Florno quena huelqui textlatempohuilihqui ama mazqui quipiyaya miac tequitl,1
Quimacahtoya macuili descatamentos tlen U2,Na nitequititoc ica U2,0
Quimacahtoya macuili descatamentos tlen U2,"Axquema nitequimachiltoc ica U""",1
Quimacahtoya macuili descatamentos tlen U2,Nitequitic ica destacamentos tlen U2 nochi tonalli pan ompohualli xihuitl,0
Nazantzi nimotequipanoltiyaya ica reguladores tlen prueba campa camaras tlen altitud pilciltzitzi.,Axnechpahtiqui nimotequipanoltiz nocelti ica ne camaras tlen altitud pilcintzitzi,0
Nazantzi nimotequipanoltiyaya ica reguladores tlen prueba campa camaras tlen altitud pilciltzitzi.,Nompa prebas mochihqui ipan ne camaras tlen altitud pilciltzitzi,0
Nazantzi nimotequipanoltiyaya ica reguladores tlen prueba campa camaras tlen altitud pilciltzitzi.,Iztoya tlen tohhuantin tlen motequipanoltihque ica nompa reguladores tlen prueba.,0
"Na, ini, sargento tlanahuatihquel huan temachtihquel,nimociyahquilihquiya, quema quiihtohqui Ricc",Naha nitequiti tlen ni tonali,1
"Na, ini, sargento tlanahuatihquel huan temachtihquel,nimociyahquilihquiya, quema quiihtohqui Ricc",Ayoc nitequitc ne 2002,1
