premise,hypothesis,gpt_label
"Jakon riki, ja shinanamara ea ike, ikaxbi kikin frustradara ea ike jakopira ea jabe yoyo iribake.",Eara jabe yoyo iribiama iki.,0
"Jakon riki, ja shinanamara ea ike, ikaxbi kikin frustradara ea ike jakopira ea jabe yoyo iribake.",Kikini sinatara ea ike jakopira ea jabe yoyo iki peoko ribake.,0
"Jakon riki, ja shinanamara ea ike, ikaxbi kikin frustradara ea ike jakopira ea jabe yoyo iribake.",Kikin jaonira noa yoyo ike.,2
"En shinanara ike westiora privilegio, itan neskara iki, itan neskara iki, eabichora 922 Ex-O ike nokon carreranko AFFC nato Fuerza Aéreankonia.",Enra onanyama ike eabicho jain ja nete.,0
"En shinanara ike westiora privilegio, itan neskara iki, itan neskara iki, eabichora 922 Ex-O ike nokon carreranko AFFC nato Fuerza Aéreankonia.",Enra onantania ibake eabicho ja numeroya ja AFFC Air Force Career camponko.,0
"En shinanara ike westiora privilegio, itan neskara iki, itan neskara iki, eabichora 922 Ex-O ike nokon carreranko AFFC nato Fuerza Aéreankonia.","Jatibira noa ja numerosbires menibakanke, nato privilegiosbo menikanai ibatabo shinabenokainxon, jatibira janso ike.",0
"Eara yoibakanke, nato... westiora jonin ea kenai japokao noa oinyanananon ixon.",Eara tson yoiyama iki joni en onani kai.,2
"Eara yoibakanke, nato... westiora jonin ea kenai japokao noa oinyanananon ixon.",Eara yoikanke westiora joni kenakanai ea onanti kopi.,0
"Eara yoibakanke, nato... westiora jonin ea kenai japokao noa oinyanananon ixon.",Ja jonira kikin yantan nokoke.,2
"Jarake mesko jaki yoyo iti, ikaxbira en jabo winoresai.",¡Jatibi en onana jawekibora mia yoikasai!,0
"Jarake mesko jaki yoyo iti, ikaxbira en jabo winoresai.","Eara jaki yoyo iyamai, icha jaweki yoiti ikenbi.",2
"Jarake mesko jaki yoyo iti, ikaxbira en jabo winoresai.",Eara nato jeman historiaki yoyo iyamai mesko jawekibo yoiti jakenbi.,2
"Jara ike ja jaweki kikin importante salvankasi noa iwana, jaweskaxonbi nato bomba hidrogena potatikomara ike 30 inxon, westiora C124.",Jawebi benxoatira noa importanyamake.,2
"Jara ike ja jaweki kikin importante salvankasi noa iwana, jaweskaxonbi nato bomba hidrogena potatikomara ike 30 inxon, westiora C124.",Westiora jawekiresra noa salvankasi ike wetsabo akamabi.,2
"Jara ike ja jaweki kikin importante salvankasi noa iwana, jaweskaxonbi nato bomba hidrogena potatikomara ike 30 inxon, westiora C124.",Nato bomba -H salvankasira noa ike kikin manejantikoma ikentian.,0
Jaskara riki enra onanshamanyamake jawe kopi.,Enra onanbiresreske jawekopiki ika ixon.,2
Jaskara riki enra onanshamanyamake jawe kopi.,Enra onanyamake jawe kopira jan axeti xobobo transfierenke ixon.,1
Jaskara riki enra onanshamanyamake jawe kopi.,Eanra onanyamake jwekopiki ja jaweki winota ixon.,1
"Nato riki Fannie Flono. Ag-- Augusta, GA tainra ja ania iki, jara yoyo ikai mesko jaweki bake ikax winotaboki.",Fannie Flononinra reprogramanribiai itan nin westiora historiabira noa rama yoiti atipanyamke.,1
"Nato riki Fannie Flono. Ag-- Augusta, GA tainra ja ania iki, jara yoyo ikai mesko jaweki bake ikax winotaboki.","Fannie Flonora neno iki itan noara yoikai mesko jaweki bake ikax winotaboki Augusta, GA yain anixon.",0
"Nato riki Fannie Flono. Ag-- Augusta, GA tainra ja ania iki, jara yoyo ikai mesko jaweki bake ikax winotaboki.",Fannie Flonoraninra rama nete noa yoyoake jawen agendain jaweki atibo icha ikenbi.,0
Itan pichika destacamento potara ike nato U2 ainoa.,U2 batanra en tratana iki.,0
Itan pichika destacamento potara ike nato U2 ainoa.,U2 batanra en lidianamabirex iki.,2
Itan pichika destacamento potara ike nato U2 ainoa.,Eara teeke nato U2nin destacamentosain nete tibi chosko chonka baritia kaman.,2
Westiora ikira ea bicho ikatiai nato reguladorbo iimai cámaras de altitud maxkoshoko tanakanainko.,Nokon kemara ike eabicho reguladorbo iimai iti nato tanatiainko.,2
Westiora ikira ea bicho ikatiai nato reguladorbo iimai cámaras de altitud maxkoshoko tanakanainko.,Nato tanatira ike cámaras de altitud maxkoshokoain.,0
Westiora ikira ea bicho ikatiai nato reguladorbo iimai cámaras de altitud maxkoshoko tanakanainko.,Noa ikaboainra jakanke jatiribibo nato tanatien reguladorbo iimakanabo.,2
"Ea riki, nato, ja sargento koshi axeamis, jubilameta, Ricknin yoiya keska.",Teeresi riki ea nato nete kopi.,2
"Ea riki, nato, ja sargento koshi axeamis, jubilameta, Ricknin yoiya keska.",2002 tianra eara pikota iki.,2
"Ea riki, nato, ja sargento koshi axeamis, jubilameta, Ricknin yoiya keska.",Rickninki mia yoiya moa retirado.,2
"Jarake jaweti proyecciónbo nato flujo de cajana itan, uh,eh, ja riki Cutty akanaitona, clientenin jane.",Nato cliente Cutty akanaitonra $ 10000 ganai oxetebi.,1
"Jarake jaweti proyecciónbo nato flujo de cajana itan, uh,eh, ja riki Cutty akanaitona, clientenin jane.",Westiora cliente Cutty akanaira jake.,2
"Jarake jaweti proyecciónbo nato flujo de cajana itan, uh,eh, ja riki Cutty akanaitona, clientenin jane.",Noara yamake Cutty akanai janeya clientebo.,0
Ja xontako jan ea akinti atipanara jema rebonko iki.,Ja xontako ea akinti keni iitaira kikin ochoira jake.,1
Ja xontako jan ea akinti atipanara jema rebonko iki.,Ja bake jan ea akini kaira 5 millas ocho iki.,1
Ja xontako jan ea akinti atipanara jema rebonko iki.,Yama rake tson ea akinti.,2
