premise,hypothesis,gpt_label
"Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.",I havent spoken to him again.,2
"Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.",I was so upset that I just started talking to him again.,0
"Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.",We had a great talk.,1
"They told me that, uh, that I would be called in a guy at the end for me to meet.",I was never told anything about meeting anyone.,2
"They told me that, uh, that I would be called in a guy at the end for me to meet.",I was told a guy would be called in for me to meet.,0
"They told me that, uh, that I would be called in a guy at the end for me to meet.",The guy showed up a bit late.,1
There's so much you could talk about on that I'll just skip that.,I want to tell you everything I know about that!,2
There's so much you could talk about on that I'll just skip that.,"I won't talk about that, even though there's a lot to cover.",0
There's so much you could talk about on that I'll just skip that.,I wont talk about the history of the city because there's too much to say.,1
So I'm not really sure why.,I am certain as to the reason why.,2
So I'm not really sure why.,I don't know why he transferred schools.,1
So I'm not really sure why.,I don't know why that happened.,1
"I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.",I didn't like being the only one to run the regulators for the tests.,1
"I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.",Tests were done in the miniature altitude chambers.,0
"I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.",There were a few of us who ran the regulators for the test.,2
"I'm uh, Chief Master Sergeant, retired, as Rick said.",I am still working to this day.,2
"I'm uh, Chief Master Sergeant, retired, as Rick said.",I retired in 2002.,1
"I'm uh, Chief Master Sergeant, retired, as Rick said.",Rick told you I was retired.,0
"There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.",The client named Cutty makes $10000 a month.,1
"There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.",There is a client named Cutty.,0
"There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.",We don't have any clients called Cutty.,2
The girl that can help me is all the way across town.,The girl I need help from lives a ways away.,0
The girl that can help me is all the way across town.,The girl who is going to help me is 5 miles away.,1
The girl that can help me is all the way across town.,There is no one who can help me.,2
"But they were divided about like who were the field hands and who were the house kids, it was kind of--",They all agreed that they'd all work in the fields.,2
"But they were divided about like who were the field hands and who were the house kids, it was kind of--",They couldn't agree about who was a field hand and who belonged in the house.,0
"But they were divided about like who were the field hands and who were the house kids, it was kind of--",They couldn't agree who should work in the cotton field and who should mop the floors.,1
"I mean they only had, like, they had five children, one of them died.",All of their children survived.,2
"I mean they only had, like, they had five children, one of them died.",One child died out of the five.,0
"I mean they only had, like, they had five children, one of them died.",The child who died was born sickly.,1
"She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.",As she told him to come up the porch she had tears in her eyes.,0
"She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.",She quickly wiped away the tears after flinging Joe off the porch.,2
"She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.",She was so happy to see Joe that she started to cry.,1
"Even if the aircraft was on fire, why it, it would uh, burn and it would melt through a lead component for the radiation to leak out.",The radiation can be contained during a fire as well.,2
"Even if the aircraft was on fire, why it, it would uh, burn and it would melt through a lead component for the radiation to leak out.",The radiation would leak out from a lead component after the aircraft burned.,0
"Even if the aircraft was on fire, why it, it would uh, burn and it would melt through a lead component for the radiation to leak out.",The radiation would not leak out during a fire.,0
"This is Chief Master Sergeant Clem Francis, retired from the US Air Force.",The Chief is retired from the US Air Force.,0
