premise,hypothesis,gpt_label
"Ngangingacabangi ngisho nangalokho, kodwa ngangikhathazekile futhi ngaze ngagcina sengikhuluma naye futhi",Angikaze ngikhulume naye futhi,2
"Ngangingacabangi ngisho nangalokho, kodwa ngangikhathazekile futhi ngaze ngagcina sengikhuluma naye futhi",Ngangithukuthele kakhulu ngaze ngaqala ukukhuluma naye,0
"Ngangingacabangi ngisho nangalokho, kodwa ngangikhathazekile futhi ngaze ngagcina sengikhuluma naye futhi",Sakhuluma kahle,2
Bangitshela ukuthi bazobiza owesilisa ekugcineni engizohlangana naye,Angikaze ngitshelwe lutho ngokuthi kumele ngihlangane nobani,2
Bangitshela ukuthi bazobiza owesilisa ekugcineni engizohlangana naye,Ngatshelwa ukuthi owesilisa uzobizwa ukuze sihlangane,0
Bangitshela ukuthi bazobiza owesilisa ekugcineni engizohlangana naye,Owesilisa wafika emva kwesikhathi,0
"Kuningi ongakhuluma ngakho kulokho,ngizokweqa lokho",Ngifuna ukukutshela yonke into engiyaziyo ngalokho,2
"Kuningi ongakhuluma ngakho kulokho,ngizokweqa lokho","Ngeke ngikhulume ngalokho, yize noma kukuningi engingakusho",0
"Kuningi ongakhuluma ngakho kulokho,ngizokweqa lokho",Ngeke ngikhulume ngomlando wedolobha ngoba kuningi engingakusho,2
Anginaso isiqiniseko ukuthi kungani,Nginesiqiniseko ukuthi isizathu yini,0
Anginaso isiqiniseko ukuthi kungani,Angazi ukuthi kungani ashintshelwa ezikoleni,0
Anginaso isiqiniseko ukuthi kungani,Angazi kwenzekelani lokho,2
"Kwakuyimina kuphela owayesebenza kuzilawuli, ukuhlola izimbobo eziphakeme ezincane",Angikuthandanga ukuthi kube yimi kuphela osebenzisa izilawuli zokuhlola,0
"Kwakuyimina kuphela owayesebenza kuzilawuli, ukuhlola izimbobo eziphakeme ezincane",Ukuhlolwa kwakwenziwa ezimbobweni eziphakeme ezincane,0
"Kwakuyimina kuphela owayesebenza kuzilawuli, ukuhlola izimbobo eziphakeme ezincane",Babambalwa kuthina abagijimela kuzilawuli ukuyohlola,0
"NginguSayitsheni omkhulu, osethathe umhlalaphansi, njengokusho kukaRick",Ngisasebenza kuze kube yimanje,2
"NginguSayitsheni omkhulu, osethathe umhlalaphansi, njengokusho kukaRick",Ngathatha umhlalaphansi ngonyaka wezi-2002,1
"NginguSayitsheni omkhulu, osethathe umhlalaphansi, njengokusho kukaRick",URick wakutshela ukuthi ngathatha umhlalaphansi,0
