premise,hypothesis,gpt_label
"நான் அதைப் பற்றி யோசிக்கக்கூட இல்லை, ஆனால் நான் மிகவும் விரக்தியடைந்தேன், நான் மீண்டும் அவருடன் பேசினேன்.",அதன்பிறகு நான் அவரிடம் பேசவில்லை.,2
"நான் அதைப் பற்றி யோசிக்கக்கூட இல்லை, ஆனால் நான் மிகவும் விரக்தியடைந்தேன், நான் மீண்டும் அவருடன் பேசினேன்.",நான் மிகவும் வருத்தப்பட்டதால் மீண்டும் அவரிடம் பேச ஆரம்பித்தேன்.,0
"நான் அதைப் பற்றி யோசிக்கக்கூட இல்லை, ஆனால் நான் மிகவும் விரக்தியடைந்தேன், நான் மீண்டும் அவருடன் பேசினேன்.",நாங்கள் மிகச்சிறப்பாக பேசினோம்.,2
"அவர்கள், இம், நான் சந்திக்க முடிவில் ஒரு பையன் அழைக்கப்படுவேன் என்று என்னிடம் சொன்னார்கள்.",யாரையும் சந்திப்பது பற்றி எனக்கு எதுவும் தெரியாது.,2
"அவர்கள், இம், நான் சந்திக்க முடிவில் ஒரு பையன் அழைக்கப்படுவேன் என்று என்னிடம் சொன்னார்கள்.",என்னை சந்திக்க ஒரு பையன் வரவழைக்கப்படுவான் என்று என்னிடம் சொல்லப்பட்டது.,0
"அவர்கள், இம், நான் சந்திக்க முடிவில் ஒரு பையன் அழைக்கப்படுவேன் என்று என்னிடம் சொன்னார்கள்.",பையன் சற்று தாமதமாக வந்தான்.,1
நீங்கள் பற்றி நிறைய பேச முடியும் என்று நான் அதை தவிர்த்துவிடுவேன்.,எனக்கு தெரிந்த அனைத்தையும் உங்களுக்குச் சொல்ல விரும்புகிறேன்!,2
நீங்கள் பற்றி நிறைய பேச முடியும் என்று நான் அதை தவிர்த்துவிடுவேன்.,"நான் அதைப் பற்றி பேச மாட்டேன், நிறைய மறைக்க வேண்டும் என்றாலும்.",0
நீங்கள் பற்றி நிறைய பேச முடியும் என்று நான் அதை தவிர்த்துவிடுவேன்.,"நகரின் வரலாற்றைப் பற்றி நான் பேச மாட்டேன், ஏனெனில் சொல்ல நிறைய இருக்கிறது.",1
அதனால் ஏன் என்று எனக்கு சரியாகத் தெரியவில்லை.,அதற்கான காரணம் குறித்து நான் உறுதியாக உள்ளேன்.,2
அதனால் ஏன் என்று எனக்கு சரியாகத் தெரியவில்லை.,அவர் ஏன் பள்ளிகளை இடமாற்றம் செய்தார் என்று தெரியவில்லை.,1
