premise,hypothesis,gpt_label
"Ну, я даже не думал об этом, но я был так разочарован, что в конце концов опять поговорил с ним.",Я больше с ним не разговаривал.,2
"Ну, я даже не думал об этом, но я был так разочарован, что в конце концов опять поговорил с ним.","Я был так расстроен, что даже снова начал с ним разговаривать.",0
"Ну, я даже не думал об этом, но я был так разочарован, что в конце концов опять поговорил с ним.",Мы прекрасно поговорили.,1
"Они сказали, что меня вызовут , чтобы встретиться с парнем в конце.",Я никогда и никому не рассказывал о встрече.,1
"Они сказали, что меня вызовут , чтобы встретиться с парнем в конце.","Мне сказали, что парня позовут на встречу со мной.",0
"Они сказали, что меня вызовут , чтобы встретиться с парнем в конце.",Парень припозднился.,1
"Об этом можно так много говорить, что я опущу подробности.","Я хочу рассказать вам все, что я знаю об этом!",2
"Об этом можно так много говорить, что я опущу подробности.","Я не буду об этом говорить, даже при том, что здесь многое стоит скрыть.",2
"Об этом можно так много говорить, что я опущу подробности.","Я ничего не скажу об истории города, потому что об этом говорить можно очень много.",1
"И я не самом деле не знаю, почему.","Я уверен в отношении того, что является причиной.",2
"И я не самом деле не знаю, почему.","Я не знаю, почему он менял школы.",1
"И я не самом деле не знаю, почему.","Я не знаю, почему это произошло.",0
"Я был единственным, кто... э-э-э... вообще когда-либо регулировал приборы при проведении тестов в миниатюрных барокамерах.","Мне не нравилось, что только я один управлял регулирующими устройствами во время испытаний.",1
"Я был единственным, кто... э-э-э... вообще когда-либо регулировал приборы при проведении тестов в миниатюрных барокамерах.",Тесты были осуществлены в миниатюрных барокамерах.,0
"Я был единственным, кто... э-э-э... вообще когда-либо регулировал приборы при проведении тестов в миниатюрных барокамерах.",Немногие из нас прошли регуляторы для теста.,1
"Я, это, старший мастер-сержант в отставке, как Рик сказал.",Я до сих пор работаю.,2
"Я, это, старший мастер-сержант в отставке, как Рик сказал.",Я ушел в отставку в 2002 году.,1
"Я, это, старший мастер-сержант в отставке, как Рик сказал.","Рик сказал вам, что я в отставке.",0
"У меня на столе лежит некий прогноз движения денежных средств, и он предназначен для такой-то и такой-то Катти - это наименование клиента.",Клиент по имени Катти зарабатывает 10 тысяч долларов в месяц.,1
"У меня на столе лежит некий прогноз движения денежных средств, и он предназначен для такой-то и такой-то Катти - это наименование клиента.",Есть клиент по имени Катти.,0
"У меня на столе лежит некий прогноз движения денежных средств, и он предназначен для такой-то и такой-то Катти - это наименование клиента.",У нас нет клиентов по имени Катти.,2
"Девушка, которая может мне помочь, находится на другой стороне города","Девушка, чья помощь мне нужна, живет очень далеко.",1
"Девушка, которая может мне помочь, находится на другой стороне города","Девушка, которая поможет мне, находится в пяти милях отсюда.",1
"Девушка, которая может мне помочь, находится на другой стороне города",Никто не может мне помочь.,2
"Но у них были разногласия по поводу того, типа, кто будет работать в поле, а кто будет работать по хозяйству, и было как-то...","Все они согласились, что им предстоит работа в полевых условиях.",1
"Но у них были разногласия по поводу того, типа, кто будет работать в поле, а кто будет работать по хозяйству, и было как-то...","Они не могли договориться о том, кто был рабом на плантации, а кто относился к дому.",0
