premise,hypothesis,gpt_label
"સારું, હું તે વિશે વિચારતો પણ ન હતો, પરંતુ હું ખૂબ નિરાશ હતો, અને, હું તેની સાથે ફરીથી વાત કરવાનું સમાપ્ત કર્યું.",મેં હવે તેની સાથે વાત કરી નથી.,0
"સારું, હું તે વિશે વિચારતો પણ ન હતો, પરંતુ હું ખૂબ નિરાશ હતો, અને, હું તેની સાથે ફરીથી વાત કરવાનું સમાપ્ત કર્યું.",મને એટલો ગુસ્સો આવ્યો કે મેં ફરીથી તેની સાથે વાત કરવાનું શરૂ કર્યું.,2
"સારું, હું તે વિશે વિચારતો પણ ન હતો, પરંતુ હું ખૂબ નિરાશ હતો, અને, હું તેની સાથે ફરીથી વાત કરવાનું સમાપ્ત કર્યું.",અમારી ખૂબ જ સારી વાતચીત થઈ હતી.,2
"તેઓએ મને કહ્યું કે, ઉહ, કે મને એક માણસમાં બોલાવવામાં આવશે મારા મળવા માટે અંતે.",મને કોઈને મળવા માટે કશું કહેવામાં આવ્યું નથી.,2
"તેઓએ મને કહ્યું કે, ઉહ, કે મને એક માણસમાં બોલાવવામાં આવશે મારા મળવા માટે અંતે.","મને કહેવામાં આવ્યું હતું કે, મને મળવા માટે એક વ્યક્તિને બોલાવવામાં આવશે.",0
"તેઓએ મને કહ્યું કે, ઉહ, કે મને એક માણસમાં બોલાવવામાં આવશે મારા મળવા માટે અંતે.",છોકરો થોડો મોડો આવ્યો.,1
ત્યાં ઘણું છે જે વિશે તમે વાત કરી શકો છો કે હું તે છોડીશ.,તે વિશે હું જે જાણું છું તે હું તમને કહેવા માંગું છું!,1
ત્યાં ઘણું છે જે વિશે તમે વાત કરી શકો છો કે હું તે છોડીશ.,"હું તે વિશે વાત કરીશ નહીં, તેમ છતાં ત્યાં આવરી લેવા માટે ઘણું છે.",1
ત્યાં ઘણું છે જે વિશે તમે વાત કરી શકો છો કે હું તે છોડીશ.,"હું શહેરના ઈતિહાસ વિશે વાત નહીં કરું, કારણ કે ત્યાં કહેવા માટે ઘણું છે.",0
તેથી મને ખાતરી નથી શા માટે.,તેનું કારણ હું ચોક્કસ જાણું છું.,2
તેથી મને ખાતરી નથી શા માટે.,મને ખબર નથી તેણે શા માટે સ્કૂલો ટ્રાન્સફર કરી.,1
તેથી મને ખાતરી નથી શા માટે.,આવું કેમ થયું તેની મને ખબર નથી.,0
"હું એકલો જ હતો જે, લઘુચિત્ર ઊંચાઇ ચેમ્બરમાં પરીક્ષણ માટે નિયંત્રકો ચલાવે છે.",પરીક્ષણ માટે નિયમનકારોને ચલાવવાનું મને એકલું પસંદ નહોતું.,2
"હું એકલો જ હતો જે, લઘુચિત્ર ઊંચાઇ ચેમ્બરમાં પરીક્ષણ માટે નિયંત્રકો ચલાવે છે.",લઘુચિત્ર ઊંચાઇ ચેમ્બરમાં પરીક્ષણ કરવામાં આવ્યું હતું.,0
"હું એકલો જ હતો જે, લઘુચિત્ર ઊંચાઇ ચેમ્બરમાં પરીક્ષણ માટે નિયંત્રકો ચલાવે છે.",અમારામાંથી કેટલાક હતા જે પરીક્ષણ માટે નિયમનકારોને ચલાવતા હતા.,2
"હું ઉહ, ચીફ માસ્ટર સાર્જન્ટ, નિવૃત્ત, જેમ કે રિક કહ્યું હતું.",હું હજુ પણ કામ કરી રહ્યો છું.,2
"હું ઉહ, ચીફ માસ્ટર સાર્જન્ટ, નિવૃત્ત, જેમ કે રિક કહ્યું હતું.",હું ૨૦૦૨માં નિવૃત્ત થયો.,1
"હું ઉહ, ચીફ માસ્ટર સાર્જન્ટ, નિવૃત્ત, જેમ કે રિક કહ્યું હતું.",રિક તમને કહ્યું હતું કે હું નિવૃત્ત થઈ ગયો છું.,0
"ત્યાં મારા ડેસ્ક પર કેટલાક રોકડ પ્રવાહ અનુમાનો છે અને, ઉમ, તે આવા અને આવા ક્યુટી માટે છે, તે ક્લાયન્ટનું નામ છે.",કેટી નામનો ક્લાયન્ટ દર મહિને $10000 કમાય છે.,1
"ત્યાં મારા ડેસ્ક પર કેટલાક રોકડ પ્રવાહ અનુમાનો છે અને, ઉમ, તે આવા અને આવા ક્યુટી માટે છે, તે ક્લાયન્ટનું નામ છે.",ત્યાં એક ક્લાયન્ટ છે તેનું નામ Cutty છે.,0
"ત્યાં મારા ડેસ્ક પર કેટલાક રોકડ પ્રવાહ અનુમાનો છે અને, ઉમ, તે આવા અને આવા ક્યુટી માટે છે, તે ક્લાયન્ટનું નામ છે.",અમારી પાસે કુટ્ટી નામના કોઈ ક્લાયન્ટ નથી.,2
જે છોકરી મને મદદ કરી શકે છે તે સમગ્ર શહેરમાં છે.,એ છોકરી જે મને દૂર રહેવાની જરૂર છે.,1
જે છોકરી મને મદદ કરી શકે છે તે સમગ્ર શહેરમાં છે.,જે છોકરી મારી મદદ કરવા જઈ રહી છે તે 5 માઇલ દૂર છે.,1
જે છોકરી મને મદદ કરી શકે છે તે સમગ્ર શહેરમાં છે.,મને મદદ કરનારું કોઈ નથી.,2
"પરંતુ તેઓ વિભાજિત હતા જેમ કે ક્ષેત્રના હાથ કોણ હતા અને ઘરના બાળકો કોણ હતા, તે એક પ્રકારનું હતું -",તેઓ બધા સંમત થયા કે તેઓ બધા ખેતરમાં કામ કરશે.,2
"પરંતુ તેઓ વિભાજિત હતા જેમ કે ક્ષેત્રના હાથ કોણ હતા અને ઘરના બાળકો કોણ હતા, તે એક પ્રકારનું હતું -",તેઓ સહમત ન હતા કે કોણ ફીલ્ડ હેન્ડ છે અને ઘરમાં કોણ છે.,2
"પરંતુ તેઓ વિભાજિત હતા જેમ કે ક્ષેત્રના હાથ કોણ હતા અને ઘરના બાળકો કોણ હતા, તે એક પ્રકારનું હતું -",તેઓ સહમત ન હતા કે કપાસના ખેતરમાં કોણે કામ કરવું જોઈએ અને કોણે માળ સાફ કરવું જોઈએ.,1
"મારો મતલબ કે તેમને ફક્ત પાંચ બાળકો હતા, તેમાંથી એક મૃત્યુ પામ્યો.",બધા બાળકો બચી ગયા.,2
"મારો મતલબ કે તેમને ફક્ત પાંચ બાળકો હતા, તેમાંથી એક મૃત્યુ પામ્યો.",જેમાં પાંચમાંથી એક બાળકનું મોત નિપજ્યું હતું.,0
