text,gemini_reply
"Класс ""MetroPlus"" более комфортабельный и в нем меньше пассажиров, но он немного дороже, хотя его стоимость всё равно дешевле, чем цена обычных билетов на метро в Европе.","travel
"
Может потребоваться заполнение бланка в местной полиции или визит в миграционную службу.,"crime
"
"Каждое утро люди покидают маленькие городки в сельской местности, чтобы поехать на свое место работы, а мимо них проезжают те, чье место работы находится в месте из которого они только что выехали.","geography
"
"Если вы не привыкли ездить по сельским дорогам, будьте начеку: преобладают крутые склоны, узкие переулки и резкие повороты.","travel
"
"Первой известной формой транспорта было передвижение на ногах, люди начали ходить прямо два миллиона лет назад с появлением Хомо Эректус   (что значит человек выпрямленный).","science
"
"Люди, планирующие пройти операцию по смене пола за границей, должны убедиться, что у них при себе есть действительные документы для обратного пути.","health
"
"В других случаях регистрироваться должны только те, кто останавливается не в местах размещения туристов. Однако, это делает закон намного запутаннее, поэтому выясните детали заранее.","travel
"
"Путешествуя впервые по одной из развивающихся стран или попадая в ту часть света, где вы раньше не бывали, будьте готовы в возможному сильному  культурному потрясению.","travel
"
"Для женщин: всем туристкам рекомендуется говорить, что они замужем, независимо от их настоящего семейного положения.","travel
"
"Помимо ограничений, связанных с дороговизной и необходимостью физической подготовки, есть и сезонные ограничения. Они возможны только летом — с ноября по февраль — охватывают в основном территории полуострова, островов и море Росса.","geography
"
Посещение этого места можно удобно совместить с лодочной прогулкой по озеру.,"travel
"
"Просьба помнить, что ты, в принципе, находишься на месте братской могилы, а также месте, которое является неописуемо важным для немалого процента обитателей земного шара.","religion
"
"Будьте уверены, как только вы доберетесь до причала, все станет вполне очевидно. Вы встретите других лодочных автостопщиков, и они поделятся информацией с вам.","travel
"
"Аналогичным образом, если у вас есть шенгенская виза, вам не нужно подавать заявление на получение визы в каждую из стран-участниц Шенгенского соглашения отдельно, что позволит вам сэкономить время и деньги, а также избежать бумажной волокиты.","travel
"
"Это можно сделать на обычном автомобиле с тщательным планированием, но настоятельно рекомендуется полноприводный автомобиль, так как до многих мест можно добраться только на машине с полным приводом и высокой колёсной базой.","travel
"
"На ледяной и снежной дороге трение низкое, и вы не сможете вести машину так же, как на обычном асфальте.","nature
"
"Маршрутка — это быстрый и удобный способ добраться до таких близлежащих мест, как Паро (150 нгултрумов) и Пунакха (200 нгултрумов).","travel
"
"Вчера Twin Otter уже пытался зайти на посадку в Кокоде как рейс CG4684 компании Airlines PNG, но не смог завершить попытку.","disasters
"
"На ночных поездах со спальными местами паспорта могут собираться проводником, чтобы не прерывать ваш сон.","travel
"
"Согласно плану мост полностью войдёт в эксплуатацию  в сентябре 2017 года, когда бразильские пункты таможенной проверки, как ожидается, будут завершены.","business
"
Ни один альянс авиакомпаний не выполняет все три трансокеанских перелета в Южном полушарии (а SkyTeam не выполняет ни одного).,"travel
"
"Находясь в этой зоне, вы обычно можете пересекать границу, не проходя снова через пункты паспортного контроля.","travel
"
"Хотя вам может показаться, что логичнее присоединиться к авиакомпании, рейсами которой вы летаете чаще всего, следует иметь в виду, что предлагаемые привилегии часто различаются, и другая авиакомпания из того же альянса может оказаться более щедрой при раздаче баллов в рамках программы поощрения часто летающих пассажиров.","travel
"
"Только несколько авиакомпаний всё еще предлагают тариф при утрате родственника, немного удешевляющий стоимость полёта на похороны, заказанного в последний момент.","travel
"
Туристы могут посетить различные достопримечательности отдельной страны или же сосредоточить своё внимание лишь на одной области.,"travel
"
"Остров Боуэн – популярное направление для однодневных поездок или экскурсий на выходные, где можно кататься на каяках, ходить в походы, посещать магазины и рестораны и многое другое.","travel
"
"Путешествие на самолёте может оказаться пугающим для человека любого возраста и социального статуса, особенно если это его первый полет в жизни или если у него в прошлом было какое-либо травмирующее событие.","health
"
"Словом, использование личного автомобиля это прекрасный способ совершать поездки, что само по себе редко является причиной ночёвок на открытом воздухе.","travel
"
"Регистрация является дополнительным требованием для получения визы. В некоторых странах вы должны зарегистрировать в местных органах власти своё присутствие и адрес, по которому будете проживать.","travel
"
Внутренние водные пути могут стать хорошей темой для проведения какого-либо праздника.,"travel
"
"Ношение вещей за других. Никогда не оставляйте свои сумки без присмотра, особенно при пересечении международных границ.","travel
"
"Викинги использовали русские водные пути, чтобы добраться до Чёрного и Каспийского морей. Часть этих маршрутов могут использоваться и сейчас. Проверьте, требуются ли специальные разрешения, которые трудно получить.","travel
"
"Особенно в первые дни рассмотрите возможность потратиться на хорошие отели в западном стиле, а также на еду и услуги высокого качества, чтобы вам было легче акклиматизироваться.","travel
"
"Граждане Кубы, являющиеся владельцами американской грин-карты, должны посетить консульство Эквадора для получения освобождения от этого требования.","politics
"
"Ожидается, что большинство билетов на мероприятия будет стоить от 2 500 до 130 000 иен, со стандартной ценой билета около 7 000 иен.","entertainment
"
