question,gemma3_answer
"Kwa mujibu wa kifungu hiki, ni kipi ambacho hakiwezi kuchukuliwa kama kidokezo sahihi cha kufaulu katika kucheza kodiani?",1
"Unapocheza kodiani, ni ipi kati ya zifuatazo itasaidia kuongeza sauti?",1
Kwa nini picha kwenye televisheni hukatwa kwenye kingo zao?,2
"Kwa mujibu wa kifungu hiki, ni shida gani kati ya zifuatazo zinaweza kutokea katika kubadilisha sinema kwenda kwa muundo wa DVD?",2
Ngome ya uingereza ilikuwa wapi?,3
Ni sahihi ya nani iliwekwa kwenye rasimu iliyoandikwa kwa hati ya mkono?,4
"Kati ya maeneo haya, ni yapi yalikuwa ya mwisho kupokea vikaratasi vya Dunlop?",3
Majeshi ya Colonel Stark yalikuwa wapi?,1
"Kwa mujibu wa kifungu hiki, wanaume wa Stark waliendeleza lini ua lao?",3
"Kwa mujibu wa kifungu hiki, ni enzi gani kati ya hizi ndiyo ilikuwa ya vita vikali zaidi?",4
"Kwa mujibu wa kifungu hiki, ni ipi kati ya zifuatazo ni kweli kuhusu makoloni ya siafu yanayoingia awamu ya kuhamahama?",2
"Kwa mujibu wa kifungu hiki, ni kauli gani inaeleza vyema tabia za kuishi za makoloni ya siafu katika awamu ya kuhamahama?",3
Ni ipi kati ya zifuatazo itaendelea bila kujalisha uwepo wa ishara za nje?,3
Ni neno gani linaeleza viumbe ambavyo vinaonyesha tofauti za tabia fulani ya kimaumbile?,4
"Je, ni istilahi gani kati ya zifuatazo ni sahihi kwa viumbe wanaoishi eneo fulani?",2
"Kati ya zifuatazo, ni ipi sio mfano wa shughuli za utalii wa asili?",3
"Kwa mujibu wa kifungu hiki, ni ipi kati ya zifuatazo ni msingi wa mfumo wa usafiri?",2
Chembe zinazozunguka nyuklia zina chaji gani?,3
Nyuklia ina chembe gani?,1
"Kwa mujibu wa kifungu hiki, ni ipi kati ya zifuatazo ni mfano wa takwimu jozi ya biti tano?",3
Takwimu jozi pia huitwa vipi?,1
Ni yapi kati ya yafuatayo hayajatajwa katika kifungu kama manufaa ya msingi ya kuandika blogu kwa wanafunzi?,2
Ni kipengele kipi kati ya vifuatavyo kuhusu kuandika blogu kinatajwa kuwa kichocheo cha wanafunzi kuboresha ujuzi wao wa kuandika?,2
Ni ipi kati ya zifuatazo sio manufaa ya mawasiliano ya kisolandanifu kwa wanafunzi? ,2
"Kwa mujibu wa kifungu, ni kipengele kipi kati ya vifuatavyo vya mawasiliano ya kisolandanifu si huru kwa wanafunzi?",2
Ni jibu gani halijatajwa katika kifungu kama kitu ambacho kinaweza kuhusishwa na maksari ya zama za kati?,4
"Kati ya zifuatazo, ni ipi haijatajwa katika kifungu kama harufu au sauti ambayo inaweza kuwaziwa kwenye magofu ya ngome?",3
Ni maelezo yapi kati ya yafuatayo ni sahihi kuhusu Ngome ya Kirby Muxloe?,2
