question,gemma3_answer
Kaj glede na odlomek ne velja za pravilen nasvet za uspešno igranje harmonike?,1
Kaj od naslednjega pomaga povečati glasnost pri igranju harmonike?,1
Zakaj imajo podobe na televiziji odrezane robove?,2
Na katero od naslednjih težav lahko glede na odlomek naletimo pri pretvarjanju filma v format DVD?,2
Kje se je nahajala britanska garnizija?,3
Čigav podpis je bil na ročno napisanem osnutku?,4
Na katero od naslednjih lokacij je Dunlapov letak prispel nazadnje?,3
Kje so bile nameščene čete polkovnika Johna Starka?,1
Kdaj so glede na odlomek Starkovi možje dogradili ograjo?,3
Katero od naslednjih obdobij je bilo glede na odlomek eno najbolj nasilnih na Kitajskem?,4
"Kaj glede na odlomek velja za kolonijo bojnih mravelj, ki prehajajo v nomadsko fazo?",2
"Katera trditev glede na odlomek pravilno povzema gnezdilne navade, ki jih imajo kolonije bojnih mravelj v nomadski fazi?",3
Kaj od naslednjega se nadaljuje kljub prisotnosti zunanjih dražljajev?,3
"Kateri izraz označuje posameznike, ki kažejo variacije določene fenotipske značilnosti?",4
"Kaj od naslednjega je pravilen izraz za organizme, ki bivajo na določenem območju?",2
Kaj od naslednjega ni primer naravne turistične dejavnosti?,3
Kaj od naslednjega je glede na odlomek podlaga transportnega sistema?,2
"Kakšno vrsto naboja imajo delci, ki krožijo okrog jedra?",3
Kateri delci sestavljajo jedro?,1
Kaj od naslednjega je glede na odlomek primer 5-bitnega dvojiškega števila?,3
Kako se še imenujejo dvojiške števke?,1
"Kaj od naslednjega ni omenjeno v odlomku kot glavna korist, ki jo imajo učenci od pisanja spletnih dnevnikov?",2
"Kateri od naslednjih vidikov spletnih dnevnikov se navaja kot spodbuda učencem, da izboljšajo svoje pisne spretnosti?",2
"Kaj od naslednjega ni korist, ki jo imajo učenci od asinhrone komunikacije? ",2
Katerega od naslednjih dejavnikov asinhrone komunikacije glede na odlomek učenec ne more prilagajati?,4
"Kaj v odlomku ni omenjeno kot nekaj, kar bi lahko povezovali s srednjeveškimi gradovi?",4
