question,gemma3_answer
"अनुच्छेदनुसार, कुन सुझावलाई राम्रोसँग अकोर्डियोन बजाउने सही सुझाव मानिँदैन?",1
"अकोर्डियोन बजाउँदा, निम्नमध्ये कुन कुराले भोल्यूम बढाउन मद्दत गर्ने छ?",2
टेलिभिजनमा देखाउने छविहरूको बोर्डर किन काटिएको हुन्छ?,2
"अनुच्छेदनुसार, चलचित्रलाई DVD ढाँचामा रूपान्तरण गर्दा निम्नमध्ये कुन समस्या देखिन सक्छ?",2
ब्रिटिश ग्यारिसन कहाँ अवस्थित थियो?,3
हस्तलिखित ड्राफ्टमा कसको हस्ताक्षर देखिएको थियो?,4
"निम्न स्थानहरूमध्ये, पछिल्लो पटक डनलप ब्रोडसाइड कहाँ आइपुगेको थियो?",3
कर्नल स्टार्कको सेना कहाँ थियो?,4
"अनुच्छेदनुसार, स्टार्क मेनले कहिले आफ्नो फेन्स विस्तार गरे?",3
"अनुच्छेदनुसार, तलका मध्ये कुन चीनको सबैभन्दा हिंसात्मक युग थियो?",4
अनुच्छेदनुसार आर्मी एन्ट कोलोनी नोम्याडिक चरणमा प्रवेश गरेको कुरा सत्य हो?,2
अनुच्छेदनुसार नोम्याडिक चरणमा कुन कथनले आर्मी एन्ट कोलोनीहरूका गुँड बनाउने बानीलाई सही रूपमा प्रतिबिम्बित गर्छ?,3
अर्जेन्टिना थिएटरमा क्रिस्टिना फर्नान्डेज डे किर्चनरले के घोषणा गर्नुभयो?,1
क्रिस्टिना फर्नान्डेज डे किर्चनरले आफूले कहाँबाट उम्मेदवारी दिने घोषणा गर्नुभयो?,3
बिग ब्रदरको सन्दर्भमा ACMA को निष्कर्ष के निस्कियो?,1
इन्टरनेट सामग्री विचार गर्नका लागि मिडियाअन्तर्गत कस्ता प्यारामिटरहरू हुनुपर्छ?,2
अष्ट्रेलिया लिबरल पार्टीका नेता को हुन्?,1
अष्ट्रेलियामा पहिले नै किन परमाणु ऊर्जा उद्योग छैन?,1
गाइडहरूको सहयोगमा कुन स्कीयर सम्पन्न भयो?,3
कुन देशले महिला स्थायी वर्गका लागि सुपर-G मा दशौं स्थान हासिल गर्‍यो?,2
"अनुच्छेदनुसार, ब्लेकका बारेमा भनेको कुन कथन ठिक छैन?",2
"अनुच्छेदनुसार, तलकोमध्ये कुन ब्लेक गरिएको थिएन?",3
