question,gemma3_answer
"Kolanda maloba wana, nini ekoki te kondimama lokola sekele pona kobeta accordeon malamu?",4
"Tango ozali kobeta accordeon , nini na kati na mae malandi ekosunga komatisa volime?",3
Pona nini foto ya television bandelo na yango ya suka ekatemi?,2
"Kolanda maloba wana , likama nini kati na mae malandi oyo moto akoki kokutana na yango tango azali kobongola filme na lolenge ya DVD?",1
Mapinga ya Grande Bretagne ezuamaki na esika nini?,3
Mokoloto ya nani ezuamaki na mokanda oyo ekomami na maboko?,1
"Na kati ya bisika mae malandi , Dunlap broadside ekomaki wapi pona mbala ya suka?",3
Mapinga ya Colonel Stark ezuamaki na esika nini?,1
"Kolanda maloba wana , na tango nini bato ya Stark bakobisaki kimolai ya efelo na bango?",1
"Kolanda maloba wana, eleko nini na kati ya mae malandi ezalaki ya mabe koleka na mboka Chine?",4
"Kolanda maloba wana , bosolo ezali nini na mae matali libota ya bafourmis na ngonga batambolaka kokende bisika misusu?",3
"Kolanda maloba wana, maloba nini esosolisi malamu bizaleli ya bituluku ya bafourmis na ngonga batambolaka kokende bisika misusu?",1
Nini na kati ya mae malandi ekokoba atasoki ba molongo ezali?,1
Maloba nini elimboli malamu bato oyo bazali komonisa bilembo ya kolandana?,4
Maloba nini na mae malandi ekokani na ba organes oyo evandi na esika songolo pakala?,4
Nini na mae malandi ekoki te kozala Bozalisi ya nature ?,4
"Kolanda maloba wana, nini na mae malandi ezali motuya pona lolenge ya transport?",2
Biteni oyo ezalaka nzinganzinga ya nucleus ezali na courant ya lolenge nini?,1
Nucleus ezalaka na biteni boni?,1
"Kolanda maloba wana, na mae malandi nini ezali ndakisa ya botangi oyo ezali ya mitango binaire?",1
Kombo mosusu ya mitango ezalaka nini?,1
Nini na mae malandi ezali te kati ya litomba pona moyekoli kokoma na internet ?,4
Na mae matali kokoma na internet nini elobami kotinda bayekoli pona komatisa lolenge na bango ya kokoma?,1
Nini na kati ya mae malandi ezali te litomba ya kosolola asynkrone pona bayekoli? ,1
"Kolanda maloba wana, eteni nini ya kosolola asynkrone ezali pete te pona bayekoli?",1
Na maloba wana nini etangemi te lokola eloko oyo moto akoki kokokanisa yango na ba ndako ya medieval ya kala?,3
Na maloba wana nini na mae malandi epatami te lokola solo to mongongo oyo ekoki kondimama kozala bobebi ya ndako?,1
Nini na mae malandi elimboli malamu ndako ya Kirby Muxloe?,2
Lolenge nini elakisi ete botongi ya ndako Kirby Muxloe ezalaki ya bokeseni na tango ya kala oyo elobami na maloba wana?,4
"Kolanda maloba wana, nini na mae malandi ekoki kozala litomba monene pona atlete oyo azali kolengela saison?",4
"Kolanda maloba wana, nini ezali ya motuya mingi pona atlete ya malamu ya half-mile?",3
"Pona atlete , na mae malandi nini ekoki te kozuama kaka na nzela ya koliya malamu?",3
"Kolanda maloba wana, na mae malandi toli nini oyo epesameli te na baatletes ya mikie mpona kozua esengo na spor na bango?",1
"Kolanda maloba wana, pona nini atlete ya course ya distance ndambu akoki kosomba esaleli ya talo mingi?",3
"Kolanda maloba wana, course ya distance ndambu esengi nini?",1
Nani amonaki résonance magnétique nucléaire liboso? ,3
Na mbula nini diplome ya yambo epesamaki pona bilili na résonance magnétique ? ,4
"Kolanada maloba wana, esengeli na bato kososola eloko nini makasi mingi pona kolimbola bizaleli ya komonana ya bato misusu?",2
"Kolanda maloba wana, kososola ntina esungaka bato pona kosala nini?",4
"Kolanda maloba wana, nini kati ya mae malandi na kimukuse ekokani na litomba monene ya AI?",1
"Kolanda maloba wana, nini na mae malandi oyo elandana mingi na AI?",2
"Kolanda maloba wana, nini na mae malandi ezalaka makasi ya moto oyo azalaka na ndenge ya kokanisa",1
"Kolanda maloba wana, nini na mae malandi endimami te kotalela makasi ndenge ya kokanisa?",1
"Kolanda maloba wana, nini na mae malandi ekoki te kondimama lokola micro-expresion?",1
Na maloba ya bolimboli micro-expresion mae malandi nini ezali solo te?,3
Na mae malandi nini ekomaki ya motuya mingi kouta na Renaissance? ,1
"Kolanda boyei ya kobotama lisusu , eloko nini na mae malandi ezuamaki lisusu na litomba mingi te?",1
Na mae malandi nini emonisi te ntina ya kosalela internet pona bokobi ya ba relations ?,4
Na mae malandi nini emonisi te ntina ya kosalela internet pona makambo ya moto yemoko?,1
Na ngonga nini Erope ya Est etikaki kolanda makasi bizaleli ya basusu mpe kobanda kosala makambo lolenge na yango moko?,2
Kosalela babutons pona kokanga bilamba ezalaki eyano kouta wapi? ,3
"Kolanda maloba wana, na mae malandi nini ezuami kozala eyano pona ngonga molai na mae matali mikakatano ya esika tofandaka?",3
"Kolanda maloba wana, kati ya biyano elandi eyano nini ekoki te kondimama lokola eyano pona ngonga mokuse na mikakatano ya esika tofandaka?",2
Na Mboka nini bitumba ebandaki liboso na Erope oyo likambo ya makasi ezalaki kowela kibokonzi koleka makambo ya mangomba ?,4
Etumba nini tango mosusu ezuamaka lokola “etumba ya mangomba” ya suka?,1
Na mae malandi eteni nini ya Lingomba Katolike ezalaki kotalema te?,3
"Kolanda maloba wana, nani babomaki ye na Versailles?",2
Kati ya mae malandi nini oyo etuluku ya bato etindaki te mokonzi mpe mwasi naye basala na makasi?,1
Na mae malandi nini ezalaki te na kati ya boyokani ya Mboka Grande Bretagne pona Bitumba ya masuwa?,1
Maloba nini elobi malamu te lolenge oyo Grande Grande Bretagne epekisaki bamasuwa ya Alemagne ?,4
"Kolanda maloba wana, epai na nani bokono ya sclérose en plaques ekoki kozuama ?",1
"Kolanda maloba wana, bato basalaka mosala ya mbala na mbala basengeli na lisungi pona nini?",1
"Kolanda maloba wana, masano ya escrime ebetamaka ndenge nini?",1
"Kolanda maloba wana, na mae malandi nini ekoki kozala elembo makasi kolakisa ngenge ya kati ya nzoto?",3
"Kolanda maloba wana, nini ezali eloko ya yambo oyo esengeli kosala na ngonga ya kosunga victime?",3
Na maloba mae malandi nini ekokani te na lolenge ya kotala position ya victime?,3
Na kati ya BaMbongwana oyo botomboki ya ba Francais ememaki nini esalaki bokeseni makasi na bato oyo basalaka mosala?,2
"Kolanda botomboki ya ba francais, elonga kati ya mapinga mpe na misala misusu ekokaki kozala penza te na pona nini?",2
Mosala nini ya leta oyo elobami kosala bato kozanga esengo na ba mboka oyo ekoba liboso?,3
"Kolanda maloba wana, nini ekoki kolobama na mae malandi transport pona bato nyonso?",1
"Kolanda maloba wana, na mae malandi ekoki kozala makasi pona komeka kolanda bizaleli makasi ya bakumbi mituka.?",3
Na mae malandi nini oyo esalemaka mingi na nzela ya mathematique pona kolakisa lolenge mituka etambolaka?,3
Hershey na Chase bamekaki nini pona kolona ADN nabango? ,1
Makoki mpo mbongwana epesama na bana elandani na nini?,1
"Kolanda bansango ebele oyo epesami na maloba wana, bizaleli nini ebele oyo mbongwana etalelaka te?",1
Na mae malandi nini oyo ezali te kati ya bantina pona nini bakoko ya kala babatelaki bantaba?,1
Litomba ya golf ezali kozua nini mukie?,4
"Na terain golfe , matiti ekatemaka mukuse mingi na esika nini?",1
Litomba monene ya komekameka ezali nini?,1
"Kolanda maloba wana, nini esungaka te bolukiluki ya siansi?",1
"Kolanda maloba wana, maloba nini na mae matali mpela ezali ya solo te?",1
"Kolanda maloba wana, maloba nini kati ya mae malandi esosolisi malamu ba mpela ebele?",2
Kati na mae malandi bato ba bandaki kosala nini na ekeke ya 16?,4
Pona ngonga boni bato basili kokokomisa biloko mineneminene na nzela ya maneti?,4
"Kolanda maloba wana, libulu ya Muhammad elobi nini na mae matali mimesano naye ya kimolimo to bizaleli ya malamu?",4
"Kolanda maloba wana, libende ebandaki kosalema yambo mpona bosenga nini?",1
"Kolanda maloba wana, pona nini nzela ya engbunduka ya mabaya embongwanaki pona kotiya nzela ya engbunduka ya mabende?",2
"Kolanda maloba wana, na tango ya BaRoma nini emonisaki bato lolenge ya kozala?",1
Na mae malandi nini elobi malamu te makanisi munene ya mayele ya determinisme ? ,1
"Kolanda moloba wana, kati ya mae malandi nini oyo elandani te na bobendi bow?",2
"Kolanda maloba wana, kati ya mae malandi nini ekokani na mongongo ya malamu mingi?",1
Mikwa ya kala emonisi maboko ekomaki kosalema mpona motindi nini kati ya mae malandi?,3
Na mae malandi nini elobeli malamu baphalanges ya mokomboso ? ,1
Boponami elongolaka variation genetique na pole nini?,1
Eteni nini esali ete kobongwana genetique ebakisama?,3
"Kolanda bansango na maloba wana, na mae malandi nini oyo esengeli nyama primate aliya pona kosilisa “likambo ya vitamine?”",3
"Kolanda maloba wana, kati ya makambo oyo elandi likambo nini esalemaka te pona kozanga aside amino ya ntina?",1
Lolenge nini bakitani ya molende mbala na mbala bamonisaka kozala nabango kati ya likita?,4
"Kolanda lisolo oyo epesami na maloba wana, nini ekoki kokomela mwana oyo azali konyokwama na likama ya rasisme oyo azali komonana na bizaleli ya matata.",2
"Kolanda na maloba wana, mwana oyo azali na boyebi ya makambo ya rasisme akoki kozala na bizaleli nini kati ya mae malandi?",4
"Kolanda maloba wana, na mae malandi nini ekoki te komonana bokolisi ya mwana “feral” to mwana ya zamba?",3
"Kolanda maloba wana, kati ya mae malandi nini elimboli malamu bizaleli ya zamba na bana ?",1
"Kolanda maloba wana, na mimesano oyo elandi ya wapi ekokani te na boloni oyo babengaka « agriculture de subsistance » ?",1
Na mae malandi nini elimboli malamau bizaleli ya agriculture de subsistance ?,1
Kokende na musee ekoki kozala na lolenge nini ya tourisme?,3
"Kolanda maloba wana, nini ekoki kozala ya litomba pona basali mobembo ya tourisme ya recreation?",1
Nini epatemi na kati ya maloba wana lokola eloko oyo esungaki pona kokitisa kobanga mbongwana na kati ya lingomba ya esika?,1
"Kolanda na maloba wana, kozua bososoli ya lisaponge nayo ekosunga moto na nini?",2
Na maloba mae malandi ya wapi elimboli malamu mayele ya koyekola oyo ebengami postmoderne?,2
Maloba nini na mae malandi elimboli malamu te mayele ya koyekola oyo ebengami post modern learning approach ?,3
"Sima ya kolamuka yomoko na ngonga ya pongi, nini na mae malandi ekoki kosala eloko somgolo pakala na eteni ya bokati pongi?",2
Nini na mae malandi ekokani te na bolimboli ya kokata pongi?,1
"Na tango boongo ezali komeka kozua ba ndoto ya malamu mingi mingi, nini ebakisamaka?",1
Kozala na ba ndoto ya malamu ebele ekoki kosala nini na nzoto?,1
"Kolanda maloba wana, ekipe ya komonana na ekipe ya komonana te ekokani lolenge nini?",3
"Kolanda malaoba wana, maloba nini ezali ya solo te na mae matali ekipe yakomonana te na ya komonana?",3
Nini na mae malandi ezali te eloko oyo mateya ya bolukiluki etalelaka?,3
Kati na mae malandi nini oyo ezali te elongo na rule of third?,3
Nini na mae malandi ekoki te kolimbola format 35mm ya foto ?,4
"Kolanda maloba wana, lolenge basali bazali komatisa qualite yakosala ba camera digital, lolenge nini zoom ekomi malamu?",3
"Kolanda bansango ya maloba wana, ngonga nini camera ya zoom ekoki kolingama koleka camera fixe?",1
Na mae malandi nini ekoki te kozala bolimboli ya solo ya Mysticisme?,1
"Kolanda maloba wana,nini na mae malandi ezali te motuya ya Mysticisme ?",4
"Kolanada maloba wana, lnani akokaki kobanda lisanga ya baloni bilanga?",2
"Kolanda maloba wana, lisanga oyo ebundisaki Bamaos bazalaki bato ya yambo kobika na esika nini ?",4
Na lolenge nini bosaleli ya Pureland method ya origami epesi litomba na mazita?,1
Na mae malandi nini oyo elimboli malamu te Pureland Origami?,1
"Kolanda maloba wana, esika nini oyo elandani te na civilization Indus Valley ?",2
Kombo nini oyo ekoki te kozala kombo ya Civilization ya Mbula ya Bronze lolenge elobami na maloba wana,1
"Kolanda maloba wana, nini na mae malandi epesaka litomba ya ngonga molai?",1
"Kolanda maloba wana, na mae malandi nini oyo moto akoki kotalela lokola eloko ya motuya mingi soki mposa naye ezali ya kozua litomba nokinoki?",1
"Kolanda maloba wana, nani afutaki mbongo ebele ya Bitumba?",2
Tango nini eyaki liboso ya mbula Templiers?,3
Tango nini nde eyaki yambo sima ya mbula ya baTempliers?,3
Lolenge nini ya kobikisa to lolenge ya minganga kosala oyo elobami te kosalema na minganga na tango ya Kibokonzi ya Roma?,4
"Kolanda maloba wana, na mae malandi nini elobami te kozala na kati ya makambo ya bokolisi ya kimonganga oyo esalemaki na tango ya Bokonzi ya Baroma ?",1
Makoki pona komona etali eloko nini?,1
Mbongwana na biteni ya miso na kati ya baoraganismes ya nzoto etalelaka nini?,1
"Kolanda maloba wana, maloba nini pona mae matali bondimi ya Sikhisme elimboli yango malamu te?",1
"Kolanda maloba wana, na mae malandi nini ezali lokola eloko ya motuya mingi na lingomba ya Sikhisme ?",1
"Kolanda maloba wana, bana oyo bazali na bokono ya kozanga kotia likebi bazalaka na mikakatano pona kotiya likebi na nini?",3
"Kolanada maloba wana, pona nini bana ya Maladi ya kozanga kotia likebi balingaka kozala na bizaleli ya makama?",1
"Kolanda bansango na maloba wana, na bandakisa mae malandi ndakisa nini oyo ezali ya échafaudages te ?",1
Na mae malandi nini elimboli malamu te likambo ya échafaudages ?,4
"Kolanda maloba wana, eteni nini ya Myspace ekoki kosalisa moyekoli oyo azali na mikakatano pona kotanga?",1
"Kolanda maloba wana, na mae malandi nini ezalaki te kati ya biyano ya Krushchev na botomboki ya bato ya mosala",4
Na mae malandi nini ezalaki te kati ya bantina ya botomboki na Mboka Pologne?,2
"Kolanda maloba wana, na mae malandi nini esalaki mabe te na boyokani kati ya URSS na USA to Mboka Amerika?",3
Na mae malandi nini elimboli malamu te litomba ya kotinda basango na bansinga ya boongo na nzoto?,3
Nini ekoki kozuama na Plateau ya Giza?,4
Litomba ya Pyramide ya munene koleka ezalaki nini?,2
Nani asalaki mayele nabiso ya Arson oyo ebebisaki tempelo?,1
Maloba nini ezali ya solo na mae matali botongi lisusu ya lingomba ya Artemis?,2
"Kolanda maloba wana, tango nini ezalaki nokinoki mingi oyo bikelamu bakokaki kotambola na makolo mibale?",2
Na Bikelamu oyo nani abandaki kotambola na makolo mibale na ngonga nyonso?,1
Masuwa ya Alemgne ebandaki komeka kosala nini na tango ya Etumba WWII?,1
"Kolanda bansango oyo epesami na maloba wana, nani alongaki makasi na etumba ya mai na Campagne ya Atlantique ya nordi?",2
Na tango ba Asyriens babandaki kosalela Calvary nini ezalaki naino te na tango wana?,1
Bitumba oyo esalelaka ba cavaliers ebundanaka lolenge nini?,3
"Kolanda maloba wana, na esika nini okoki te kokuta moto simple ya Mboka Babylone?",1
Na mae malandi nini oyo ezalaki kaka pona batumbi mbeka,1
Na tango nini Mokonzi Tutankhamun azuaki lokumu mpe koyebana ?,3
Nini esalaki ete Mokonzi Tutankhamun akoma mokonzi ya Egypte oyo ayebani?,3
Eloko nini poete ya mboka Grece Homer akokaki te?,4
Moto nini kouta Grece oyo ayebani makasi libanda ya mosala ya kokoma?,3
Esika nini libota ya Ba Ebele elekisaki ngonga mingi?,1
Nini oyo ezalaki ya litomba mingi te pona libota ya ba Ebele ?,1
Na mae malandi nini elimbolami malamu te neti bokeseni kati ya bamboka ya skandinave?,3
Nani efandaki na Greenland yambo?,1
Lisanga nini ekoki kolinga koliya ya kotelema kozanga bakiti te?,3
Na Mae malandi nini ekoki kozala te kati ya feti ya Roma ya kala?,4
"Kolanda maloba wana, kati ya mae malandi nini ekoki kozala na litomba ya molai te?",2
"Kolanda maloba wana, nini eyaka yambo ya ekolo?",1
Maloba nini na mae matali The Drukgyal Dzong ezali ya solo te?,1
Maloba nini elimboli malamu litomba ya moto na Drukgyal Dzong?,1
Na maloba malandi pona Mboka Cambodge nini ezali yasolo?,4
Na maloba malandi maloba nini elimboli malamu Bokoti na makasi na mboka Cambodge?,2
Entreprise ya Inde Dutch Est esalaki nini te na tango nabango na Taiwan?,2
Boyokani ya Shimonoseki esalaki nini?,2
Nivo ya pH ya Chimi etalemaka lolenge nini?,1
Nini elongolamaki na kati ya baions Hydrogene?,1
Maloba nini na mae malandi elimboli malamu te Lolendo ya Nkosi?,1
Na mae malandi maloba nini elimboli malamu te ezaleli ya bankosi?,2
Balapins balukamaka lokola bilei mbala ebele pona nani?,1
Baniau ya mike mikie mbala ebele elukaka bilei nini?,1
Na Mae malandi nini ezali te na bizaleli ya BaOcelot na lolenge naye yakoluka bilei?,3
Na mae malandi nini elimboli Ocelot malamu te? ,1
Na mae malandi nini ekoki te kozala eloko ya makasi koleka na bizaleli ya Tigre?,2
"Kolanda maloba wana, bokeseni ya Tigre na Nkosi ezali nini na mae malandi?",1
"Kolanda maloba wana, Robert Hooke asalaki nini yambo ya baBiologists misusu?",1
Ebandeli ya Kombo “cell” to selile elobi nini?,2
"Kolanda maloba wana, banyama mingi bazali na makoki ya kosala nini?",2
"Kolanda maloba wana, banyama misusu bazangaka eloko nini?",2
Nini esungaka banzete na tango ya Photosynthesis?,4
Eloko nini bato babimisaka oyo banzete ezuaka?,4
"Kolanda maloba wana, ndakisa nini na kati ya mae malandi ekoki kopekisa evolution?",2
Na mae malandi maloba nini elimboli eteni ya speciation malamu te ? ,2
Eteni nini ya system ya circulation oyo ememaka makila na motema?,1
Batiyo nini ezalaka ya mukie makasi na system ya circulation?,1
Makoki ya nyama ya mukie emataka na lolenge nini pona kokanga mapapu naye kozongisa sima?,1
Na mae matali makoki ya banyama ya mikie kopunmbwa nini epatami te na mae malandi oyo ekoki kozala affecter na makoki ya nyama ya mukie kopunbwa?,2
Ezaleli nini na mae malandi oyo elandanaka te na BaDinosore?,2
Na mae malandi ezaleli nini oyo ekokani te kati ya bandeke na baDinosore?,3
"Kolanada maloba wana, eteni nini ya nzete ya Cycas oyo Triceratops akoki koliya?",1
"Kolanda maloba wana,Triceratops akoki koliya nini na mae malandi? ",2
"Kolanda maloba wana, na ba Sports elandi sport nini ekoki kozala ya koyebana makasi na biteni ya nordi ya Mboka Itali?",3
"Kolanda bansango epesami na maloba wana, Sport nini na mae malandi elongaki World Championship pona Mboka Itali",1
Biteni misusu ya Luxembourg ekomaki Belgique sima ya likambo nini?,2
Na mae malandi nini epekisaki Luxembourg kozala na katikati?,2
Kilometre carrer boni ya mboka Turquie ezali na Erope?,4
"Kolanda maloba wana, kimolai ya Turquie ezali boni?",1
Lokota ya Latin esalemaka pona nini na Engumba Vatican?,1
"Na Engumba Vatican, lokota ya Itali esalemaka te pona ntina nini?",2
"Kolanda maloba wana, kouta na bosangisi ya mingongo na ba ordinatere ya mindondomindondo nini ekoki kozua litomba?",1
"Kolanda maloba wana, ebeleya bandako ya esika nini emonanaki kozala na ba toilete ya mindele?",1
Na Bisika elandi esika nini bipai ya malamu ya kobwaka mai ya mbindo emonanaki?,2
Na mae malandi nini esalaka patineur kobaluka?,2
"Kolanda maloba wana, nini na mae malandi elimboli malamu libulu na kati ya razwar ya patin ya mikolo oyo?",1
"Kolanda maloba wana, eteni nini esalaka ete Ba Atomes elongola nguya ya koleka ebele na mwinda?",2
Nini etindaka atome kobimisa photon?,2
"Kolanda maloba wana, nini ekoki kopekisa ampule kosala?",3
Na mae malandi nini ekoki kozala likama makasi?,1
"Kolanda maloba wana, nini esalemaka tango neutron ekabwani?",2
Na mae malandi nini elimboli malamu kobenga moto na mosika kozonga nase?,2
Na biloko oyo elandi nini baselalaka pona kotinda telescope na mapata?,2
Nini esengeli koyebana na makambo oyo esalemaka mbala na mbala pona koyeba lolenge tango ezali kokende?,2
"Kolanda maloba wana, eteni nini ya likambo esalemaka pona kokokisa tango?",2
"Kolanda maloba wana, na mae malandi nini ekokani na lolenge ya mokitani ya kiti ya kibokonzi",4
"Kolanda bansango epesami na maloba wana, Charles azalaki moto ya yambo kosala nini?",1
Masuwa Trygvasson fleet ezalaki ya mboka nini?,4
Na ngonga nini ya istware Alemagne ekabolaki makasi bizaleli na mboka estoni ?,2
Lokota ya Estoni ezuaki bizaleli kouta wapi?,2
"Kolanda maloba wana, talo ya bato oyo basololaka lokota ya Hindu ekeseni pona nini?",3
Na mae malandi maloba nini ezali yasolo pona lokota ya Hindu na Urdu?,3
Na mae malandi pona Alphabet Hangeul nini oyo ezali solo te?,2
Alphabet Hunan Jeongeum ebongwanaki kokoma nini?,1
"Kolanda maloba wana, Mokota nini ezuaki bizaleli ya Sanskrit?",4
"Kolanda maloba wana, bosaleli ya Sanskrit ekitaki pona nini?",2
