question,gemma3_answer
"Az alábbiak közül melyik gyorsabb, mint elődei?",1
"Mi szükséges ahhoz, hogy a 802.11n fordított irányban kompatibilis legyen a 802.11b-vel?",1
Hány versenyszámban kellett volna úsznia az olimpiai aranyérmesnek a Nemzetközösségi Játékokon?,4
Miért nem szedett gyógyszert az olimpiai aranyérmes a fájdalmaira?,4
A szöveg szerint mi okozhatta a földrengésekkel kapcsolatos zavart?,1
A szöveg szerint mikor történt a fázisátalakulás?,3
Az alábbi állítások közül melyik nem igaz a Chandrayaan–1 holdszondával kapcsolatban?,1
Az alábbi állítások közül melyik jellemzi pontosan a holdszondát?,2
A szöveg alapján a betegség elleni védekezés mely intézkedését vezetik be utoljára?,1
Hogyan terjed át a betegség az emberre?,1
Milyen eredményre vezethet a második mondattal kapcsolatos kudarc?,2
A szöveg szerint mikor törölték a második mondatot?,1
Kinek szivárogtak ki a „Panama-akták”?,1
A szöveg alapján a brit sajtó szerint ki irányította a vagyon eltitkolására használt cégek nagy részét?,1
Az alábbi repülőgép-balesetek közül melyik járt a legtöbb halálos áldozattal?,1
Az alábbiak közül melyik nem oka az Iránban bekövetkező légi balesetek nagy számának?,2
Az alábbiak közül melyik nem szerepelt az iraki tudományos csoport jelentésében?,2
Az alábbiak közül melyiket nem sürgette jelentésében az iraki tudományos csoport?,1
A rendőrség szerint kit tartottak Provenzano jobbkezének?,2
A szövegben szereplő információk alapján mi volt Falcone halálának oka?,1
Az alábbiak közül melyik nem tartozik a Hitoshi Saito által elnyert elismerések közé?,1
Hol sikerült Iwasakinak elkerülnie a házassági fogadalomtételt?,2
Ki támadt Iwasakira?,2
Mikor fejezte be Alonso a futamot?,1
Miért fejezte be idő előtt a futamot Schumacher?,1
A szöveg szerint kinek a feladata a letartóztatottak óvadékának megállapítása?,4
"A szövegben említett ideiglenes távolságtartási végzés szerint mit kell lehetővé tenni a letartóztatottak számára ahhoz, hogy 24 óránál tovább tartsák őket fogva?",4
A részlet szerint mely indokot nem használták a törölt pótválasztás magyarázatára?,2
Végül miért ítélték szükségtelennek a diplomaták a pótválasztást?,3
Ki/mi nyújt igazságügyi szolgáltatásokat a FATA részére?,2
A FATA „politikai ügynökeire” vonatkozó alábbi kijelentések közül melyik nem igaz?,1
Milyen díjra jelölték Emma Stone-t?,3
Melyik díjra nem jelölték a filmet?,2
Az alábbiak közül mi működött továbbra is a földrengés után?,4
A részlet szerint az alábbiak közül miben keletkeztek károk a földrengés nyomán?,1
A részlet szerint a következő problémák közül mit nem érint a dokumentum?,2
Az alábbiak közül melyik nem mondható Palesztina igényének?,2
Mely országban tanult jogot Ma?,1
A részlet szerint mely ország iránti támogatása segítette Ma választási győzelmét?,4
"A részlet szerint hol dolgozott Carolyn Wilson, mielőtt elhagyta a várost?",3
Négy futammal a szezon vége előtt ki áll a negyedik helyen a pilóták bajnokságában?,4
A részletben említett versenyt követően hány ponttal rendelkezik Kahne a pilóták bajnokságában?,1
"A részlet szerint hányszor figyeltek meg lezuhanó meteoritokat, amelyekről később kiderült, hogy marsi eredetűek?",2
"A részlet alapján mi igaz azokra a kövekre, amelyek bizonyíthatóan a Marsról származnak?",4
Mikor vonult vissza Schumacher?,2
Mikor sérült meg Massa?,1
A részlet szerint milyen hatással lesz a megegyezés az AOL-re?,3
Az alábbiak közül melyik érhet véget az új megegyezést követően?,3
A támadásban megölt személyek közül hányan nem voltak rendőrök?,3
Ki jelentette be a támadás állítólagos gyanúsítottját?,1
Mit kapott Mitt Romney a floridai „győztes mindent visz” elvnek köszönhetően?,3
A részlet szerint a szavazatok hány százalékát szerezte meg Gingrich az előválasztáson?,2
A részlet szerint ki mondott le a jelöltségről a jelölőgyűlés eredményeinek kihirdetése után?,2
A részlet szerint ki dicsért egy másik jelöltet a jelölőgyűlés eredményeinek kihirdetése után?,2
"Mi volt az egyetlen hely, ahol a műsor 2015 előtt követhető volt?",1
Az adó milyen jellemzővel írja le a műsort?,3
"Mit tudott meg David Headley arról, hogy végül mi segítette a militáns csoport támadását?",1
"Milyen közlekedési módot használt a militáns csoport, hogy eljusson Mumbaiba?",3
Melyik állítás tükrözi pontosan Nadal és Raonic meccsét a brisbane-i teniszbajnokságról a részlet szerint?,1
A részlet szerint az első adogatás után mi volt az állás Nadal és Raonic meccsén?,2
Milyen nyelvű program nem szerepel a Naked News három új adásában?,3
A részlet szerint hol nem lesznek követhetők a Naked News új adásai?,3
Hány versenyző nem fejezte be az Óriás Műlesiklást?,4
Az alábbi állítások közül melyik tükrözi pontosan a bajnokság versenyeinek eredményét?,1
Az alábbiak közül melyik felfüggesztéséről döntött az NBA?,1
A részlet szerint mi okozta az NBA aggodalmait a vírussal kapcsolatban?,4
Ki szerezte a Washington Capitals győztes gólját az Atlanta Thrashers ellen?,1
Ki szerezte a szezonja 60. gólját a Capitals–Trashers mérkőzésen?,3
Mikor volt szüksége a Northern Rock banknak a kormány támogatására?,1
A részlet szerint az alábbi állítások közül melyik írja le pontosan a Virgin vállalatcsoport és a Northern Rock bank között fennálló üzleti kapcsolatot?,1
A részlet szerint melyik országra van hatással a kyotói klímaegyezmény aláírása?,1
Ausztrália korábbi kormányának véleménye szerint a kyotói egyezmény ratifikálása mire lett volna káros hatással?,2
Melyik programba toborozták a kísérletben szereplő lövészeket?,4
Melyik állítás nem tükrözi pontosan a kártevőirtó-kísérletet?,1
A részlet szerint hol találták a szétválást?,4
A részlet szerint mi történt a vártnál korábban?,2
"Mit kell tennie a játékosnak, hogy manipulálja a mozgást a videójátékban?",4
"Mit terveztek úgy, hogy televíziós távirányítóra hasonlítson?",2
Mi nem szerepelt a Xinhua hírügynökség legutóbbi tudósításában?,2
Mi nem szerepelt a Xinhua hírügynökség legelső tudósításában?,1
Mit jelentett be Sara Danius a rádióműsorban?,4
Kit nem tudtak elérni?,4
"Ki mondta, hogy a nyilatkozat „hatalmas előrelépést” jelent?",3
Hány bélyeget készített Słania különböző országoknak?,4
A részlet szerint mi okozhatta a szivárgást a tartály-szellőzőknél?,3
Miért nyíltak ki a tehermentesítő szelepek?,2
