question,gemma3_answer
"Ebarat key hisaab sey, Kamiyaabi key saath baaja bajaney key liye kis cheez ko durust tip nahein samjha jaata hay?",1
"Bajaa bajatey waqt, darjah zail mein sey kiss sey aawaz badhaney mein madad miley gee?",1
Television parr tasweeron ka bardar keon kata hua hota hay?,2
"Ebarat key hisaab sey, darjah zail kis masalah ka DVD wazaa mein eek movie ko muntaqil kartey waqt kisi ko samnaa karna pad sakta hay?",2
Bartanavi garrison kahaan waqea thaa?,3
Eek haath sey tahreer kardah draft parr kis ki dastakhat zahir hui thee?,4
"Darjah zail mahalle waqoo mein sey, dunlop broad side akhir mein kahaan pahunchi thee?",3
Colonel Stark key foji kahaan waqea they?,2
"Ebarat key hisaab sey, Stark key logon ney apni baadh mein kabb tausee ki thee?",3
"Ebarat key hisaab sey, darjah zail mein sey kon cheen ka sabsey ziyadah pur tashaddud zamanah hay?",4
"Ebarat key hisaab sey, khaanah badosh marhalah mein dakhil honey wali chiyontiyon ki colony ki foj mein sey kiya sahee hay?",3
"Ebarat key hisaab sey, konsa darjah zail bayaniyah khaanah badosh marhalah key doraan foji chiyontiyon ki caluniyon ki ghonsalah bananey ki aadaton ki durust tor parr akkasi karta hay?",3
Darjah zail mein sey kon kharjee isharon ki mojudgi key bawajood jaari rahey gee?,3
Konsi istelaah unn afraad ki wazahat karti hay jo makhsus phenotypic rawayyah key tanawwo ko zaahir karti hein?,4
Darjah zail mein sey kon hayatiyaat ki durust istelaah hay jo eek khaas elaqah par qaabiz hoti hay?,2
Darjah zail mein sey kon fitrat parr mabni seyahat ki sargarmi ki misaal nahein hogi?,3
"Ebarat key hisaab sey, darjah zail mein sey kon transport system ki buniyaad nahein hay?",4
Nucleus kaa chakkar laganey waley zarrat mein kiss qism ka charge hota hay?,3
Nucleus kinn zarraat sey morakkab hota hay?,1
"Ebarat key hisaab sey, darjah zail mein sey kon thoda saa paanch binary number ki misaal hay?",1
Binary nambaraat ka kiss tarah ki cheezon ka hawalh diyaa jataa hay?,1
Darjah zail mein sey kiska talabah key blog likhney key buniyaadi fayedah key tor parr ebarat mein zikr kiya gaya hay?,1
Blog likhney ka darjah zail konsey pahlu ka talabah key blog likhney ki maharaton ko behtar karney key liye bator moharrik hawalah diya jaata hay?,4
Darjah zail mein sey kon talabah ki motazaad mowasilat ka fayedah nahein hay? ,2
"Ebarat key hisaab sey, motazaad mowasilat ka darjah zail konsa pahlu talabah key liye lachakdaar nahein hay?",1
Kisko ebarat mein iss tor parr zikr nahein kiya gaya hay jaisa kehh koyi aisi cheez jisey koyi shakhs qoroone wustaa key mahallaat sey wabastah kar sakta hay?,2
Darjah zail mein kiska ebarat mein iss tor parr zikr nahein hay kehh mahal key baqiyaat mein kisi boo yaa aawaz ko dikhaya jaa skata hay?,1
Darjah zail mein sey kon Kirby Muxloe mahal ki durust wazahat nahein hay?,4
Tameer ki darjah zail konsi khosusiyat ko ebarat mein wazah kardah waqt ki muddat key doraan Kirby Muxloe mahal key liye aam samjhaa jaye gaa?,3
"Ebarat key hisaab sey, darjah zail mein sey kon aayendah season ki tayyaari kar rahey runner key sabsey ziyadah fayedah mand hogi?",1
"Ebarat key hisaab sey, darjah zail mein sey kon pahley darjah key aadha meel key runner key liye bahut ziyadah aham nahein hay?",3
"Eek khelaadi key liye, darjah zail mein sey kisko akeley gezayi mashqon key zariyah haasil nahein kiya jaa sakta?",3
"Ebarat kei buniyaad parr, darjah zail mein sey kisko nawjawaan kheladiyon key apney khel mein mazeed tafreeh haasil karney key eek tariqah key tor parr tajweez nahein kiya gaya hay?",2
"Ebarat key hisaab sey, eek darmiyani faslah ka runner sazo saaman ka ek mazeed qimati tukda keon kharid sakta hay?",4
"Ebarat key hisaab sey, darmiyani faslah waley runner ko kiss cheez ki zarurat hay?",1
Kisney jauhari miqnaatisi goonj ki daryaaft ki thee? ,3
Tibbee tasweer ki goonj key liye kiss saal mein pahley haqqe tahaffuz ki manzoori dee gayee thee? ,2
"Ebarat key hisaab sey, insaanon key paas deegar logon key jismaani aamaal mein modakhilat karney key liye kiss cheez ki mazboot samajh honi chahiye?",2
"Ebarat key hisaab sey, iraadah ko samajhney sey insaanon ko kiya karney mein madad milti hay?",1
"Ebarat key hisaab sey, darjah zail mein sey kon AI key asal maqsad ka durust khulasah nahein hay?",3
"Ebarat key hisaab sey, darjah zai mein sey kiskey saath AI aksar wabastah rahtaa hay?",2
"Ebarat key hisaab sey, darjah zail mein sey kon motagayyar ki soch key pattern waley kisi shakhs ki taaqat hoti hay?",4
"Ebarat key hisaab sey, darjah zail mein sey kisko motagayyar soch waley tarze khiyaal ki tawajjoh ka markaz nahi samjha jaata hay?",2
"Ebarat key hisaab sey, darjah zail mein sey kisko micro izhaar nahein samjha jaaye gaa?",4
Micro izhaar ki tashreeh key baarey mein konsa darjah zail bayaniyah durust nahein hay?,4
Ranaisans key natijah key tor parr darjah zail mein sey kon ziyadah aham bann gaya thaa? ,3
"Ranaisans key natijah key tor parr, kam takeed darjah zail mein sey kiss parr ki gayi thee?",1
Darjah zail mein sey kon talluqaat jaari rakhney key liye internet istemaal karney key eek moharrik ki akkasi nahein kartaa hay?,1
Darjah zail mein sey kon zaati mashguliyat key liye internet istemaal karney key eek moharrik ki akkasi nahein kartaa hay?,1
Maghribi Europe ney kabb asaraat parr bahut ziyaadah bharosa krnaa band kar diyaa aur apney andaaz sey taraqqi karnaa shuru kiyaa?,1
Kapdon ko baandhney key liye button ka istemaal karnaa kis cheez ka natijah thaa? ,3
"Ebarat key hisaab sey, darjah zail mein sey kisko mahauliyaati masail ka eek qaabile amal taweel muddati hal samjha jaata hay?",3
"Ebarat key hisaab sey, darjah zail kon sey hal ko mahauliyaati masail key alamati elaaj key tor parr samjha jaye gaa?",1
Europe ki pahli ladayi kiss mulk mein hui thee jiskey markazi masalah key baarey mein kaha jaata hay kehh wohh mazhabi seyaaqo sabaaq ka haamil honey key bajaye hukumat key tawazun sey motalliq thaa?,4
Kiss jang ki baaz auqaat aakhiri ‘mazhabi ladayi’ key tor parr wazahat ki jaati hay?,1
Catholic church key konsey darjah zail pahlu ki chaan been nahein ki jaa rahi thee?,1
"Ebarat key hisaab sey, Versailles mein kiskaa qatal hua thaa?",4
Darjah zail mein sey kisko bheed ney badshah aur malekah parr nafiz nahein kiy thaa?,1
Darjah zail mein sey kon bartaniyah key gair rewayati bahri jang ka natijah nahein hay?,1
Konsa bayaniyah durust tor parr bartaniyah key jarmani key khilaaf bahri gherabandi ki wazahat nahein karta hay?,4
"Ebarat ki buniyaad parr, kinkey liye motaddid amraaz ki tashkhisaat sabsey ziyadah mumkin hogi?",1
