question,gemma3_answer
"Σύμφωνα με το απόσπασμα, ποια δεν θα μπορούσε να θεωρηθεί ακριβής συμβουλή για το σωστό παίξιμο του ακορντεόν;",1
"Όταν παίζουμε ακορντεόν, ποιο από τα παρακάτω μας βοηθά να αυξάνουμε την ένταση;",1
Γιατί τα όρια των εικόνων στην τηλεόραση είναι κομμένα;,2
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω προβλήματα μπορεί να αντιμετωπίσει κανείς κατά τη μετατροπή μιας ταινίας σε μορφή DVD;",2
Πού βρισκόταν η βρετανική φρουρά;,3
Ποιανού η υπογραφή εμφανιζόταν στο χειρόγραφο σημείωμα;,4
Ποια από τις παρακάτω τοποθεσίες ήταν η τελευταία στην οποία έφτασε αντίγραφο της μπροσούρας του Ντάνλαπ;,3
Πού βρίσκονταν τα στρατεύματα του συνταγματάρχη Σταρκ;,1
"Σύμφωνα με το απόσπασμα, πότε δημιούργησαν οι άντρες του Σταρκ επέκταση στον φράχτη τους;",3
"Σύμφωνα με το απόσπασμα, ποια από τις παρακάτω υπήρξε μία από τις πιο βίαιες περιόδους της Κίνας;",4
"Σύμφωνα με το απόσπασμα, τι ισχύει για μια αποικία εκστρατευτικών μυρμηγκιών που εισέρχεται σε φάση μετανάστευσης;",2
"Σύμφωνα με το απόσπασμα, ποια δήλωση αντικατοπτρίζει με ακρίβεια τις συνήθειες στρατοπέδευσης των αποικιών εκστρατευτικών μυρμηγκιών κατά τη διάρκεια της φάσης της μετανάστευσης;",3
Ποιο από τα παρακάτω συνεχίζεται παρά την παρουσία εξωτερικών ερεθισμάτων;,3
Ποιος όρος περιγράφει τα άτομα που εμφανίζουν διακυμάνσεις ενός συγκεκριμένου εμφανούς γνωρίσματος;,4
Ποιος από τους παρακάτω είναι ο σωστός όρος για τους οργανισμούς που καταλαμβάνουν μια συγκεκριμένη περιοχή;,2
Ποιο από τα παρακάτω δεν αποτελεί παράδειγμα δραστηριότητας τουρισμού της φύσης;,3
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω αποτελεί τη βάση του συστήματος μεταφορών;",2
Τι είδους φορτίο φέρουν τα σωματίδια που περιστρέφονται γύρω από τον πυρήνα;,3
Από ποια μόρια αποτελείται ο πυρήνας;,1
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω αποτελεί παράδειγμα πενταψήφιου δυαδικού αριθμού;",4
Τα δυαδικά ψηφία αναφέρονται επίσης ως τι;,1
Ποιο από τα παρακάτω δεν αναφέρεται στο απόσπασμα ως κύριο όφελος της χρήσης των ιστολογίων από τους μαθητές;,2
Ποια από τις παρακάτω πτυχές των ιστολογίων αναφέρεται ως κίνητρο για τους μαθητές ώστε να βελτιώσουν τις δεξιότητές τους στη γραφή;,2
Ποιο από τα παρακάτω δεν αποτελεί πλεονέκτημα της επικοινωνίας χωρίς συγχρονισμό για τους μαθητές; ,1
"Σύμφωνα με το απόσπασμα, ποια από τις παρακάτω πτυχές της επικοινωνίας χωρίς συγχρονισμό δεν είναι ευέλικτη για τους μαθητές;",4
Τι δεν αναφέρεται στο απόσπασμα ως κάτι που θα μπορούσε κανείς να συσχετίσει με τα μεσαιωνικά κάστρα;,4
Ποιο από τα παρακάτω δεν αναφέρεται στο απόσπασμα ως οσμή ή ήχος που θα μπορούσε να έρθει στο μυαλό μας ανάμεσα στα ερείπια του κάστρου;,3
Ποιο από τα παρακάτω αποτελεί ακριβή περιγραφή του Kirby Muxloe Castle;,2
